galaxy,in_master,in_rotmod,num_points,has_points
CamB,True,True,9,True
D512-2,True,True,4,True
D564-8,True,True,6,True
D631-7,True,True,16,True
DDO064,True,True,14,True
DDO154,True,True,12,True
DDO161,True,True,31,True
DDO168,True,True,10,True
DDO170,True,True,8,True
ESO079-G014,True,True,15,True
ESO116-G012,True,True,15,True
ESO444-G084,True,True,7,True
ESO563-G021,True,True,30,True
F561-1,True,True,6,True
F563-1,True,True,17,True
F563-V1,True,True,6,True
F563-V2,True,True,10,True
F565-V2,True,True,7,True
F567-2,True,True,5,True
F568-1,True,True,12,True
F568-3,True,True,18,True
F568-V1,True,True,15,True
F571-8,True,True,13,True
F571-V1,True,True,7,True
F574-1,True,True,14,True
F574-2,True,True,5,True
F579-V1,True,True,14,True
F583-1,True,True,25,True
F583-4,True,True,12,True
IC2574,True,True,34,True
IC4202,True,True,32,True
KK98-251,True,True,15,True
NGC0024,True,True,29,True
NGC0055,True,True,21,True
NGC0100,True,True,21,True
NGC0247,True,True,26,True
NGC0289,True,True,28,True
NGC0300,True,True,25,True
NGC0801,True,True,13,True
NGC0891,True,True,18,True
NGC1003,True,True,36,True
NGC1090,True,True,24,True
NGC1705,True,True,14,True
NGC2366,True,True,26,True
NGC2403,True,True,73,True
NGC2683,True,True,11,True
NGC2841,True,True,50,True
NGC2903,True,True,34,True
NGC2915,True,True,30,True
NGC2955,True,True,24,True
NGC2976,True,True,27,True
NGC2998,True,True,13,True
NGC3109,True,True,25,True
NGC3198,True,True,43,True
NGC3521,True,True,41,True
NGC3726,True,True,12,True
NGC3741,True,True,21,True
NGC3769,True,True,12,True
NGC3877,True,True,13,True
NGC3893,True,True,10,True
NGC3917,True,True,17,True
NGC3949,True,True,7,True
NGC3953,True,True,8,True
NGC3972,True,True,10,True
NGC3992,True,True,9,True
NGC4010,True,True,12,True
NGC4013,True,True,36,True
NGC4051,True,True,7,True
NGC4068,True,True,6,True
NGC4085,True,True,7,True
NGC4088,True,True,12,True
NGC4100,True,True,24,True
NGC4138,True,True,7,True
NGC4157,True,True,17,True
NGC4183,True,True,23,True
NGC4214,True,True,14,True
NGC4217,True,True,19,True
NGC4389,True,True,6,True
NGC4559,True,True,32,True
NGC5005,True,True,18,True
NGC5033,True,True,22,True
NGC5055,True,True,28,True
NGC5371,True,True,19,True
NGC5585,True,True,24,True
NGC5907,True,True,19,True
NGC5985,True,True,33,True
NGC6015,True,True,44,True
NGC6195,True,True,23,True
NGC6503,True,True,31,True
NGC6674,True,True,15,True
NGC6789,True,True,4,True
NGC6946,True,True,58,True
NGC7331,True,True,36,True
NGC7793,True,True,46,True
NGC7814,True,True,18,True
PGC51017,True,True,6,True
UGC00128,True,True,22,True
UGC00191,True,True,9,True
UGC00634,True,True,4,True
UGC00731,True,True,12,True
UGC00891,True,True,5,True
UGC01230,True,True,11,True
UGC01281,True,True,25,True
UGC02023,True,True,5,True
UGC02259,True,True,8,True
UGC02455,True,True,8,True
UGC02487,True,True,17,True
UGC02885,True,True,19,True
UGC02916,True,True,43,True
UGC02953,True,True,115,True
UGC03205,True,True,48,True
UGC03546,True,True,30,True
UGC03580,True,True,47,True
UGC04278,True,True,25,True
UGC04305,True,True,22,True
UGC04325,True,True,8,True
UGC04483,True,True,8,True
UGC04499,True,True,9,True
UGC05005,True,True,11,True
UGC05253,True,True,73,True
UGC05414,True,True,6,True
UGC05716,True,True,12,True
UGC05721,True,True,23,True
UGC05750,True,True,11,True
UGC05764,True,True,10,True
UGC05829,True,True,11,True
UGC05918,True,True,8,True
UGC05986,True,True,15,True
UGC05999,True,True,5,True
UGC06399,True,True,9,True
UGC06446,True,True,17,True
UGC06614,True,True,13,True
UGC06628,True,True,7,True
UGC06667,True,True,9,True
UGC06786,True,True,45,True
UGC06787,True,True,71,True
UGC06818,True,True,8,True
UGC06917,True,True,11,True
UGC06923,True,True,6,True
UGC06930,True,True,10,True
UGC06973,True,True,9,True
UGC06983,True,True,17,True
UGC07089,True,True,12,True
UGC07125,True,True,13,True
UGC07151,True,True,11,True
UGC07232,True,True,4,True
UGC07261,True,True,7,True
UGC07323,True,True,10,True
UGC07399,True,True,10,True
UGC07524,True,True,31,True
UGC07559,True,True,7,True
UGC07577,True,True,9,True
UGC07603,True,True,12,True
UGC07608,True,True,8,True
UGC07690,True,True,7,True
UGC07866,True,True,7,True
UGC08286,True,True,17,True
UGC08490,True,True,30,True
UGC08550,True,True,11,True
UGC08699,True,True,41,True
UGC08837,True,True,8,True
UGC09037,True,True,22,True
UGC09133,True,True,68,True
UGC09992,True,True,5,True
UGC10310,True,True,7,True
UGC11455,True,True,36,True
UGC11557,True,True,12,True
UGC11820,True,True,10,True
UGC11914,True,True,65,True
UGC12506,True,True,31,True
UGC12632,True,True,15,True
UGC12732,True,True,16,True
UGCA281,True,True,7,True
UGCA442,True,True,8,True
UGCA444,True,True,36,True
