Complexity,Loss,Equation
1,0.09831221,"0.47490206"
2,0.055067047,"abs(x0)"
3,0.052882217,"x2 * -0.3825002"
4,0.03552029,"exp(0.64147276 / x2)"
6,0.030592024,"abs((x1 * 0.46093717) + -0.9475532)"
7,0.025336435,"abs((x2 * sqrt(x1)) + 0.4320388)"
8,0.020129286,"abs(exp(x2 / exp(x2)) + -0.678147)"
9,0.018455183,"abs(exp(x0 * (-5.845423 / x1)) + -0.7059981)"
10,0.014420883,"abs(exp((x2 / x1) / exp(x2)) + -0.7277857)"
12,0.013413955,"x2 * (exp(exp(x0 - abs(x1 + x2))) / -4.639453)"
13,0.007594973,"abs((exp(exp(0.13328092 - abs(x2 + x1))) * x0) + -0.2562786)"
15,0.0055812085,"abs((exp(exp(0.13906313 - abs(x2 + (x2 - -2.0489492)))) * x0) + -0.23565501)"
19,0.005580373,"abs((x1 * 0.08556226) + ((x0 * exp(exp(0.35099426 - abs((x2 - -0.04528171) + x1)))) / -1.4840003))"
