r_kpc,kT_keV,kT_err_keV
289.195,4.9848,0.51684
274.36499999999995,5.0646,0.54007
259.535,5.1445,0.56329
244.705,5.2244,0.58651
229.875,5.3043,0.60974
215.04000000000002,5.3842,0.63297
200.20499999999998,5.4641,0.6562
185.375,5.544,0.67942
170.54500000000002,5.6239,0.70264
155.715,5.7038,0.72587
140.885,5.7837,0.74909
126.055,5.8636,0.77231
111.225,5.6767,0.72718
96.39500000000001,5.3578,0.64822
81.565,5.039,0.56927
66.73499999999999,4.6479,0.48682
51.905,4.137,0.39857
37.074999999999996,3.6429,0.31421
22.245,3.2072,0.24343
7.415,2.94,0.2
