configuration,chi2_rotation,vertical_lag_km_s,outer_slope,total_loss,delta_chi2,delta_lag,delta_total
Baseline (Full Model),1610.493568445471,11.414040707937257,368.126738946268,2351.8286309546775,0.0,0.0,0.0
No Radial Modulation,1205.1702219069155,7.001780371762537,363.21540111655196,1950.9761003058534,-405.3233465385556,-4.41226033617472,-400.8525306488241
No Ring Winding,2581.385840808008,11.099576959931357,384.3362218669077,3355.8902096992247,970.8922723625371,-0.3144637480059007,1004.0615787445472
Looser Saturation,1902.1530519626199,11.345212684534342,365.73468443115775,2638.837857507542,291.65948351714883,-0.06882802340291505,287.0092265528647
No Distance Gate,1610.422724886574,11.4147686728144,368.32264316621223,2352.1481578784324,-0.0708435588969678,0.0007279648771429947,0.3195269237548928
Weaker Anisotropy,1199.961098920112,6.972598988006843,364.94511017262903,1949.3770820825794,-410.53246952535915,-4.441441719930414,-402.4515488720981
