cluster_name,z_lens,M_500,R_500,theta_E_obs,theta_E_err,theta_E_pred,theta_E_residual,theta_E_sigma,kappa_max,mean_kappa_max,K_Sigma_at_RE,fgas_R500,fbaryon_R500,M_baryon,converged,notes
MACS0416,0.396,1150000000000000.0,1200,30.0,1.5,16.65777682534673,-0.44474077248844235,-8.894815449768847,2.49802103207735,1.7284536765679075,7.899195007164569,0.0850258209210844,0.08760059617881649,100740685605638.97,True,Success
A1689,0.183,1540000000000000.0,1420,47.0,3.0,18.30545982238176,-0.6105221314386859,-9.564846725872746,1.948296369081809,1.3351789149757052,9.557272628648434,0.0889233985631503,0.09108435294449196,140269903534517.62,True,Success
MACS0717,0.545,2830000000000000.0,1800,55.0,3.0,20.929822959082927,-0.6194577643803104,-11.356725680305692,3.8932387969606697,2.6407567288398464,5.6976924647607765,0.08349436563899083,0.08499434806221368,240534005016064.7,True,Success
A2744,0.308,1550000000000000.0,1430,26.0,2.0,18.958278011632682,-0.27083546109105067,-3.520860994183659,2.571690435000395,1.760235158472524,7.798475091843079,0.08662737110677712,0.08877994967726517,137608921999761.02,True,Success
RXJ1347,0.451,1820000000000000.0,1500,32.0,2.0,17.966174698748446,-0.43855704066411105,-7.016912650625777,3.0377950627830312,2.0733847994201566,7.08526132919495,0.08193712164179583,0.08389197956360092,152683402805753.7,True,Success
A370,0.375,1340000000000000.0,1300,38.0,2.0,17.824517213633392,-0.5309337575359634,-10.087741393183304,2.607111042841754,1.7961881981762562,7.547177093663387,0.08737462536148281,0.08972369100080448,120229745941078.0,True,Success
CL0024,0.395,1210000000000000.0,1180,24.0,2.5,16.683593485923595,-0.3048502714198502,-2.9265626056305623,2.4345479860197994,1.6897849611455067,7.774876501347099,0.08430229186156582,0.08679968439614176,105027618119331.53,True,Success
MACS1149,0.544,1730000000000000.0,1520,42.0,2.0,15.974958759225498,-0.6196438390660596,-13.012520620387251,2.99960361190357,2.0461808428428574,7.124044204856229,0.08583898687687078,0.08785424355722152,151987841353993.22,True,Success
A383,0.188,870000000000000.0,1050,18.0,1.5,14.62007724289448,-0.18777348650586223,-2.2532818380703468,1.6420910339873547,1.150665473276137,9.970014686432114,0.08968017813320595,0.09272419097155209,80670046145250.31,True,Success
RXJ2129,0.235,690000000000000.0,920,12.0,1.8,13.165364154031227,0.09711367950260226,0.6474245300173485,1.6284316134386794,1.1587622147223273,9.590588179394583,0.09126177243833167,0.0947600041864767,65384402888668.92,True,Success
MACS0329,0.45,1480000000000000.0,1380,28.0,2.5,16.81022262634658,-0.3996349062019079,-4.475910949461368,2.8054195138157136,1.921957088214111,7.5204967396518265,0.08270458389321195,0.08491768370939035,125678171889897.72,True,Success
A611,0.288,940000000000000.0,1090,14.0,2.0,15.93590783771149,0.1382791312651064,0.9679539188557449,2.0468466303701685,1.4286288113122065,8.725167148502544,0.0881485013001934,0.09105440567769763,85591141337035.77,True,Success
