fold,LogTail_train_median,LogTail_test_median,MuPhi_train_median,MuPhi_test_median,n_train_points,n_test_points
1,89.96670293024674,90.01469669557488,86.12633649731008,82.50756864856106,2710,681
2,89.52179314817499,91.17161507003209,87.00371875665172,73.530032255394,2846,545
3,90.36677853549531,88.55221624025069,85.72303833725769,86.78559869238424,2617,774
4,89.99276775262834,87.91955075445571,86.44025416284688,84.4718512900227,2654,737
5,90.13203669998775,88.91411753950888,85.48433377886586,89.15448139538591,2737,654
