fold,rar_obs_scatter_dex_orth,rar_obs_r2_vs_const,rar_model_scatter_dex_orth,rar_model_r2_vs_const
1,0.1815409730041639,0.8624222287351275,0.051237269084963115,0.9917538747316709
2,0.1755169119485843,0.8634556893956842,0.07026624591638336,0.980703169066668
3,0.16105324975577245,0.8760111916027845,0.07349494753916438,0.9832031748494549
4,0.12445227205997109,0.9298536864927313,0.08133359431435702,0.9792767983496101
5,0.1676945294295421,0.8788429412545666,0.06959998056972318,0.9833589171747227
