fold,T_type,LogTail_test_median,MuPhi_test_median,n_points
1,3.0,79.83780253186592,86.34109608477523,199
1,4.0,89.96257982442441,77.03514721088578,221
1,5.0,95.61672824356354,76.8451145727613,72
1,7.0,87.96155376734782,88.74184882020374,45
1,10.0,75.36193598413028,76.05416606511815,144
2,3.0,87.98027892233394,77.12382914773235,106
2,6.0,93.72765805184959,82.6772064189454,247
2,7.0,92.53058515319066,69.72428916844507,119
2,9.0,84.05722607208388,75.64447228452002,42
2,10.0,64.18510538169244,59.99439402806146,31
3,4.0,83.1366304646713,84.45639916904058,339
3,6.0,81.83073030691021,76.7287869179508,224
3,7.0,94.252166683026,89.81605403348414,20
3,9.0,94.83848579212209,91.2942954403553,138
3,10.0,95.10498188405506,97.61756156015957,53
4,5.0,92.22305912480624,88.75637127463357,85
4,6.0,83.51894659459245,85.04788169463617,357
4,7.0,91.96072838049393,88.98068648437186,148
4,9.0,91.10208203493085,78.43555142789171,147
5,5.0,84.8481103997447,82.01456166268241,136
5,7.0,91.3538193117872,92.35646790788739,34
5,9.0,90.90524576570454,87.60437816588087,177
5,10.0,75.18624284145018,90.30025383114186,307
