r_kpc,n_e_cm3
486.65500000000003,0.00077512
469.58,0.001187
452.505,0.0010603
435.43,0.0015644
418.35,0.00051296
401.275,0.0014713
384.2,0.0016155
367.12500000000006,0.0017156
350.04999999999995,0.0013199
332.975,0.0016599
315.90000000000003,0.0021064
298.825,0.0020117
281.75,0.0026297
264.67,0.0018758
247.595,0.0032773
230.52,0.0035242
213.445,0.0030134
196.36999999999998,0.0047016
179.295,0.0048036
162.22,0.0053264
145.14,0.0065858
128.065,0.0070743
110.99000000000001,0.0089046
93.91499999999999,0.0094197
76.83999999999999,0.011479
59.765,0.01571
42.69,0.020143
25.615,0.025848
8.540000000000001,0.03949
