r_kpc,kT_keV,kT_err_keV
486.65500000000003,7.1507,1.1307
469.58,7.2177,1.1302
452.505,7.3219,1.147
435.43,7.4607,1.1799
418.35,7.5996,1.2128
401.275,7.7385,1.2457
384.2,7.8773,1.2786
367.12500000000006,8.0162,1.3115
350.04999999999995,8.155,1.3443
332.975,8.2939,1.3772
315.90000000000003,8.4327,1.4101
298.825,8.5716,1.443
281.75,8.7104,1.4759
264.67,8.7052,1.4444
247.595,8.5919,1.3646
230.52,8.4786,1.2848
213.445,8.3652,1.2049
196.36999999999998,8.2519,1.1251
179.295,8.1385,1.0453
162.22,8.0085,0.99299
145.14,7.8407,1.0027
128.065,7.6729,1.0124
110.99000000000001,7.5051,1.0222
93.91499999999999,7.3673,1.0203
76.83999999999999,7.3534,0.97038
59.765,7.3396,0.92047
42.69,7.3257,0.87057
25.615,7.32,0.85
8.540000000000001,7.32,0.85
