r_kpc,C
1.0,1.9
2.0,1.75
3.0,1.65
5.0,1.52
7.0,1.42
10.0,1.36
15.0,1.31
20.0,1.26
30.0,1.21
50.0,1.16
70.0,1.13
100.0,1.11
150.0,1.09
200.0,1.07
300.0,1.05
400.0,1.04
500.0,1.03
700.0,1.02
1000.0,1.0
