r_kpc,rho_star_Msun_per_kpc3
0.5,8807858916.680582
0.5105023241317377,8504506812.288151
0.5212252458878116,8210861345.375421
0.5321733988437286,7926635763.079092
0.5433515139016192,7651551085.860964
0.5547644213345496,7385335915.068667
0.5664170528737723,7127726244.84301
0.5783144438398202,6878465278.281578
0.5904617353183631,6637303247.770294
0.6028641763817666,6403997239.396138
0.6155271263573154,6178311021.355989
0.6284560571430786,5960014876.278256
0.6416565555724196,5748885437.375515
0.6551343258281714,5544705528.347981
0.6688951919075212,5347264006.959258
0.6829451001386686,5156355612.207279
0.6972901217503453,4971780815.014908
0.7119364554953073,4793345672.366099
0.7268904303289316,4620861684.815037
0.7421585081440771,4454145657.297007
0.7577472865633891,4293019563.1712365
0.773663501790256,4137310411.4272475
0.789914031519649,3986850116.987653
0.8065058979101031,3841475374.041602
0.8234462706181231,3701027532.344431
0.8407424698963274,3565352476.4202857
0.8584019697566654,3434300507.6057796
0.8764324012000786,3307726228.873949
0.8948415555139995,3185488432.378938
0.9136373876391121,3067449989.6631174
0.9328280196068321,2953477744.469347
0.952421744048988,2843442408.1024184
0.9724270277812229,2737218457.284587
0.9928525154616643,2634684034.451442
1.0137070333264433,2535720850.435262
1.0349995930036764,2440214089.484086
1.0567393954075588,2348052316.565828
1.0789358347142521,2259127386.907692
1.1015985024212844,2173334357.722189
1.1247371914922146,2090571402.0719962
1.1483619005883579,2010739724.8268719
1.1724828383893926,1933743480.6667886
1.197110428004723,1859489694.0863097
1.2222553114775006,1787888181.356231
1.24792835438325,1718851474.3992815
1.2741406505250878,1652294746.5376275
1.3009035267275633,1588135740.0707548
1.3282285477311904,1526294695.6431146
1.3561275211897905,1466694283.3617604
1.384612502772801,1409259535.6250048
1.413695801374754,1353917781.6239133
1.4433899844341829,1300598583.4792037
1.473707883364246,1249233673.9769225
1.504662599097423,1199756895.8669615
1.536267507746671,1152104142.6892588
1.5685362663854956,1106213301.093208
1.6014828189494281,1062024194.6165018
1.6351214022614597,1019478528.8903724
1.6694665521840424,978519838.2387999
1.7045331099003054,939093433.6399646
1.740336228327209,901146352.0188776
1.7768913786634057,864627306.8407204
1.8142143570746323,829486639.9751042
1.8523212915195324,795676274.8020147
1.8912286487188463,763149670.5308752
1.9309532412709935,731861777.7046815
1.9715122349171088,701768994.8618168
2.012923155958681,672829126.3286601
2.0552038988309977,645001341.1166857
2.098372733835666,618246132.8983094
2.1424483150355518,592525281.0362595
2.187449688315549,567801812.6417677
2.2333962996126657,544039965.6374123
2.2803080033189778,521205152.8009505
2.3282050708610806,499263926.7669488
2.377108199459758,478183945.96353924
2.4270385210736327,457933941.4620872
2.47801761153069,438483684.7180315
2.5300674998515897,419803956.1816212
2.5832106777688226,401866514.7577128
2.637470109445811,384644068.0942454
2.69286924140015,368110243.6794437
2.7494320126352925,352239560.7282109
2.8071828649850357,337007402.83861643
2.8661467536753014,322389991.3997591
2.9263491581077536,308364359.7327223
2.987816092869924,294908327.94670194
3.0505741189766082,282000478.4927926
3.114650355347373,269620132.398289
3.1800724905251534,257747326.16472736
3.246868794640988,246362789.3132648
3.3150681316300763,235447922.56134158
3.384699971704424,224984776.61492676
3.45579440408747,214956031.56099075
3.528382150016214,205344976.84517956
3.602494576016429,196135491.82000428
3.6781637074567315,187312026.84917313
3.7554222423873425,178859584.9540181
3.8343035656695204,170763703.98827404
3.914841763401798,163010439.3277747
3.9970716376492157,155586347.06193143
4.081028721481953,148478467.67414764
4.166749294329821,141674310.1986171
4.254270397659304,135161836.84122393
4.343629850979852,128929448.05255488
4.434866268186416,122965968.04128693
4.528019074245225,117260630.71649283
4.623128522230052,111803066.0476594
4.720235710716335,106583286.83146897
4.819382601540627,101591675.85464814
4.9206120379331,96818973.44242871
5.023967763030908,92256265.382406
5.129494438780414,87894971.21381693
5.2372376652364485,83726832.8724905
5.347244000266965,79743903.68194486
5.459560979671551,75938537.68133329
5.574237137722546,72303379.28115247
5.691322028137613,68831353.23784134
5.810866245492813,65515654.938607976
5.93292144708549,62349740.988022126
6.05754037525635,59327320.08811591
6.184776880180412,56442344.203926906
6.314685943136676,53689000.00661147
6.447323700266574,51061700.58644351
6.582747466831441,48555077.428197995
6.721015761979519,46163972.64159905
6.862188334033176,43883431.43968888
7.006326186307266,41708694.85814614
7.153491603469827,39635192.70875173
7.303748178456434,37658536.760367796
7.45716083994991,35774514.14095485
7.613795880437224,33979080.95431341
7.7737209848557045,32268356.105391476
7.937005259840996,30638615.328150883
8.103719263589308,29086285.41013665
8.273935036346952,27607938.60803703
