complexity,loss,equation,score,sympy_format,lambda_format
1,1.8715547,x0,0.0,x0,PySRFunction(X=>x0)
2,1.4828242,exp(x1),0.2328209631912451,exp(x1),PySRFunction(X=>exp(x1))
3,1.2027705,x0 / 0.39187378,0.20932086691032634,x0/0.39187378,PySRFunction(X=>x0/0.39187378)
4,0.6886503,sqrt(1040.0526 / x5),0.557649329709667,32.2498465112627*sqrt(1/x5),PySRFunction(X=>32.2498465112627*sqrt(1/x5))
5,0.67243177,log(sqrt(12243.9 / x5)),0.02383294591839517,log(110.652157683436*sqrt(1/x5)),PySRFunction(X=>log(110.652157683436*sqrt(1/x5)))
6,0.4725776,exp((x5 * -0.0011325083) + 1.1851943),0.35269868282648914,exp(1.1851943 + x5*(-0.0011325083)),PySRFunction(X=>exp(1.1851943 + x5*(-0.0011325083)))
8,0.40963903,exp(((x5 * -0.0012225816) + 1.4857279) - x6),0.07146280449084264,exp(x5*(-0.0012225816) - x6 + 1.4857279),PySRFunction(X=>exp(x5*(-0.0012225816) - x6 + 1.4857279))
9,0.40111214,exp(1.514447 + ((-0.0012225816 * x5) - exp(x8))),0.02103531818724394,exp(-0.0012225816*x5 - exp(x8) + 1.514447),PySRFunction(X=>exp(-0.0012225816*x5 - exp(x8) + 1.514447))
10,0.38724,exp(((x5 * -0.0012225816) - (x6 * x6)) + 1.3595533),0.03519638323249962,exp(x5*(-0.0012225816) - x6*x6 + 1.3595533),PySRFunction(X=>exp(x5*(-0.0012225816) - x6*x6 + 1.3595533))
11,0.34787142,exp((1.4182218 - abs(0.21726143 - x4)) + (x5 * -0.0012225816)),0.10721172711158984,exp(x5*(-0.0012225816) - Abs(x4 - 0.21726143) + 1.4182218),PySRFunction(X=>exp(x5*(-0.0012225816) - Abs(x4 - 0.21726143) + 1.4182218))
13,0.33686155,exp((x5 * -0.0009991414) + (1.4476738 - abs(0.22183274 - x4))) - 0.22183274,0.016080456831286005,exp(x5*(-0.0009991414) - Abs(x4 - 0.22183274) + 1.4476738) - 1*0.22183274,PySRFunction(X=>exp(x5*(-0.0009991414) - Abs(x4 - 0.22183274) + 1.4476738) - 1*0.22183274)
14,0.29267532,exp((exp(x0 - abs(x4 - 0.23833032)) + (x5 * -0.0011325083)) - x1),0.14060814334962524,exp(-x1 + x5*(-0.0011325083) + exp(x0 - Abs(x4 - 1*0.23833032))),PySRFunction(X=>exp(-x1 + x5*(-0.0011325083) + exp(x0 - Abs(x4 - 1*0.23833032))))
16,0.28021345,exp((exp(x0 - abs(0.21802412 - x4)) - x1) + (x5 * -0.0008891608)) + -0.1600512,0.021756118774828557,exp(-x1 + x5*(-0.0008891608) + exp(x0 - Abs(x4 - 0.21802412))) - 0.1600512,PySRFunction(X=>exp(-x1 + x5*(-0.0008891608) + exp(x0 - Abs(x4 - 0.21802412))) - 0.1600512)
18,0.2671784,exp((x5 * -0.0011325083) + (exp(x0 - abs((x4 * (x1 + 0.73960876)) - 0.288146)) - x1)),0.023817517053441352,exp(-x1 + x5*(-0.0011325083) + exp(x0 - Abs(x4*(x1 + 0.73960876) - 1*0.288146))),PySRFunction(X=>exp(-x1 + x5*(-0.0011325083) + exp(x0 - Abs(x4*(x1 + 0.73960876) - 1*0.288146))))
20,0.24739413,exp((x5 * -0.0008891608) + (exp(x0 - abs(((x1 + 0.7304295) * x4) - 0.288146)) - x1)) + -0.17419717,0.038466933576463316,exp(-x1 + x5*(-0.0008891608) + exp(x0 - Abs(x4*(x1 + 0.7304295) - 1*0.288146))) - 0.17419717,PySRFunction(X=>exp(-x1 + x5*(-0.0008891608) + exp(x0 - Abs(x4*(x1 + 0.7304295) - 1*0.288146))) - 0.17419717)
22,0.24350688,exp(exp(x0 - abs(0.3013955 - (x4 * (x1 + 0.7386824)))) + ((x5 * -0.0008891608) - (x1 + -0.06977323))) + -0.25650257,0.007918768087501908,exp(x5*(-0.0008891608) - (x1 - 0.06977323) + exp(x0 - Abs(x4*(x1 + 0.7386824) - 0.3013955))) - 0.25650257,PySRFunction(X=>exp(x5*(-0.0008891608) - (x1 - 0.06977323) + exp(x0 - Abs(x4*(x1 + 0.7386824) - 0.3013955))) - 0.25650257)
26,0.24087387,exp((exp(x0 - abs((((x1 + 0.6375731) + (x8 * -0.082752645)) * x4) - 0.3013955)) - (x1 + -0.06977323)) + (x5 * -0.0008891608)) + -0.25105882,0.0027179403124944807,exp(x5*(-0.0008891608) - (x1 - 0.06977323) + exp(x0 - Abs(x4*(x1 + x8*(-0.082752645) + 0.6375731) - 1*0.3013955))) - 0.25105882,PySRFunction(X=>exp(x5*(-0.0008891608) - (x1 - 0.06977323) + exp(x0 - Abs(x4*(x1 + x8*(-0.082752645) + 0.6375731) - 1*0.3013955))) - 0.25105882)
28,0.23932132,exp((exp(x0 - abs((x4 * ((x1 + ((x4 + x8) * -0.082752645)) + 0.68348426)) - 0.3013955)) + (x5 * -0.0008891608)) - (x1 + -0.06977323)) + -0.25105882,0.0032331756797019905,exp(x5*(-0.0008891608) - (x1 - 0.06977323) + exp(x0 - Abs(x4*(x1 + (x4 + x8)*(-0.082752645) + 0.68348426) - 1*0.3013955))) - 0.25105882,PySRFunction(X=>exp(x5*(-0.0008891608) - (x1 - 0.06977323) + exp(x0 - Abs(x4*(x1 + (x4 + x8)*(-0.082752645) + 0.68348426) - 1*0.3013955))) - 0.25105882)
