r_kpc,rho_star_Msun_per_kpc3
1184.0,3.3808420611581687
1163.0500000000002,3.626254865981207
1142.1,3.894345834080277
1121.15,4.187676941725283
1100.2,4.509154290799079
1079.2,4.862964800515009
1058.2500000000002,5.251197356954252
1037.3000000000002,5.678959078390417
1016.35,6.151179747137722
995.41,6.6732593044718485
974.445,7.252651844855753
953.49,7.895991234040195
932.53,8.61245587694394
911.575,9.411860520970658
890.62,10.30620995236245
869.6650000000001,11.30936387231836
848.71,12.437600974449918
827.75,13.710436314973396
806.7950000000001,15.149985518846636
785.8400000000001,16.783538552895504
764.885,18.643334695910877
743.93,20.76804078242195
722.975,23.20425845034757
702.0200000000001,26.008440960591376
681.06,29.250178844731945
660.1049999999999,33.01217214158621
639.15,37.398949655491045
618.195,42.53927924332694
597.24,48.5939855480328
576.285,55.765404811728004
555.33,64.31009615981135
534.37,74.55878406061815
513.415,86.92990919686382
492.46,101.97707392669733
471.505,120.42607756483346
450.55,143.24316444581677
429.595,171.73054236369097
408.64,207.66680020439753
387.68,253.52932958895062
366.725,312.7687984731046
345.77000000000004,390.372324871566
324.81499999999994,493.61762014037976
303.86,633.3823321156452
282.9,826.3861092848088
261.945,1098.801914023958
240.99,1493.3920287665571
220.035,2082.2768022214154
199.08,2992.564295421238
178.12499999999997,4460.001610276036
157.17,6949.511392352888
136.21,11451.231749605438
115.255,20275.87467790343
94.3,39546.45572358544
73.345,88469.53074583366
52.39,244433.5067522737
31.43500000000001,982588.3098603907
10.48,10302671.468653087
148.41,8497.905566900821
145.15,9183.012601608812
141.89,9938.687192609832
138.63,10773.849439277019
135.365,11700.258910631173
132.1,12728.604231832169
128.84,13870.825049982093
125.58,15144.357923257887
122.32,16567.782322167695
119.06,18162.825753263307
115.79500000000002,19957.904845080266
112.53,21980.90003280938
109.27,24263.808828177785
106.01,26851.792907753013
102.75,29795.263161505784
99.485,33160.16308341223
96.22,37015.427143450856
92.96,41442.40655538558
89.7,46554.080278298235
86.43999999999998,52482.11117644676
83.18,59388.8151113418
79.915,67489.0708240002
76.64999999999999,77026.09959785857
73.39000000000001,88299.88780120775
70.13,101726.98149124389
66.87000000000002,117823.90789890088
63.605,137291.68829420465
60.34,160985.6186592795
57.08,190017.4212220852
53.82,225967.50088043112
50.56,270936.3074070068
47.3,327818.1710213188
44.035,400796.02215880196
40.77,495614.89174399024
37.510000000000005,620556.3975787574
34.25,788410.997464043
30.99,1018673.8767785166
27.725,1342979.1364234316
24.46,1812772.4058369007
21.2,2517021.362770029
17.94,3623398.6452693664
14.68,5469745.2084221365
11.42,8825437.78712406
8.155,15810816.794252811
4.890000000000001,34484257.38590679
1.63,138850505.52615255
571.4999999999999,57.58501915793302
566.92,59.396721770750084
559.8799999999999,62.32275981046969
552.84,65.43123815898674
545.7950000000001,68.73840090563243
538.7500000000001,72.25720079984612
531.71,76.00135764865459
524.67,79.99123121303323
517.625,84.24955261592227
510.58,88.79508444981397
503.54,93.64782959279518
496.5,98.83670670229056
489.455,104.39413095676089
482.41,110.34776810531456
475.37,116.72731671607025
468.33,123.5747009422542
461.285,130.93712467391535
454.24,138.85620368745836
447.2000000000001,147.37694358249846
440.16,156.5615236669084
433.115,166.4803105563832
426.07,177.19732954242932
419.03,188.78237959130837
411.99,201.33006786409567
404.945,214.94808308272908
397.9,229.73747674981584
390.86,245.80938780340347
383.8200000000001,263.3119778113909
376.775,282.41502980942766
369.73,303.2827601567123
362.69,326.0975516489683
355.65000000000003,351.0991881859691
348.605,378.5645982881345
341.56,408.7697768174054
334.52000000000004,442.0246332645038
327.48,478.73217395443294
320.435,519.362122902394
313.39,564.396848151954
306.35,614.3848029238043
299.30999999999995,670.0337234286978
292.265,732.177557174035
285.22,801.6990625645691
278.18,879.6165461958292
271.14000000000004,967.2388132119412
264.095,1066.128476173304
257.05,1177.9921153608523
250.01,1304.8321251831296
242.97,1449.2230485926245
235.925,1614.2885930824498
228.88,1803.5546263059994
221.84,2021.2435954846085
214.8,2272.8152146294156
207.755,2565.028435117356
200.71,2905.7910174547833
193.67,3304.8144403577626
186.63,3774.8125495461927
179.585,4331.935638732029
172.54,4995.862015798815
