Model,Train Score,Test Score,Within 10%,Within 20%,Median Error %,Parameters
PureRadial,0.4770143848495145,0.5389573473995145,17.073170731707318,40.150093808630395,27.375484573480378,"{'G_peak': 2.6124294635793266, 'r_peak': 1.4999999938659183, 'width': 0.55168090289915, 'decay': 0.2562159216102069}"
DensityGradient,0.47799267676249113,0.5439097576199208,18.19887429643527,39.587242026266416,27.122055195152704,"{'G_max': 3.26733566680601, 'rho_crit_frac': 0.8, 'transition_width': 0.9913471589098329, 'r_core_frac': 0.4447988898636319}"
PhaseTransition,0.6843545402295327,0.6079348654555635,13.696060037523452,30.393996247654787,33.20575417004497,"{'G_low': 1.2941285037649117, 'G_high': 2.0, 'Sigma_crit': 6217.219929483929, 'sharpness': 0.6411440347127629}"
SmoothShell,0.4699384769676547,0.5327869034481549,18.01125703564728,39.21200750469043,26.824965448809163,"{'G_shell1': 1.3759629651635006, 'G_shell2': 3.350216152377892, 'r1_frac': 0.7675330671691106, 'r2_frac': 1.7477470149713796, 'width1': 0.20375418952781862, 'width2': 0.4705218416775562}"
Hybrid,0.500239755416961,0.5468981667276558,14.821763602251407,33.39587242026266,28.29505194232118,"{'G_base': 3.497536881963281, 'radial_weight': 0.9978968539004605, 'mass_exp': -0.0043548264764228465, 'r_trans': 0.6111710075874589, 'width': 0.1618891825671281}"
