name,hubble_type,type_group,B_T,bt_law_ape,per_galaxy_ape,delta_ape,bt_law_params,per_galaxy_params
CamB,Im,late,0.0,76.72528076171875,57.82568359375,18.89959716796875,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000762505925485, 'ring_amp': 6.481620495927982e-05, 'M_max': 2.9813184456786646, 'bulge_gate_power': 43.24698972979257, 'lambda_hat': 5.124797879730373}"
D512-2,Im,late,0.0,9.849201202392578,2.9777638912200928,6.871437311172485,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.9615711892183582, 'ring_amp': 9.635356454938574, 'M_max': 1.7500218824881075, 'bulge_gate_power': 33.224687704513705, 'lambda_hat': 18.52541686012775}"
D564-8,Im,late,0.0,25.338165283203125,2.645246744155884,22.69291853904724,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.999996663015264, 'ring_amp': 2.2124913454670314, 'M_max': 4.912684255044561, 'bulge_gate_power': 38.86301527799567, 'lambda_hat': 49.999917744651356}"
D631-7,Im,late,0.0,23.59071159362793,16.171321868896484,7.419389724731445,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999999201750205, 'ring_amp': 0.15946820607232587, 'M_max': 4.999999997573485, 'bulge_gate_power': 4.434154724345982, 'lambda_hat': 49.99998005570658}"
DDO064,Im,late,0.0,25.374399185180664,12.167132377624512,13.207266807556152,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.8291528070149885, 'ring_amp': 6.757315156928464, 'M_max': 1.8684416212386328, 'bulge_gate_power': 47.753923981706826, 'lambda_hat': 39.00150964338899}"
DDO154,Im,late,0.0,25.612470626831055,5.418088436126709,20.194382190704346,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999999315017274, 'ring_amp': 0.9873740753501596, 'M_max': 4.999997407099846, 'bulge_gate_power': 31.841419559668818, 'lambda_hat': 49.88786802012992}"
DDO161,Im,late,0.0,20.23438262939453,3.4304263591766357,16.803956270217896,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.39841907464206994, 'ring_amp': 0.21199000221443182, 'M_max': 3.7698329555113768, 'bulge_gate_power': 15.16691115887254, 'lambda_hat': 31.26582017531371}"
DDO168,Im,late,0.0,12.605570793151855,6.190116882324219,6.415453910827637,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999872474888256, 'ring_amp': 0.7193457222346451, 'M_max': 2.6489044554712367, 'bulge_gate_power': 43.60443460997601, 'lambda_hat': 49.99575726748928}"
DDO170,Im,late,0.0,7.056095600128174,3.170415163040161,3.8856804370880127,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.803110361265228, 'ring_amp': 0.2623756046043349, 'M_max': 2.2689706690144225, 'bulge_gate_power': 6.242074716170146, 'lambda_hat': 28.90961641125221}"
ESO079-G014,Sbc,intermediate,0.3,13.846527099609375,7.666964054107666,6.179563045501709,"{'eta': 0.2550240861821326, 'ring_amp': 1.0028092612599098, 'M_max': 1.6489174782333347, 'lambda_ring': 15.17754364143991, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.033322833423235894, 'ring_amp': 1.7493152899563347, 'M_max': 0.6675562801079484, 'bulge_gate_power': 19.17060972591519, 'lambda_hat': 46.262038736680196}"
