complexity,loss,equation,score,sympy_format,lambda_format
1,2.941358,2.7673993,0.0,2.76739930000000,PySRFunction(X=>2.76739930000000)
5,2.922071,(1.4895622 / x0) - -2.620292,0.0016446920020719063,-1*(-2.620292) + 1.4895622/x0,PySRFunction(X=>-1*(-2.620292) + 1.4895622/x0)
6,2.8677914,exp(x0 * -0.10464346) - -2.4982362,0.01875042497915828,exp(x0*(-0.10464346)) - 1*(-2.4982362),PySRFunction(X=>exp(x0*(-0.10464346)) - 1*(-2.4982362))
7,2.8601408,exp((log(x0) / x0) - -0.82013166),0.0026713320906857716,2.27079879122071*exp(log(x0)/x0),PySRFunction(X=>2.27079879122071*exp(log(x0)/x0))
8,2.8284655,(x0 / exp(x0 / 3.283897)) - -2.3893259,0.01113651594022052,x0/exp(x0/3.283897) - 1*(-2.3893259),PySRFunction(X=>x0/exp(x0/3.283897) - 1*(-2.3893259))
10,2.792147,((x0 - 1.6385287) / exp(x0 / 3.6583278)) - -2.428614,0.006461752252518352,(x0 - 1*1.6385287)/exp(x0/3.6583278) - 1*(-2.428614),PySRFunction(X=>(x0 - 1*1.6385287)/exp(x0/3.6583278) - 1*(-2.428614))
11,2.7448092,sqrt((x0 * 0.095916644) / (exp(-24.152143 / x0) + 0.031063944)),0.017099269594974122,0.309704123317724*sqrt(x0/(0.031063944 + exp(-24.152143/x0))),PySRFunction(X=>0.309704123317724*sqrt(x0/(0.031063944 + exp(-24.152143/x0))))
13,2.7399783,sqrt((x0 * (0.10912731 / (exp(-24.085058 / x0) + 0.033291034))) + -0.78390324),0.0008807818441886742,sqrt(0.10912731*x0/(0.033291034 + exp(-24.085058/x0)) - 0.78390324),PySRFunction(X=>sqrt(0.10912731*x0/(0.033291034 + exp(-24.085058/x0)) - 0.78390324))
15,2.7354019,(log(x0 / ((0.09898205 / x0) + exp(-22.138807 / x0))) * 1.3411325) - 3.12224,0.0008358142993739918,1.3411325*log(x0/(exp(-22.138807/x0) + 0.09898205/x0)) - 3.12224,PySRFunction(X=>1.3411325*log(x0/(exp(-22.138807/x0) + 0.09898205/x0)) - 3.12224)
18,2.7293417,log((x0 + -1.2015783) / (exp(-20.858982 / exp((-31.302582 / x0) + 5.2069407)) + 0.029594177)) * 0.6717364,0.000739309157984873,0.6717364*log((x0 - 1.2015783)/(0.029594177 + exp(-0.114274017423445*exp(31.302582/x0)))),PySRFunction(X=>0.6717364*log((x0 - 1.2015783)/(0.029594177 + exp(-0.114274017423445*exp(31.302582/x0)))))
23,2.720676,0.7307122 * log(x0 / (exp((-22.67419 / x0) / exp(exp(((-23.991924 / x0) + 1.7312565) / 0.3369576))) + (0.16934799 / x0))),0.0006360131493067294,0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/x0)),PySRFunction(X=>0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/x0)))
25,2.720324,0.7307122 * log(x0 / (exp((-22.67419 / x0) / exp(exp(((-23.991924 / x0) + 1.7312565) / 0.3369576))) + (0.16934799 / (x0 - 0.16934799)))),6.46939901655727e-05,0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/(x0 - 0.16934799))),PySRFunction(X=>0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/(x0 - 0.16934799))))
27,2.7200115,log((x0 / (exp((-22.67419 / x0) / exp(exp(((-23.991924 / x0) + 1.7312565) / 0.3369576))) + (0.16934799 / x0))) - (1.7312565 / x0)) * 0.7307122,5.7441310438247694e-05,0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/x0) - 1.7312565/x0),PySRFunction(X=>0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/x0) - 1.7312565/x0))
28,2.7184649,log((x0 / ((0.16934799 / x0) + exp((-22.67419 / x0) / exp(exp(((-23.991924 / x0) + 1.7312565) / 0.34076843))))) - (1.7450836 / log(x0))) * 0.7307122,0.0005687622517559036,0.7307122*log(x0/(exp(-22.67419*exp(-160.846198598276*exp(-70.4053600270424/x0))/x0) + 0.16934799/x0) - 1.7450836/log(x0)),PySRFunction(X=>0.7307122*log(x0/(exp(-22.67419*exp(-160.846198598276*exp(-70.4053600270424/x0))/x0) + 0.16934799/x0) - 1.7450836/log(x0)))
29,2.7182834,log((x0 / (exp((-22.67419 / x0) / exp(exp(((-23.991924 / x0) + 1.7312565) / 0.3369576))) + (0.16934799 / x0))) - (1.8770975 / (x0 - x1))) * 0.7307122,6.676785094780914e-05,0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/x0) - 1.8770975/(x0 - x1)),PySRFunction(X=>0.7307122*log(x0/(exp(-22.67419*exp(-170.35867626954*exp(-71.2016111225863/x0))/x0) + 0.16934799/x0) - 1.8770975/(x0 - x1)))
