complexity,loss,equation,score,sympy_format,lambda_format
1,1.6568905,x0,0.0,x0,PySRFunction(X=>x0)
2,1.4278855,exp(x2),0.1487479743479787,exp(x2),PySRFunction(X=>exp(x2))
3,1.1453857,x0 * 2.3575354,0.22045324245161868,x0*2.3575354,PySRFunction(X=>x0*2.3575354)
4,0.76754224,sqrt(860.22485 / x5),0.4003032013827722,29.3295900073629*sqrt(1/x5),PySRFunction(X=>29.3295900073629*sqrt(1/x5))
5,0.6759966,log(102.90154 / sqrt(x5)),0.12700546733303864,log(102.90154/sqrt(x5)),PySRFunction(X=>log(102.90154/sqrt(x5)))
6,0.6581351,(27.799036 / log(x5)) - 3.0701597,0.02677781704535524,-3.0701597 + 27.799036/log(x5),PySRFunction(X=>-3.0701597 + 27.799036/log(x5))
7,0.6049422,4.3555465 / exp(sqrt(x5) * 0.045072086),0.08427731312237077,4.3555465*exp(-0.045072086*sqrt(x5)),PySRFunction(X=>4.3555465*exp(-0.045072086*sqrt(x5)))
8,0.5809926,log(x5) / exp(sqrt(x5) * 0.058372524),0.040394896166921004,exp(-0.058372524*sqrt(x5))*log(x5),PySRFunction(X=>exp(-0.058372524*sqrt(x5))*log(x5))
9,0.5362471,5.413619 / (exp(sqrt(x5) * 0.050318863) + x4),0.0801429578076739,5.413619/(x4 + exp(0.050318863*sqrt(x5))),PySRFunction(X=>5.413619/(x4 + exp(0.050318863*sqrt(x5))))
10,0.5210122,9.01411 / (exp(x4) + exp(sqrt(x5) * 0.06242326)),0.028821604316273206,9.01411/(exp(x4) + exp(0.06242326*sqrt(x5))),PySRFunction(X=>9.01411/(exp(x4) + exp(0.06242326*sqrt(x5))))
11,0.48737305,12.753685 / (x3 + exp(x4 + (sqrt(x5) * 0.06537621))),0.06674361171706963,12.753685/(x3 + exp(x4 + 0.06537621*sqrt(x5))),PySRFunction(X=>12.753685/(x3 + exp(x4 + 0.06537621*sqrt(x5))))
