feature,importance_mean,importance_std
x,1.4129928349570817,0.042966920611236935
Sigma_hat_rm3,1.1088849883797522,0.03425301930492719
g_bar,1.0849851607011969,0.03959272038699261
lnR,0.9751211059862747,0.02884280484316905
Sigma_hat,0.641696265753279,0.021633121541020515
Sigma,0.5496443333926389,0.016209506027075944
x3,0.4608745906099804,0.02956449409675156
x2,0.3971132587453063,0.010982739794119529
Sigma_hat_rm9,0.39000216444672503,0.01566627690710878
grad_ln_Sigma,0.26056696525527334,0.013854725466221147
invR,0.25761349083099633,0.020849313044141914
Sigma_hat_rm5,0.2228900088897881,0.009054564347560768
kappa_sigma,0.20674393612965164,0.03229240616041123
Sigma_hat_g1,0.1961393572038131,0.010767347102925706
Sigma_hat_g2,0.16799663161460082,0.01030027981847003
outer,0.08565468309471701,0.00659327181721938
