R_kpc,Sigma_Msun_pc2
1.0,674.6016036212355
2.0,483.4170893462332
3.0,350.0528783408165
4.0,256.47665617452174
5.0,190.35649459077698
6.0,143.24839124742925
7.0,109.3614935031091
8.0,84.7166936212724
9.0,66.57311356584032
10.0,53.037046806272016
11.0,42.795188636482266
12.0,34.932547307955986
13.0,28.808064396664033
14.0,23.969575734710567
15.0,20.095601514841075
16.0,16.955442310354996
17.0,14.381773403833508
18.0,12.251779156708704
19.0,10.474128679465332
20.0,8.979952010607427
21.0,7.716560524601029
22.0,6.643053603599764
23.0,5.727225118181077
24.0,4.943368405948361
25.0,4.27070474652051
26.0,3.6922465548019274
27.0,3.193965418235359
28.0,2.764175382763873
29.0,2.393069468838656
30.0,2.0723663076723873
