Galaxy,Galaxy_Type,Galaxy_Class,Baryonic_Mass_Msun,Median_G_Required_Outer,Mean_G_Required_Outer,Median_G_Ratio_Outer,Mean_G_Ratio_Outer
CamB,Im,dwarf irregular,2500000000.0,0.7132584745860614,0.8140181295434543,0.2539735539566768,0.2898515541161967
D512-2,Im,dwarf irregular,5000000000.0,2.750021604401537,2.647230228987692,0.9301435938374822,0.8953763253949717
D564-8,Im,dwarf irregular,3500000000.0,5.3644017935627275,5.3644017935627275,1.8630495629666892,1.8630495629666892
D631-7,Im,dwarf irregular,1500000000.0,7.707141008604561,7.683712423669903,2.8502934811188028,2.8416290045202124
DDO064,Im,dwarf irregular,2500000000.0,2.7924711784921272,2.7924711784921272,0.9943293417366355,0.9943293417366355
DDO154,Im,dwarf irregular,1500000000.0,6.608751767482403,6.444992862930949,2.4440816718102356,2.383519533710381
DDO161,Im,dwarf irregular,5000000000.0,3.1420909461027886,3.3723343547686815,1.0627537471322088,1.1406292922737864
DDO168,Im,dwarf irregular,3000000000.0,3.6955775613623225,3.6223738008946547,1.2982278872631983,1.2725119709514245
DDO170,Im,dwarf irregular,3500000000.0,3.2689494595621733,3.5819180979629275,1.13530177200853,1.2439953612349177
ESO079-G014,Sbc,spiral,2500000000.0,1.7338769272805243,1.733946233068153,0.6173903304836005,0.6174150085460716
ESO116-G012,Sd,spiral,1500000000.0,3.3586973455496034,3.46371337211515,1.2421302709244681,1.2809678237340762
ESO444-G084,Im,dwarf irregular,3000000000.0,11.935736767717167,11.935736767717167,4.192932246609649,4.192932246609649
ESO563-G021,Sbc,spiral,0.0,2.3991156353704564,2.36057549793324,inf,inf
F561-1,Sm,dwarf irregular,5000000000.0,0.8387154950158507,0.8758047243966204,0.28367989672975613,0.2962246378523989
F563-1,Sm,dwarf irregular,2500000000.0,6.950707265739194,6.968357073259429,2.4749735049650345,2.48125816123241
F563-V1,Im,dwarf irregular,5000000000.0,0.9093713746354138,0.9033609649825524,0.30757793218151436,0.3055450230487278
F563-V2,Im,dwarf irregular,5000000000.0,4.632711883673361,4.565937758290131,1.5669285193238691,1.5443434149523607
F565-V2,Im,dwarf irregular,5000000000.0,6.259142764031207,6.364841110995273,2.117038475464933,2.152788972897564
F567-2,Sm,dwarf irregular,5000000000.0,1.662645414371041,1.7946600890969322,0.5623588478451393,0.6070103530523316
F568-1,Sc,spiral,2500000000.0,4.552962157179461,4.636041303894184,1.621196272165152,1.650778684295722
F568-3,Sd,spiral,5000000000.0,2.845943378710631,3.0300747903678515,0.9625873476393891,1.0248663685398405
F568-V1,Sd,spiral,5000000000.0,4.757094918850432,5.025489865105217,1.6089987645782486,1.6997783568104239
F571-8,Sc,spiral,2500000000.0,6.480560365954144,6.480560365954144,2.3075659195319713,2.3075659195319713
F571-V1,Sd,spiral,5000000000.0,3.596754669069769,3.770873165398643,1.2165352841903765,1.2754276229522614
