#Name                     Rin             Rout            nelec           neerr           Kitpl           Kflat           Kerr            Pitpl           Pflat           Perr            Mgrav           Merr            Tx              Txerr           Lambda          tcool5/2        t52err          tcool3/2        t32err         
###                       Mpc             Mpc             cm^-3           cm^-3           keV cm^2        keV cm^2        keV cm^2        dyne cm^-2      dyne cm^-2      dyne cm^-2      M_solar         M_solar         keV             keV             ergs-cm^3/s     Gyr             Gyr             Gyr             Gyr            
ABELL_2261                4.7812e-01      4.9519e-01      7.7512e-04      1.2849e-03      9.1120e+02      9.1120e+02      1.0176e+03      9.6549e-12      9.6549e-12      1.6080e-11      1.7107e+15      2.0133e+14      7.1507e+00      1.1307e+00      2.3058e-23      1.1680e+02      1.9450e+02      7.0080e+01      1.1670e+02     
ABELL_2261                4.6104e-01      4.7812e-01      1.1870e-03      3.4981e-04      6.9553e+02      6.9553e+02      1.7691e+02      1.4993e-11      1.4993e-11      5.0389e-12      -4.2808e+14     -5.0713e+13     7.2177e+00      1.1302e+00      2.3246e-23      7.6367e+01      2.5486e+01      4.5820e+01      1.5291e+01     
ABELL_2261                4.4397e-01      4.6104e-01      1.0603e-03      2.9690e-04      7.6030e+02      7.6030e+02      1.8821e+02      1.3579e-11      1.3579e-11      4.3968e-12      1.3898e+15      1.6570e+14      7.3219e+00      1.1470e+00      2.3435e-23      8.6023e+01      2.7601e+01      5.1614e+01      1.6561e+01     
ABELL_2261                4.2689e-01      4.4397e-01      1.5644e-03      3.0008e-04      5.9468e+02      5.9468e+02      1.2348e+02      2.0310e-11      2.0310e-11      5.1201e-12      3.8135e+14      4.5747e+13      7.4607e+00      1.1799e+00      2.3627e-23      5.8926e+01      1.4650e+01      3.5356e+01      8.7898e+00     
ABELL_2261                4.0981e-01      4.2689e-01      5.1296e-04      2.0736e-04      1.2675e+03      1.2675e+03      4.0024e+02      6.7496e-12      6.7496e-12      2.9458e-12      4.5784e+13      5.5251e+12      7.5996e+00      1.2128e+00      2.3819e-23      1.8158e+02      7.8914e+01      1.0895e+02      4.7348e+01     
ABELL_2261                3.9274e-01      4.0981e-01      1.4713e-03      2.2559e-04      6.3627e+02      6.3627e+02      1.2377e+02      1.9618e-11      1.9618e-11      4.4262e-12      1.8363e+14      2.2288e+13      7.7385e+00      1.2457e+00      2.4011e-23      6.3948e+01      1.4216e+01      3.8369e+01      8.5298e+00     
ABELL_2261                3.7566e-01      3.9274e-01      1.6155e-03      1.7777e-04      6.0570e+02      6.0570e+02      1.1017e+02      2.1824e-11      2.1824e-11      4.3544e-12      8.0269e+13      9.7972e+12      7.8773e+00      1.2786e+00      2.4203e-23      5.8816e+01      1.1534e+01      3.5290e+01      6.9203e+00     
ABELL_2261                3.5859e-01      3.7566e-01      1.7156e-03      2.6832e-04      5.8945e+02      5.8945e+02      1.1622e+02      2.3478e-11      2.3478e-11      5.3777e-12      5.4039e+14      6.6315e+13      8.0162e+00      1.3115e+00      2.4395e-23      5.5914e+01      1.2655e+01      3.3549e+01      7.5931e+00     
ABELL_2261                3.4151e-01      3.5859e-01      1.3199e-03      4.7243e-04      7.1104e+02      7.1104e+02      2.0759e+02      1.8295e-11      1.8295e-11      7.2353e-12      1.7986e+14      2.2188e+13      8.1550e+00      1.3443e+00      2.4587e-23      7.3359e+01      2.8908e+01      4.4015e+01      1.7345e+01     
ABELL_2261                3.2444e-01      3.4151e-01      1.6599e-03      1.0253e-04      6.1802e+02      6.1802e+02      1.0755e+02      2.3299e-11      2.3299e-11      4.1940e-12      5.1959e+13      6.4425e+12      8.2939e+00      1.3772e+00      2.4779e-23      5.8866e+01      1.0429e+01      3.5320e+01      6.2576e+00     
ABELL_2261                3.0736e-01      3.2444e-01      2.1064e-03      1.0078e-03      5.3357e+02      5.3357e+02      1.9279e+02      2.9918e-11      2.9918e-11      1.5188e-11      1.5959e+14      1.9866e+13      8.4327e+00      1.4101e+00      2.4971e-23      4.6804e+01      2.3722e+01      2.8082e+01      1.4233e+01     
ABELL_2261                2.9029e-01      3.0736e-01      2.0117e-03      1.9313e-04      5.4388e+02      5.4388e+02      9.5525e+01      2.8246e-11      2.8246e-11      5.3568e-12      2.4365e+14      2.9224e+13      8.5716e+00      1.4430e+00      2.5163e-23      4.9434e+01      9.5803e+00      2.9661e+01      5.7482e+00     
ABELL_2261                2.7321e-01      2.9029e-01      2.6297e-03      5.9456e-04      4.4965e+02      4.4965e+02      9.7936e+01      3.6496e-11      3.6496e-11      1.0050e-11      1.3793e+14      1.5902e+13      8.7104e+00      1.4759e+00      2.5355e-23      3.8138e+01      1.0775e+01      2.2883e+01      6.4652e+00     
ABELL_2261                2.5613e-01      2.7321e-01      1.8758e-03      4.6750e-04      5.5664e+02      5.5664e+02      1.2488e+02      2.5728e-11      2.5728e-11      7.4936e-12      1.3946e+14      1.5416e+13      8.7052e+00      1.4444e+00      2.5413e-23      5.3313e+01      1.5962e+01      3.1988e+01      9.5773e+00     
ABELL_2261                2.3906e-01      2.5613e-01      3.2773e-03      3.1042e-04      3.7918e+02      3.7918e+02      5.9654e+01      4.4417e-11      4.4417e-11      7.6593e-12      1.4163e+14      1.4966e+13      8.5919e+00      1.3646e+00      2.5370e-23      3.0168e+01      5.5787e+00      1.8101e+01      3.3472e+00     
ABELL_2261                2.2198e-01      2.3906e-01      3.5242e-03      2.2734e-04      3.5692e+02      3.5692e+02      5.1351e+01      4.7190e-11      4.7190e-11      7.1584e-12      9.2966e+13      9.3601e+12      8.4786e+00      1.2848e+00      2.5327e-23      2.7731e+01      4.5671e+00      1.6639e+01      2.7402e+00     
ABELL_2261                2.0491e-01      2.2198e-01      3.0134e-03      3.4484e-04      3.9138e+02      3.9138e+02      5.9103e+01      3.9861e-11      3.9861e-11      6.9133e-12      1.5797e+14      1.5097e+13      8.3652e+00      1.2049e+00      2.5284e-23      3.2052e+01      5.8964e+00      1.9231e+01      3.5379e+00     
ABELL_2261                1.8783e-01      2.0491e-01      4.7016e-03      2.9670e-04      2.8737e+02      2.8737e+02      3.7406e+01      6.1426e-11      6.1426e-11      8.5018e-12      7.3809e+13      6.6674e+12      8.2519e+00      1.1251e+00      2.5241e-23      2.0300e+01      3.0499e+00      1.2180e+01      1.8299e+00     
ABELL_2261                1.7076e-01      1.8783e-01      4.8036e-03      4.4413e-04      2.7850e+02      2.7850e+02      3.9020e+01      6.1700e-11      6.1700e-11      9.6338e-12      7.1794e+13      6.6244e+12      8.1385e+00      1.0453e+00      2.5198e-23      1.9629e+01      3.1064e+00      1.1777e+01      1.8638e+00     
ABELL_2261                1.5368e-01      1.7076e-01      5.3264e-03      3.0289e-04      2.5544e+02      2.5544e+02      3.4364e+01      6.7225e-11      6.7225e-11      9.4820e-12      8.1552e+13      7.7195e+12      8.0085e+00      9.9299e-01      2.5031e-23      1.7535e+01      2.3920e+00      1.0521e+01      1.4352e+00     
ABELL_2261                1.3660e-01      1.5368e-01      6.5858e-03      8.6440e-04      2.1781e+02      2.1781e+02      3.4576e+01      8.1646e-11      8.1646e-11      1.5225e-11      4.4293e+13      4.3022e+12      7.8407e+00      1.0027e+00      2.4585e-23      1.4137e+01      2.5907e+00      8.4824e+00      1.5544e+00     
ABELL_2261                1.1953e-01      1.3660e-01      7.0743e-03      6.0745e-04      2.0392e+02      2.0392e+02      3.0080e+01      8.6122e-11      8.6122e-11      1.3848e-11      4.4951e+13      4.4814e+12      7.6729e+00      1.0124e+00      2.4139e-23      1.3117e+01      2.0651e+00      7.8704e+00      1.2390e+00     
ABELL_2261                1.0245e-01      1.1953e-01      8.9046e-03      3.9219e-04      1.7171e+02      1.7171e+02      2.4491e+01      1.0641e-10      1.0641e-10      1.5574e-11      3.7585e+13      3.8470e+12      7.5051e+00      1.0222e+00      2.3692e-23      1.0385e+01      1.4866e+00      6.2312e+00      8.9193e-01     
ABELL_2261                8.5380e-02      1.0245e-01      9.4197e-03      1.1434e-03      1.6487e+02      1.6487e+02      2.5543e+01      1.1222e-10      1.1222e-10      2.0133e-11      2.6543e+13      2.5715e+12      7.3673e+00      1.0203e+00      2.3374e-23      9.7682e+00      1.7989e+00      5.8609e+00      1.0793e+00     
ABELL_2261                6.8300e-02      8.5380e-02      1.1479e-02      4.0165e-04      1.4417e+02      1.4417e+02      1.8196e+01      1.3644e-10      1.3644e-10      1.7583e-11      2.2081e+13      2.0084e+12      7.3534e+00      9.7038e-01      2.3586e-23      7.9286e+00      1.0824e+00      4.7572e+00      6.4946e-01     
ABELL_2261                5.1230e-02      6.8300e-02      1.5710e-02      9.2437e-04      1.1669e+02      1.1670e+02      1.4303e+01      1.8628e-10      1.8629e-10      2.4250e-11      1.4686e+13      1.2506e+12      7.3396e+00      9.2047e-01      2.3799e-23      5.7312e+00      7.9394e-01      3.4387e+00      4.7636e-01     
ABELL_2261                3.4150e-02      5.1230e-02      2.0143e-02      4.3320e-03      9.8642e+01      9.8878e+01      1.8217e+01      2.3829e-10      2.3886e-10      5.8273e-11      8.5134e+12      7.2670e+11      7.3257e+00      8.7057e-01      2.4011e-23      4.4220e+00      1.0865e+00      2.6532e+00      6.5193e-01     
ABELL_2261                1.7080e-02      3.4150e-02      2.5848e-02      3.4876e-04      8.3337e+01      8.3732e+01      9.7519e+00      3.0507e-10      3.0652e-10      3.5830e-11      5.6287e+12      4.8159e+11      7.3200e+00      8.5000e-01      2.4223e-23      3.4131e+00      3.9899e-01      2.0478e+00      2.3940e-01     
ABELL_2261                0.0000e+00      1.7080e-02      3.9490e-02      6.1752e-04      6.2677e+01      6.3123e+01      7.3589e+00      4.6498e-10      4.6829e-10      5.4861e-11      2.8078e+12      2.4079e+11      7.3200e+00      8.5000e-01      2.4435e-23      2.2146e+00      2.5948e-01      1.3288e+00      1.5569e-01     
