#Name                     Rin             Rout            nelec           neerr           Kitpl           Kflat           Kerr            Pitpl           Pflat           Perr            Mgrav           Merr            Tx              Txerr           Lambda          tcool5/2        t52err          tcool3/2        t32err         
###                       Mpc             Mpc             cm^-3           cm^-3           keV cm^2        keV cm^2        keV cm^2        dyne cm^-2      dyne cm^-2      dyne cm^-2      M_solar         M_solar         keV             keV             ergs-cm^3/s     Gyr             Gyr             Gyr             Gyr            
ABELL_1689                9.0153e-01      9.1681e-01      4.8376e-04      4.3848e-05      1.2375e+03      1.2375e+03      2.9659e+02      5.9766e-12      5.9766e-12      1.4882e-12      -1.1854e+16     -2.0160e+15     6.7562e+00      1.7645e+00      2.2633e-23      1.8014e+02      4.9798e+01      1.0808e+02      2.9879e+01     
ABELL_1689                8.8625e-01      9.0153e-01      2.2397e-04      1.0833e-04      2.0922e+03      2.0922e+03      8.2782e+02      2.7995e-12      2.7995e-12      1.4986e-12      1.0896e+16      1.8320e+15      6.8627e+00      1.7650e+00      2.2647e-23      3.9500e+02      2.1639e+02      2.3700e+02      1.2983e+02     
ABELL_1689                8.7097e-01      8.8625e-01      4.6181e-04      8.3375e-05      1.3065e+03      1.3065e+03      3.3534e+02      5.8397e-12      5.8397e-12      1.6924e-12      -1.0294e+15     -1.7113e+14     6.9692e+00      1.7655e+00      2.2660e-23      1.9442e+02      6.0481e+01      1.1665e+02      3.6288e+01     
ABELL_1689                8.5569e-01      8.7097e-01      2.7907e-04      1.1364e-04      1.8489e+03      1.8489e+03      6.5096e+02      3.5695e-12      3.5695e-12      1.6593e-12      2.6014e+15      4.2765e+14      7.0757e+00      1.7660e+00      2.2674e-23      3.2646e+02      1.5593e+02      1.9588e+02      9.3556e+01     
ABELL_1689                8.4041e-01      8.5569e-01      4.7684e-04      9.5816e-05      1.2909e+03      1.2909e+03      3.3030e+02      6.0866e-12      6.0866e-12      1.8045e-12      -2.0424e+14     -3.2650e+13     7.1822e+00      1.7665e+00      2.2687e-23      1.9382e+02      6.1557e+01      1.1629e+02      3.6934e+01     
ABELL_1689                8.2513e-01      8.4041e-01      3.4521e-04      1.1798e-04      1.5967e+03      1.5967e+03      4.9645e+02      4.3941e-12      4.3941e-12      1.7662e-12      -1.5070e+15     -2.3384e+14     7.2888e+00      1.7671e+00      2.2700e-23      2.7153e+02      1.1378e+02      1.6292e+02      6.8265e+01     
ABELL_1689                8.0985e-01      8.2513e-01      5.5025e-04      9.5459e-05      1.1669e+03      1.1669e+03      2.7480e+02      6.9844e-12      6.9844e-12      1.8765e-12      -2.7353e+14     -4.1152e+13     7.3953e+00      1.7676e+00      2.2714e-23      1.7274e+02      5.1017e+01      1.0364e+02      3.0610e+01     
ABELL_1689                7.9457e-01      8.0985e-01      4.3251e-04      1.1668e-04      1.3662e+03      1.3662e+03      3.6613e+02      5.4746e-12      5.4746e-12      1.8342e-12      1.1384e+15      1.6587e+14      7.5018e+00      1.7681e+00      2.2727e-23      2.2280e+02      7.9813e+01      1.3368e+02      4.7888e+01     
ABELL_1689                7.7929e-01      7.9457e-01      1.4967e-04      1.1949e-04      2.7639e+03      2.7639e+03      1.5640e+03      1.8892e-12      1.8892e-12      1.5513e-12      -2.8514e+14     -4.0182e+13     7.6083e+00      1.7686e+00      2.2740e-23      6.5257e+02      5.4261e+02      3.9155e+02      3.2556e+02     
ABELL_1689                7.6401e-01      7.7929e-01      4.3881e-04      1.2010e-04      1.3455e+03      1.3455e+03      3.5021e+02      5.5231e-12      5.5231e-12      1.8265e-12      2.1095e+13      2.8715e+12      7.7149e+00      1.7691e+00      2.2754e-23      2.2557e+02      8.0543e+01      1.3534e+02      4.8325e+01     
ABELL_1689                7.4873e-01      7.6401e-01      5.5764e-04      1.1075e-04      1.1436e+03      1.1436e+03      2.5465e+02      6.9991e-12      6.9991e-12      1.8715e-12      2.0546e+15      2.6975e+14      7.8214e+00      1.7696e+00      2.2767e-23      1.7985e+02      5.4145e+01      1.0791e+02      3.2487e+01     
ABELL_1689                7.3345e-01      7.4873e-01      5.0275e-04      1.2409e-04      1.2219e+03      1.2219e+03      2.9122e+02      6.2924e-12      6.2924e-12      1.8944e-12      8.9953e+14      1.1373e+14      7.8932e+00      1.7528e+00      2.2816e-23      2.0089e+02      6.6696e+01      1.2053e+02      4.0018e+01     
ABELL_1689                7.1817e-01      7.3345e-01      4.4255e-04      1.3359e-04      1.3266e+03      1.3266e+03      3.4586e+02      5.5232e-12      5.5232e-12      1.9021e-12      4.8122e+14      5.8493e+13      7.8671e+00      1.6872e+00      2.2963e-23      2.2600e+02      8.3687e+01      1.3560e+02      5.0212e+01     
ABELL_1689                7.0289e-01      7.1817e-01      3.6405e-04      1.3726e-04      1.5067e+03      1.5067e+03      4.4818e+02      4.5306e-12      4.5306e-12      1.8540e-12      -5.3946e+13     -6.2922e+12     7.8410e+00      1.6217e+00      2.3110e-23      2.7208e+02      1.1701e+02      1.6325e+02      7.0204e+01     
ABELL_1689                6.8761e-01      7.0289e-01      6.8660e-04      1.0600e-04      9.8423e+02      9.8423e+02      1.8093e+02      8.5202e-12      8.5202e-12      1.8478e-12      5.7565e+14      6.4300e+13      7.8149e+00      1.5561e+00      2.3257e-23      1.4288e+02      3.5998e+01      8.5726e+01      2.1599e+01     
ABELL_1689                6.7233e-01      6.8761e-01      7.2693e-04      1.1082e-04      9.4478e+02      9.4478e+02      1.6771e+02      8.9948e-12      8.9948e-12      1.8958e-12      9.3980e+14      1.0031e+14      7.7889e+00      1.4905e+00      2.3404e-23      1.3366e+02      3.2701e+01      8.0193e+01      1.9620e+01     
ABELL_1689                6.5705e-01      6.7233e-01      4.8553e-04      1.4981e-04      1.2329e+03      1.2329e+03      3.0590e+02      5.9906e-12      5.9906e-12      2.0267e-12      9.5947e+13      9.7611e+12      7.7628e+00      1.4249e+00      2.3551e-23      1.9819e+02      7.1157e+01      1.1891e+02      4.2694e+01     
ABELL_1689                6.4177e-01      6.5705e-01      6.0520e-04      1.3695e-04      1.0614e+03      1.0614e+03      2.1268e+02      7.4457e-12      7.4457e-12      1.9501e-12      -9.5108e+13     -9.1978e+12     7.7367e+00      1.3594e+00      2.3698e-23      1.5748e+02      4.5118e+01      9.4490e+01      2.7071e+01     
ABELL_1689                6.2649e-01      6.4177e-01      6.1177e-04      1.4117e-04      1.0508e+03      1.0508e+03      2.0827e+02      7.5048e-12      7.5048e-12      1.9695e-12      6.4088e+14      5.8739e+13      7.7106e+00      1.2938e+00      2.3845e-23      1.5431e+02      4.4027e+01      9.2586e+01      2.6416e+01     
ABELL_1689                6.1121e-01      6.2649e-01      7.3919e-04      1.2816e-04      9.2357e+02      9.2357e+02      1.5259e+02      9.0417e-12      9.0417e-12      1.8966e-12      6.6007e+14      5.7142e+13      7.6845e+00      1.2282e+00      2.3992e-23      1.2650e+02      2.9830e+01      7.5898e+01      1.7898e+01     
ABELL_1689                5.9593e-01      6.1121e-01      6.9475e-04      1.4368e-04      9.8741e+02      9.8741e+02      1.8060e+02      8.7176e-12      8.7176e-12      2.0852e-12      6.0112e+14      5.2980e+13      7.6585e+00      1.1627e+00      2.4139e-23      1.3331e+02      3.4201e+01      7.9989e+01      2.0521e+01     
ABELL_1689                5.8065e-01      5.9593e-01      7.3898e-04      1.4429e-04      9.7213e+02      9.7213e+02      1.7372e+02      9.5126e-12      9.5126e-12      2.1923e-12      -3.8568e+14     -3.4626e+13     7.6324e+00      1.0971e+00      2.4286e-23      1.2415e+02      3.0102e+01      7.4492e+01      1.8061e+01     
ABELL_1689                5.6537e-01      5.8065e-01      9.7373e-04      1.1943e-04      8.2923e+02      8.2923e+02      1.2355e+02      1.2850e-11      1.2850e-11      2.2464e-12      8.1182e+14      7.4154e+13      7.6063e+00      1.0315e+00      2.4433e-23      9.3336e+01      1.7066e+01      5.6001e+01      1.0240e+01     
ABELL_1689                5.5009e-01      5.6537e-01      9.4207e-04      1.3704e-04      8.6857e+02      8.6857e+02      1.3851e+02      1.2739e-11      1.2739e-11      2.4565e-12      3.5523e+14      3.2977e+13      7.5802e+00      9.6595e-01      2.4580e-23      9.5567e+01      1.8482e+01      5.7340e+01      1.1089e+01     
ABELL_1689                5.3481e-01      5.5009e-01      5.3996e-04      1.9227e-04      1.2890e+03      1.2890e+03      3.4796e+02      7.4767e-12      7.4767e-12      2.8304e-12      1.6702e+14      1.5742e+13      7.5541e+00      9.0038e-01      2.4727e-23      1.6517e+02      6.2022e+01      9.9103e+01      3.7213e+01     
ABELL_1689                5.1953e-01      5.3481e-01      1.3184e-03      1.1296e-04      7.2755e+02      7.2755e+02      1.0355e+02      1.8684e-11      1.8684e-11      2.9147e-12      7.9869e+12      7.6358e+11      7.7575e+00      9.3337e-01      2.4957e-23      6.8827e+01      1.0166e+01      4.1296e+01      6.0998e+00     
