preset,boundary_R_kpc,G_solved,M_bary_Msun,G_over_M,vF_kms,percent_close
MW-like disk,8.000,2.106141,8.000000e+10,2.632676e-11,219.994,99.997
Central-dominated,6.000,1.543762,9.500000e+10,1.625013e-11,219.997,99.999
Dwarf disk,2.400,10.479185,4.500000e+09,2.328708e-09,219.998,99.999
LMC-like dwarf,3.600,17.540034,4.000000e+09,4.385008e-09,220.000,100.000
Ultra-diffuse disk,12.000,99.991347,7.000000e+08,1.428448e-07,120.975,54.989
Compact nuclear disk,0.800,0.867533,2.200000e+10,3.943332e-11,220.003,99.999
