preset,N,err_fixed,err_solved,g,dens_k,dens_R,well_k,well_R,time_s
MW-like disk,3000,247.1279823942056,31.673697243293823,1.816,3.0,2.0,0.0,2.0,0.1931529169996793
Central-dominated,3000,53942.3361164495,8.253127113081044e-08,1.816,3.0,2.0,0.0,2.0,0.1947269160009455
Dwarf disk,3000,6528.736373479155,5093.000451992827,1.816,3.0,2.0,0.0,2.0,0.18309695800053305
LMC-like dwarf,3000,16368.828179848533,15167.871979744612,1.816,3.0,2.0,0.0,2.0,0.18279270900166011
Ultra-diffuse disk,3000,41492.3718048256,41164.88317764986,1.816,3.0,2.0,0.0,2.0,0.19730916600019555
Compact nuclear disk,2992,297242.7654119815,5.536487616866228e-14,1.816,3.0,2.0,0.0,2.0,0.20194104100301047
