Galaxy,Galaxy_Type,Galaxy_Class,Baryonic_Mass_Msun,Mass_Category,Boundary_kpc,Outer_Points_Count,Avg_GR_Percent_Off,Median_GR_Percent_Off,Avg_Model_Percent_Off,Median_Model_Percent_Off,Median_G_Required_Outer,Mean_G_Required_Outer,Median_G_Ratio_Outer,Mean_G_Ratio_Outer
CamB,Im,dwarf irregular,2500000000.0,dwarf,0.895,5,26.242389139084388,18.406768789161756,99.3323435039901,98.42927785967277,0.7132584745860614,0.8140181295434543,0.2539735539566768,0.2898515541161967
D512-2,Im,dwarf irregular,5000000000.0,dwarf,1.915,3,38.314883441817045,39.697967954766376,6.06532887137437,3.6871650304338006,2.750021604401537,2.647230228987692,0.9301435938374822,0.8953763253949717
D564-8,Im,dwarf irregular,3500000000.0,dwarf,2.456,2,56.725497303354274,56.725497303354274,26.568815977548034,26.568815977548034,5.3644017935627275,5.3644017935627275,1.8630495629666892,1.8630495629666892
D631-7,Im,dwarf irregular,1500000000.0,dwarf,5.752000000000001,4,63.86855721861483,63.97288583379262,40.58622235159609,40.75777811210209,7.707141008604561,7.683712423669903,2.8502934811188028,2.8416290045202124
DDO064,Im,dwarf irregular,2500000000.0,dwarf,2.384,1,40.15806193720549,40.15806193720549,0.28474450364776516,0.28474450364776516,2.7924711784921272,2.7924711784921272,0.9943293417366355,0.9943293417366355
DDO154,Im,dwarf irregular,1500000000.0,dwarf,3.2,6,60.36876128081434,61.06099404345446,34.83123219187865,35.96952505467099,6.608751767482403,6.444992862930949,2.4440816718102356,2.383519533710381
DDO161,Im,dwarf irregular,5000000000.0,dwarf,6.4,15,44.87563172227298,43.585515458952166,7.756780411056183,6.750857961741562,3.1420909461027886,3.3723343547686815,1.0627537471322088,1.1406292922737864
DDO168,Im,dwarf irregular,3000000000.0,dwarf,3.2,3,47.433802088728974,47.98137848946438,11.31048915715933,12.234358203428972,3.6955775613623225,3.6223738008946547,1.2982278872631983,1.2725119709514245
DDO170,Im,dwarf irregular,3500000000.0,dwarf,6.165,5,46.76955368261384,44.69098846770884,9.674878841941979,6.147824912095499,3.2689494595621733,3.5819180979629275,1.13530177200853,1.2439953612349177
ESO079-G014,Sbc,spiral,2500000000.0,dwarf,13.336000000000002,3,23.963857604988334,24.05645493466719,27.4234317933559,27.268254674278975,1.7338769272805243,1.733946233068153,0.6173903304836005,0.6174150085460716
ESO116-G012,Sd,spiral,1500000000.0,dwarf,7.888,3,46.160599691047224,45.434949122999605,11.467632830661728,10.274388437923792,3.3586973455496034,3.46371337211515,1.2421302709244681,1.2809678237340762
ESO444-G084,Im,dwarf irregular,3000000000.0,dwarf,3.2,2,70.73520343824904,70.73520343824904,50.624534489673934,50.624534489673934,11.935736767717167,11.935736767717167,4.192932246609649,4.192932246609649
ESO563-G021,Sbc,spiral,0.0,ultra-light,33.928,5,34.84445575542401,35.43838146475396,100.0,100.0,2.3991156353704564,2.36057549793324,inf,inf
