Galaxy_Type,Galaxy_Class,Mass_Category,Galaxies,Avg_GR_Percent_Off,Median_GR_Percent_Off,Avg_Model_Percent_Off,Median_Model_Percent_Off,Median_G_Ratio_Outer,Mean_G_Ratio_Outer
BCD,dwarf BCD,dwarf,5,48.02166375724038,59.52761148842415,43.514010659007106,41.82960999140551,2.1202420272633886,1.9804233168425545
Im,dwarf irregular,dwarf,39,40.86687472715551,41.073495072407695,28.876818069157117,20.689274298488584,0.9943293417366355,1.2927136884692148
S0,lenticular,dwarf,2,38.136115382736264,38.283746989300525,19.180038046515655,19.4228003269858,1.0882926452337875,1.080836221477786
S0,lenticular,ultra-light,1,45.253605244197296,45.335639758159346,100.0,100.0,inf,inf
Sa,spiral,dwarf,1,52.19629260065456,52.19629260065456,20.5494604840047,20.5494604840047,1.5859906372385084,1.5859906372385084
Sa,spiral,ultra-light,2,38.33149708496774,38.33149708496774,100.0,100.0,inf,inf
Sab,spiral,dwarf,3,33.62899890028353,41.15626845465274,33.757032616435616,20.407225821797972,0.9844810395893852,0.9773545234146006
Sab,spiral,ultra-light,7,33.43051950975377,36.03630938455923,86.23832835365202,100.0,inf,inf
Sb,spiral,dwarf,3,30.29846749944818,31.073118111826485,26.96839090930258,19.135370323537103,0.749487322425655,0.9165464513564426
Sb,spiral,ultra-light,9,24.71720563831583,24.16532580152805,89.20428917538236,100.0,inf,inf
Sbc,spiral,dwarf,9,26.037488200731058,24.471104820663985,47.026916917018724,27.268254674278975,0.6173903304836005,0.5843813823156586
Sbc,spiral,ultra-light,9,17.79219153510697,16.179694303503105,91.24820355999721,100.0,inf,inf
Sc,spiral,dwarf,10,36.27988352421451,36.699983776452015,28.60285216125073,22.48478767793158,0.8760576595197394,1.1207857042884057
Sc,spiral,ultra-light,6,28.39899713322015,30.34691665757857,97.2788801076527,100.0,inf,inf
Scd,spiral,dwarf,10,38.77388343364813,42.68154687245124,23.168704783309273,21.493881738229383,1.1625618910272097,1.200814543923385
Scd,spiral,ultra-light,6,40.17616686599411,41.54035333241393,47.46463340489655,29.290003558310996,2.165673967769706,inf
Sd,spiral,dwarf,15,46.58187833012055,46.367053882158174,16.82035534257078,11.807121720697598,1.280909768069928,1.3646261541921387
Sd,spiral,ultra-light,1,14.585738319277421,18.610587941796815,37.03212023076465,28.491831701090543,0.6056882785173909,0.5477167904684257
Sdm,spiral,dwarf,9,38.38534369389902,39.10970035478288,24.48280143897522,19.60483478498024,0.9496324733982928,1.1423152785641824
Sdm,spiral,ultra-light,1,52.06852789767678,51.848980684132705,24.329191097326657,23.982585526653963,1.7305087982166303,1.7479179982277326
Sm,dwarf irregular,dwarf,27,42.901822835361386,44.608600223336914,26.036999724761205,17.41609468349517,1.1679892217465573,1.2455849475811336
