galaxy,galaxy_key
CamB,CAMB
D512-2,D5122
D564-8,D5648
D631-7,D6317
DDO064,DDO064
DDO154,DDO154
DDO161,DDO161
DDO168,DDO168
DDO170,DDO170
ESO079-G014,ESO79G014
ESO116-G012,ESO116G012
ESO444-G084,ESO444G084
ESO563-G021,ESO563G021
F561-1,F5611
F563-1,F5631
F563-V1,F563V1
F563-V2,F563V2
F565-V2,F565V2
F567-2,F5672
F568-1,F5681
F568-3,F5683
F568-V1,F568V1
F571-8,F5718
F571-V1,F571V1
F574-1,F5741
F574-2,F5742
F579-V1,F579V1
F583-1,F5831
F583-4,F5834
IC2574,IC2574
IC4202,IC4202
KK98-251,KK98251
NGC0024,NGC24
NGC0055,NGC55
NGC0100,NGC100
NGC0247,NGC247
NGC0289,NGC289
NGC0300,NGC300
NGC0801,NGC801
NGC0891,NGC891
NGC1003,NGC1003
NGC1090,NGC1090
NGC1705,NGC1705
NGC2366,NGC2366
NGC2403,NGC2403
NGC2683,NGC2683
NGC2841,NGC2841
NGC2903,NGC2903
NGC2915,NGC2915
NGC2955,NGC2955
NGC2976,NGC2976
NGC2998,NGC2998
NGC3109,NGC3109
NGC3198,NGC3198
NGC3521,NGC3521
NGC3726,NGC3726
NGC3741,NGC3741
NGC3769,NGC3769
NGC3877,NGC3877
NGC3893,NGC3893
NGC3917,NGC3917
NGC3949,NGC3949
NGC3953,NGC3953
NGC3972,NGC3972
NGC3992,NGC3992
NGC4010,NGC4010
NGC4013,NGC4013
NGC4051,NGC4051
NGC4068,NGC4068
NGC4085,NGC4085
NGC4088,NGC4088
NGC4100,NGC4100
NGC4138,NGC4138
NGC4157,NGC4157
NGC4183,NGC4183
NGC4214,NGC4214
NGC4217,NGC4217
NGC4389,NGC4389
NGC4559,NGC4559
NGC5005,NGC5005
NGC5033,NGC5033
NGC5055,NGC5055
NGC5371,NGC5371
NGC5585,NGC5585
NGC5907,NGC5907
NGC5985,NGC5985
NGC6015,NGC6015
NGC6195,NGC6195
NGC6503,NGC6503
NGC6674,NGC6674
NGC6789,NGC6789
NGC6946,NGC6946
NGC7331,NGC7331
NGC7793,NGC7793
NGC7814,NGC7814
PGC51017,PGC51017
UGC00128,UGC128
UGC00191,UGC191
UGC00634,UGC634
UGC00731,UGC731
UGC00891,UGC891
UGC01230,UGC1230
UGC01281,UGC1281
UGC02023,UGC2023
UGC02259,UGC2259
UGC02455,UGC2455
UGC02487,UGC2487
UGC02885,UGC2885
UGC02916,UGC2916
UGC02953,UGC2953
UGC03205,UGC3205
UGC03546,UGC3546
UGC03580,UGC3580
UGC04278,UGC4278
UGC04305,UGC4305
UGC04325,UGC4325
UGC04483,UGC4483
UGC04499,UGC4499
UGC05005,UGC5005
UGC05253,UGC5253
UGC05414,UGC5414
UGC05716,UGC5716
UGC05721,UGC5721
UGC05750,UGC5750
UGC05764,UGC5764
UGC05829,UGC5829
UGC05918,UGC5918
UGC05986,UGC5986
UGC05999,UGC5999
UGC06399,UGC6399
UGC06446,UGC6446
UGC06614,UGC6614
UGC06628,UGC6628
UGC06667,UGC6667
UGC06786,UGC6786
UGC06787,UGC6787
UGC06818,UGC6818
UGC06917,UGC6917
UGC06923,UGC6923
UGC06930,UGC6930
UGC06973,UGC6973
UGC06983,UGC6983
UGC07089,UGC7089
UGC07125,UGC7125
UGC07151,UGC7151
UGC07232,UGC7232
UGC07261,UGC7261
UGC07323,UGC7323
UGC07399,UGC7399
UGC07524,UGC7524
UGC07559,UGC7559
UGC07577,UGC7577
UGC07603,UGC7603
UGC07608,UGC7608
UGC07690,UGC7690
UGC07866,UGC7866
UGC08286,UGC8286
UGC08490,UGC8490
UGC08550,UGC8550
UGC08699,UGC8699
UGC08837,UGC8837
UGC09037,UGC9037
UGC09133,UGC9133
UGC09992,UGC9992
UGC10310,UGC10310
UGC11455,UGC11455
UGC11557,UGC11557
UGC11820,UGC11820
UGC11914,UGC11914
UGC12506,UGC12506
UGC12632,UGC12632
UGC12732,UGC12732
UGCA281,UGCA281
UGCA442,UGCA442
UGCA444,UGCA444
