galaxy,boundary_kpc
CamB,0.895
D512-2,1.915
D564-8,2.456
D631-7,5.752000000000001
DDO064,2.384
DDO154,3.2
DDO161,6.4
DDO168,3.2
DDO170,6.165
ESO079-G014,13.336000000000002
ESO116-G012,7.888
ESO444-G084,3.2
ESO563-G021,33.928
F561-1,6.4
F563-1,8.040000000000001
F563-V1,3.935
F563-V2,6.4
F565-V2,4.4
F567-2,3.8360000000000003
F568-1,6.4
F568-3,7.192
F568-V1,9.600000000000001
F571-8,12.440000000000001
F571-V1,5.436
F574-1,6.4
F574-2,4.332
F579-V1,12.128
F583-1,6.504000000000001
F583-4,5.832000000000001
IC2574,4.0920000000000005
IC4202,20.72
KK98-251,1.565
NGC0024,9.016
NGC0055,10.8
NGC0100,7.696
NGC0247,9.600000000000001
NGC0289,56.89600000000001
NGC0300,9.440000000000001
NGC0801,47.856
NGC0891,13.688
NGC1003,24.192
NGC1090,24.072000000000003
NGC1705,4.800000000000001
NGC2366,4.848
NGC2403,16.696
NGC2683,27.695999999999998
NGC2841,50.912000000000006
NGC2903,19.968000000000004
NGC2915,8.032
NGC2955,28.344
NGC2976,1.816
NGC2998,33.824000000000005
NGC3109,3.2
NGC3198,35.264
NGC3521,14.192
NGC3726,26.016000000000005
NGC3741,5.6000000000000005
NGC3769,29.727999999999998
NGC3877,9.08
NGC3893,15.240000000000002
NGC3917,11.888
NGC3949,5.656000000000001
NGC3953,12.544
NGC3972,6.976000000000001
NGC3992,36.816
NGC4010,4.188000000000001
NGC4013,24.808000000000003
NGC4051,9.752
NGC4068,1.864
NGC4085,4.960000000000001
NGC4088,17.184
NGC4100,18.208000000000002
NGC4138,14.863999999999999
NGC4157,23.688000000000002
NGC4183,16.816
NGC4214,4.5040000000000004
NGC4217,13.376
NGC4389,4.256
NGC4559,16.776
NGC5005,9.176
NGC5033,35.672000000000004
NGC5055,43.672000000000004
NGC5371,36.992000000000004
NGC5585,8.768
NGC5907,40.264
NGC5985,27.776
NGC6015,23.384
NGC6195,29.144000000000002
NGC6503,18.8
NGC6674,57.928
NGC6789,0.568
NGC6946,16.32
NGC7331,29.048000000000002
NGC7793,6.296
NGC7814,15.624000000000002
PGC51017,2.904
UGC00128,21.5
UGC00191,7.984000000000001
UGC00634,7.204000000000001
UGC00731,6.4
UGC00891,3.2
UGC01230,14.616
UGC01281,3.2
UGC02023,3.024
UGC02259,6.5120000000000005
UGC02455,3.224
UGC02487,64.304
UGC02885,59.256
UGC02916,30.400000000000002
UGC02953,49.912000000000006
UGC03205,32.032000000000004
UGC03546,23.384
UGC03580,21.648
UGC04278,5.352
UGC04305,4.4159999999999995
UGC04325,4.472
UGC04483,0.968
UGC04499,6.5440000000000005
UGC05005,11.444
UGC05253,42.632000000000005
UGC05414,3.2880000000000003
UGC05716,6.4
UGC05721,5.392
UGC05750,11.425
UGC05764,1.81
UGC05829,3.2
UGC05918,2.23
UGC05986,7.5280000000000005
UGC05999,6.4879999999999995
UGC06399,6.28
UGC06446,8.176
UGC06614,51.672000000000004
UGC06628,6.152000000000001
UGC06667,3.2
UGC06786,27.24
UGC06787,29.752
UGC06818,5.5840000000000005
UGC06917,8.376000000000001
UGC06923,4.128
UGC06930,13.288
UGC06973,6.28
UGC06983,12.544
UGC07089,7.328
UGC07125,7.472
UGC07151,4.4
UGC07232,0.656
UGC07261,5.336
UGC07323,4.656000000000001
UGC07399,4.904
UGC07524,6.4
UGC07559,2.024
UGC07577,1.352
UGC07603,3.2880000000000003
UGC07608,3.2
UGC07690,3.3040000000000003
UGC07866,1.8559999999999999
UGC08286,6.4319999999999995
UGC08490,8.120000000000001
UGC08550,4.288
UGC08699,20.560000000000002
UGC08837,3.2
UGC09037,22.368000000000002
UGC09133,86.64800000000001
UGC09992,3.112
UGC10310,6.192
UGC11455,33.544000000000004
UGC11557,8.448
UGC11820,6.4
UGC11914,7.864000000000001
UGC12506,39.992000000000004
UGC12632,4.264
UGC12732,6.4
UGCA281,0.8640000000000001
UGCA442,3.165
UGCA444,2.096
