#Name                     Rin             Rout            nelec           neerr           Kitpl           Kflat           Kerr            Pitpl           Pflat           Perr            Mgrav           Merr            Tx              Txerr           Lambda          tcool5/2        t52err          tcool3/2        t32err         
###                       Mpc             Mpc             cm^-3           cm^-3           keV cm^2        keV cm^2        keV cm^2        dyne cm^-2      dyne cm^-2      dyne cm^-2      M_solar         M_solar         keV             keV             ergs-cm^3/s     Gyr             Gyr             Gyr             Gyr            
ABELL_0426                1.1455e-01      1.1634e-01      1.2686e-02      3.4613e-05      1.1747e+02      1.1747e+02      1.3045e+00      1.3133e-10      1.3133e-10      1.4826e-12      -1.3452e+15     -1.0806e+13     6.5781e+00      7.0000e-02      2.2649e-23      6.6834e+00      7.3422e-02      4.0101e+00      4.4053e-02     
ABELL_0426                1.1276e-01      1.1455e-01      5.9436e-03      9.7778e-05      1.9338e+02      1.9338e+02      3.0082e+00      6.1094e-11      6.1094e-11      1.2101e-12      4.7941e+14      3.8786e+12      6.5212e+00      7.0000e-02      2.2580e-23      1.4185e+01      2.7864e-01      8.5109e+00      1.6718e-01     
ABELL_0426                1.1097e-01      1.1276e-01      7.8700e-03      7.7536e-05      1.5923e+02      1.5923e+02      2.0552e+00      8.0322e-11      8.0322e-11      1.1928e-12      -1.8906e+14     -1.5405e+12     6.4642e+00      7.0000e-02      2.2512e-23      1.0652e+01      1.5594e-01      6.3909e+00      9.3562e-02     
ABELL_0426                1.0918e-01      1.1097e-01      7.0464e-03      9.0016e-05      1.7019e+02      1.7019e+02      2.3933e+00      7.1403e-11      7.1403e-11      1.2126e-12      7.8004e+13      6.4015e+11      6.4073e+00      7.0000e-02      2.2444e-23      1.1828e+01      1.9881e-01      7.0965e+00      1.1929e-01     
ABELL_0426                1.0739e-01      1.0918e-01      7.2393e-03      9.1366e-05      1.6595e+02      1.6595e+02      2.3342e+00      7.2831e-11      7.2831e-11      1.2324e-12      -5.8058e+12     -4.7991e+10     6.3504e+00      7.0000e-02      2.2375e-23      1.1445e+01      1.9178e-01      6.8669e+00      1.1507e-01     
ABELL_0426                1.0560e-01      1.0739e-01      7.2826e-03      9.6626e-05      1.6409e+02      1.6409e+02      2.3618e+00      7.2735e-11      7.2735e-11      1.2702e-12      4.7134e+13      3.9246e+11      6.2934e+00      7.0000e-02      2.2307e-23      1.1309e+01      1.9581e-01      6.7857e+00      1.1748e-01     
ABELL_0426                1.0381e-01      1.0560e-01      7.5628e-03      9.5801e-05      1.5885e+02      1.5885e+02      2.2584e+00      7.4983e-11      7.4983e-11      1.2797e-12      3.9566e+13      3.3186e+11      6.2365e+00      7.0000e-02      2.2239e-23      1.0825e+01      1.8321e-01      6.4951e+00      1.0993e-01     
ABELL_0426                1.0202e-01      1.0381e-01      7.7570e-03      9.9454e-05      1.5504e+02      1.5504e+02      2.2242e+00      7.6344e-11      7.6344e-11      1.3160e-12      6.0647e+13      5.1244e+11      6.1796e+00      7.0000e-02      2.2171e-23      1.0490e+01      1.7946e-01      6.2939e+00      1.0768e-01     
ABELL_0426                1.0023e-01      1.0202e-01      8.2969e-03      9.8185e-05      1.4699e+02      1.4699e+02      2.0443e+00      8.0969e-11      8.0969e-11      1.3335e-12      6.1998e+13      5.2076e+11      6.1227e+00      7.0000e-02      2.2102e-23      9.7470e+00      1.6038e-01      5.8482e+00      9.6230e-02     
ABELL_0426                9.8440e-02      1.0023e-01      8.3431e-03      1.0379e-04      1.4500e+02      1.4500e+02      2.0192e+00      8.0619e-11      8.0619e-11      1.3487e-12      7.2440e+13      5.9423e+11      6.0658e+00      7.0000e-02      2.2034e-23      9.6327e+00      1.6345e-01      5.7796e+00      9.8072e-02     
ABELL_0426                9.6650e-02      9.8440e-02      9.1432e-03      1.0020e-04      1.3506e+02      1.3506e+02      1.7737e+00      8.7473e-11      8.7473e-11      1.3528e-12      6.8219e+13      5.4592e+11      6.0025e+00      6.8174e-02      2.1949e-23      8.7318e+00      1.3781e-01      5.2391e+00      8.2687e-02     
ABELL_0426                9.4860e-02      9.6650e-02      9.6400e-03      9.9750e-05      1.2907e+02      1.2907e+02      1.6360e+00      9.1301e-11      9.1301e-11      1.3547e-12      6.7985e+13      5.3014e+11      5.9369e+00      6.5649e-02      2.1858e-23      8.2255e+00      1.2457e-01      4.9353e+00      7.4742e-02     
ABELL_0426                9.3070e-02      9.4860e-02      1.0432e-02      9.8745e-05      1.2123e+02      1.2123e+02      1.4712e+00      9.7815e-11      9.7815e-11      1.3731e-12      5.5658e+13      4.2312e+11      5.8713e+00      6.3125e-02      2.1766e-23      7.5484e+00      1.0813e-01      4.5291e+00      6.4877e-02     
ABELL_0426                9.1280e-02      9.3070e-02      1.1120e-02      1.0016e-04      1.1527e+02      1.1527e+02      1.3891e+00      1.0345e-10      1.0345e-10      1.4271e-12      3.6180e+13      2.7722e+11      5.8056e+00      6.0601e-02      2.1675e-23      7.0319e+00      9.6950e-02      4.2191e+00      5.8170e-02     
ABELL_0426                8.9490e-02      9.1280e-02      1.1276e-02      1.0655e-04      1.1330e+02      1.1330e+02      1.3904e+00      1.0407e-10      1.0407e-10      1.4725e-12      1.5802e+13      1.2204e+11      5.7500e+00      6.0000e-02      2.1604e-23      6.8910e+00      9.7010e-02      4.1346e+00      5.8206e-02     
ABELL_0426                8.7700e-02      8.9490e-02      1.1853e-02      1.0664e-04      1.0872e+02      1.0872e+02      1.3256e+00      1.0853e-10      1.0853e-10      1.5103e-12      3.3818e+12      2.6327e+10      5.6975e+00      6.0000e-02      2.1539e-23      6.5149e+00      9.0236e-02      3.9089e+00      5.4142e-02     
ABELL_0426                8.5910e-02      8.7700e-02      1.1461e-02      1.1823e-04      1.1032e+02      1.1032e+02      1.4032e+00      1.0412e-10      1.0412e-10      1.5474e-12      2.4906e+12      1.9541e+10      5.6450e+00      6.0000e-02      2.1475e-23      6.6961e+00      9.9182e-02      4.0176e+00      5.9509e-02     
ABELL_0426                8.4120e-02      8.5910e-02      1.1269e-02      1.2386e-04      1.1072e+02      1.1072e+02      1.4433e+00      1.0160e-10      1.0160e-10      1.5642e-12      -4.0032e+12     -3.1651e+10     5.5986e+00      6.0000e-02      2.1454e-23      6.7602e+00      1.0378e-01      4.0561e+00      6.2266e-02     
ABELL_0426                8.2330e-02      8.4120e-02      1.1305e-02      1.2657e-04      1.0963e+02      1.0963e+02      1.4452e+00      1.0113e-10      1.0113e-10      1.5778e-12      2.6188e+11      2.0866e+09      5.5545e+00      6.0000e-02      2.1451e-23      6.6868e+00      1.0403e-01      4.0121e+00      6.2419e-02     
ABELL_0426                8.0540e-02      8.2330e-02      1.1426e-02      1.3182e-04      1.0797e+02      1.0797e+02      1.4451e+00      1.0138e-10      1.0138e-10      1.6129e-12      8.1917e+12      6.5807e+10      5.5114e+00      6.0000e-02      2.1413e-23      6.5761e+00      1.0431e-01      3.9457e+00      6.2588e-02     
ABELL_0426                7.8750e-02      8.0540e-02      1.1605e-02      1.3322e-04      1.0597e+02      1.0597e+02      1.4241e+00      1.0212e-10      1.0212e-10      1.6268e-12      1.1457e+13      9.2801e+10      5.4712e+00      6.0000e-02      2.1246e-23      6.4780e+00      1.0284e-01      3.8868e+00      6.1706e-02     
ABELL_0426                7.6960e-02      7.8750e-02      1.1486e-02      1.3918e-04      1.0552e+02      1.0552e+02      1.4546e+00      9.9943e-11      9.9943e-11      1.6472e-12      1.5936e+13      1.3054e+11      5.4311e+00      6.0000e-02      2.1080e-23      6.5487e+00      1.0739e-01      3.9292e+00      6.4431e-02     
