r_kpc,C
1184.0,1.3432798395185557
1163.0500000000002,1.339412676151858
1142.1,1.3354241672852447
1121.15,1.3313105822592142
1100.2,1.3270681605008936
1079.2,1.3226825226319163
1058.2500000000002,1.3181707702481498
1037.3000000000002,1.3135188669867899
1016.35,1.3087231019421182
995.41,1.303782228532659
974.445,1.2986842832696848
953.49,1.2934342002013375
932.53,1.288025030660707
911.575,1.2824563235425703
890.62,1.2767240368551127
869.6650000000001,1.2708257141011052
848.71,1.2647592723290368
827.75,1.2585215595677555
806.7950000000001,1.2521144198489114
785.8400000000001,1.245535844993954
764.885,1.238785972247034
743.93,1.2318657103315243
722.975,1.2247768403942747
702.0200000000001,1.2175221239435514
681.06,1.210103628752135
660.1049999999999,1.2025299671124632
639.15,1.1948058014622707
618.195,1.186939014900103
597.24,1.1789390919862313
576.285,1.170817250084712
555.33,1.1625865681647678
534.37,1.1542601138674933
513.415,1.1458590260263999
492.46,1.1374006916470307
471.505,1.1289067558925705
450.55,1.1204012062095685
429.595,1.1119104037459338
408.64,1.103463080636322
387.68,1.0950883110773892
366.725,1.0868233982274342
345.77000000000004,1.0787017365108293
324.81499999999994,1.0707606352484236
303.86,1.0630390576516922
282.9,1.0555755608278798
261.945,1.0484149822560176
240.99,1.0415973082563
220.035,1.0351643797762566
199.08,1.0291575419065855
178.12499999999997,1.0236170676746383
157.17,1.0185815551209445
136.21,1.0140863070070854
115.255,1.0101668805753803
94.3,1.006852051870719
73.345,1.0041676944468185
52.39,1.0021351494989608
31.43500000000001,1.000770809265958
10.48,1.0000857902775304
148.41,1.0166349537631976
145.15,1.0159352032224467
141.89,1.0152490324302141
138.63,1.0145765655879375
135.365,1.013916925436463
132.1,1.0132712747110462
128.84,1.0126406884188108
125.58,1.0120242831404778
122.32,1.0114221727620774
119.06,1.0108344689530242
115.79500000000002,1.0102604131977637
112.53,1.009701025554182
109.27,1.0091572338933803
106.01,1.0086282726341897
102.75,1.0081142416202409
99.485,1.0076144844382238
96.22,1.0071298961949455
92.96,1.0066612765135523
89.7,1.0062079612269552
86.43999999999998,1.0057700372052114
83.18,1.0053475885983387
79.915,1.0049400847183787
76.64999999999999,1.0045482643514785
73.39000000000001,1.0041727674069287
70.13,1.0038130547185045
66.87000000000002,1.0034691962543494
63.605,1.0031407683322184
60.34,1.0028283748840034
57.08,1.0025325186470897
53.82,1.002252766956803
50.56,1.0019891747586123
47.3,1.0017417939092264
44.035,1.0015103311838405
40.77,1.0012952242771915
37.510000000000005,1.0010968075650724
34.25,1.000914778371557
30.99,1.000749172749063
27.725,1.0005998074299203
24.46,1.000466978766448
21.2,1.0003508785955062
17.94,1.000251313931593
14.68,1.0001683045780616
11.42,1.0001018670544772
8.155,1.0000519508711843
4.890000000000001,1.000018680630167
1.63,1.000002075694508
571.4999999999999,1.1689468812339177
566.92,1.1671514766286357
559.8799999999999,1.1643822334365244
552.84,1.1616019997196678
545.7950000000001,1.1588093960767547
538.7500000000001,1.156007027668927
531.71,1.1531975547803617
524.67,1.1503796801450628
517.625,1.147552110874599
510.58,1.1447175920337238
503.54,1.1418789173737707
496.5,1.1390348807926793
489.455,1.1361842905259982
482.41,1.133330029067793
475.37,1.1304750193428688
468.33,1.1276181595104129
461.285,1.1247583727807122
454.24,1.1218986730186076
447.2000000000001,1.1190421042285565
440.16,1.1161876806623778
433.115,1.1133344529479943
426.07,1.1104855559384141
419.03,1.1076441421051126
411.99,1.1048093516822315
404.945,1.1019803730352018
397.9,1.0991604465658265
390.86,1.0963528153880766
383.8200000000001,1.0935567529541836
376.775,1.0907715928164143
369.73,1.0880006597587486
362.69,1.0852472638923687
355.65000000000003,1.0825108157667231
348.605,1.0797907979696126
341.56,1.077090592234109
334.52000000000004,1.0744135457495192
327.48,1.071759206051332
320.435,1.0691272043618136
313.39,1.0665209453358744
306.35,1.0639437768319575
299.30999999999995,1.0613953787759909
292.265,1.0588755258796536
285.22,1.0563876050679946
278.18,1.0539349220748089
271.14000000000004,1.0515172798578518
264.095,1.049134586468295
257.05,1.0467901641752984
250.01,1.0444872279137534
242.97,1.0422256895618915
235.925,1.0400055754019542
228.88,1.0378300906460314
221.84,1.0357023058388528
214.8,1.0336222232741632
207.755,1.0315899678101457
200.71,1.029608571014928
193.67,1.027680901986081
186.63,1.0258070312770002
179.585,1.0239871589275065
172.54,1.0222240838694436
165.5,1.0205204151544018
158.45999999999998,1.0188762669131313
151.415,1.017291888428092
144.37,1.0157697868174778
137.33,1.0143122532745994
130.29000000000002,1.0129194197582996
123.245,1.0115915578359773
116.2,1.0103308260027308
109.16,1.0091391431760153
102.12,1.0080166340264813
95.075,1.0069635661839094
88.03,1.0059816978022986
80.99000000000001,1.005072527212416
73.95,1.0042361491161764
66.905,1.003472803554362
59.86000000000001,1.0027838044023483
52.82,1.0021701898027366
45.78,1.0016320059814925
38.735,1.0011694460552742
31.69,1.000783345890798
24.65,1.0004742548157863
17.61,1.000242157740554
10.565,1.0000871873136243
219.62,1.035041147617577
213.065,1.0331170945289805
206.51,1.0312360699061736
199.95,1.0293979251985428
193.395,1.027606684563538
186.84,1.0258621354878772
180.285,1.0241654659025259
173.73,1.022517844268774
167.17499999999998,1.020920417724197
160.61999999999998,1.019374310230417
154.06,1.0178795016580031
147.505,1.0164393434350751
140.95,1.0150537194885296
134.39499999999998,1.0137236427457879
127.84,1.0124500939040622
121.28,1.011233114277139
114.725,1.0100754706633426
108.17,1.0089770871981885
