R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean,gamma_bar,gamma_eff,alpha_bar_arcsec,alpha_eff_arcsec
1.0,393560130.6294397,394449486.23597,0.14789985493229868,0.14823407467396482,0.0,0.0,-0.14789985493229868,-0.14823407467396482,0.0,0.0
1.0125920461211837,393586525.39677966,394475884.95038396,0.14790977408303763,0.14824399530801374,0.003655656968148225,0.0036639176539375955,-0.1442541171148894,-0.14458007765407616,0.0008388102196530904,0.0008407056785875148
1.0253426518678852,393613610.9529091,394502974.55628175,0.14791995283212966,0.14825417557900827,0.007221208102794168,0.007237525338125693,-0.1406987447293355,-0.14101665024088259,0.0016778094995342917,0.0016816007228387107
1.0382538138302224,393641405.9686922,394530773.7272713,0.14793039819608353,0.14826462250448832,0.010698886988136331,0.010723061683217286,-0.1372315112079472,-0.13754156082127103,0.002517131473564749,0.0025228190638645234
1.0513275537394673,393669929.65130615,394559301.6733516,0.1479411173929544,0.14827534330356937,0.014090872178418002,0.014122710165206437,-0.1338502452145364,-0.13415263313836293,0.0033569099157924128,0.003364494773010312
1.064565918784626,393699201.7613516,394588578.15802383,0.14795211784877385,0.1482863454033731,0.01739928856312466,0.01743860047370864,-0.13055282928564918,-0.13084774492966444,0.0041972787649868434,0.004206762086497753
1.0779709819330021,393729242.6306,394618623.5160426,0.1479634072042194,0.14829763644569807,0.020626208698599914,0.02067280984658351,-0.1273371985056195,-0.12762482659911456,0.005038372149414218,0.005049755430246977
1.0915448422548002,393760073.18040687,394649458.6718309,0.14797499332153427,0.14830922429394025,0.023773654106917504,0.023827364371739223,-0.12420133921461676,-0.12448185992220102,0.0058803244118037475,0.005893609444890171
1.1052896252518127,393791714.9408222,394681105.1585933,0.14798688429170886,0.1483211170402756,0.026843596542823693,0.026904240256934976,-0.12114328774888516,-0.12141687678334062,0.006723270134516376,0.006738459010987534
1.1192074831902492,393824190.0704272,394713585.13815594,0.14799908844193568,0.14833332301311597,0.029837959229546913,0.029905365068379996,-0.11816112921238878,-0.11842795794473597,0.007567344164927708,0.007584439274457533
1.1333005954377546,393857521.37693405,394746921.4215687,0.1480116143433505,0.1483458507848515,0.03275861806425049,0.03283261893890659,-0.11525299627910002,-0.11551323184594489,0.008412681641036973,0.008431685672233256
1.1475711688046717,393891732.3385815,394781137.4905035,0.14802447081907294,0.14835870917989194,0.035607402793885926,0.0356878357464768,-0.11241706802518701,-0.11267087343341514,0.009259418017314553,0.00928033395815744
1.1620214378896008,393926847.1263652,394816257.5194882,0.14803766695256054,0.14837190728302235,0.03838609816218637,0.03847280426376342,-0.10965156879037417,-0.10989910301925893,0.010107689090801062,0.010130520229129147
1.1766536654293107,393962890.6271409,394852306.39901304,0.14805121209629105,0.1483854544480862,0.04109644502852105,0.04118926927952825,-0.10695476706776999,-0.10719618516855796,0.010957631027471361,0.010982380951515458
1.1914701426530565,393999888.4676442,394889309.75955284,0.148065115880789,0.14839936030701326,0.04374014145931487,0.04383893269250306,-0.10432497442147412,-0.1045604276145102,0.011809380388877484,0.011836052987842231
1.206473189641357,394037867.03946793,394927293.9965489,0.14807938822401207,0.1484136347792075,0.04631884379271946,0.04642345457846122,-0.10176054443129261,-0.10199018020074627,0.01266307415908484,0.012691673623778222
1.2216651556892923,394076853.5250472,394966286.29639655,0.1480940393411165,0.1484282880813134,0.048834167677206566,0.04894445423115242,-0.09925987166390994,-0.09948383385016096,0.013518849771917047,0.013549380595427988
1.237048419674375,394116875.92469805,395006314.66348857,0.1481090797546181,0.1484433307373787,0.051287689084737374,0.05140351117775541,-0.09682139066988071,-0.09703981955962329,0.014376845138524708,0.014409312116948882
1.252625390429052,394157963.0847653,395047407.94836587,0.14812452030497011,0.14845877358943368,0.05368094529914633,0.05380216616948885,-0.09444357500582379,-0.09465660741994483,0.01523719867529472,0.01527160690850872
1.2683985071179003,394200144.72693133,395089595.87703097,0.1481403721615776,0.14847462780850684,0.05601543588036276,0.05614192214800507,-0.09212493628121485,-0.09233270566050178,0.016100049332117092,0.016136404224601122
1.2843702396195693,394243451.478748,395132909.08148354,0.1481566468342713,0.1484909049061004,0.05829262360507858,0.058424245188176106,-0.08986402322919271,-0.0900666597179243,0.016965536621026966,0.017003843882736208
1.3005430889135348,394287914.90545064,395177379.131539,0.1481733561852632,0.1485076167461476,0.06051393538445559,0.06065056541786702,-0.0876594208008076,-0.08785705132828057,0.017833800645240313,0.01787406629252522
