complexity,loss,equation,score,sympy_format,lambda_format
1,3.7200136,1.7725112,0.0,1.77251120000000,PySRFunction(X=>1.77251120000000)
2,3.4080007,exp(x0),0.08760150982624158,exp(x0),PySRFunction(X=>exp(x0))
3,3.2551146,x0 * 2.560816,0.045898331952069785,x0*2.560816,PySRFunction(X=>x0*2.560816)
5,3.2279236,(x0 * 3.305742) + -0.576408,0.004194200096125209,x0*3.305742 - 0.576408,PySRFunction(X=>x0*3.305742 - 0.576408)
7,3.1997254,x0 * ((x0 / 0.4892901) + x1),0.00438704429910565,x0*(x0/0.4892901 + x1),PySRFunction(X=>x0*(x0/0.4892901 + x1))
8,3.190645,((exp(x1) + 0.67620695) * x0) * x0,0.0028419029079817604,x0*x0*(exp(x1) + 0.67620695),PySRFunction(X=>x0*x0*(exp(x1) + 0.67620695))
9,3.1882923,(x0 * x0) / ((x1 * -0.23830532) + 0.5360519),0.0007376464122572513,x0*x0/(0.5360519 + x1*(-0.23830532)),PySRFunction(X=>x0*x0/(0.5360519 + x1*(-0.23830532)))
10,3.1703057,(x0 * exp(x1)) * (x0 - (-0.18240996 / x1)),0.005657425732506713,x0*(x0 - (-1)*0.18240996/x1)*exp(x1),PySRFunction(X=>x0*(x0 - (-1)*0.18240996/x1)*exp(x1))
11,3.1700056,((x0 * (x1 * 3.1239872)) - (-0.24646458 / x1)) * x0,9.466412168885626e-05,x0*(x0*x1*3.1239872 - (-1)*0.24646458/x1),PySRFunction(X=>x0*(x0*x1*3.1239872 - (-1)*0.24646458/x1))
12,3.1667972,(x0 * (x0 * (exp(x1) * 1.1590712))) - (-0.15100348 / x1),0.0010126243076903443,x0*x0*exp(x1)*1.1590712 - (-1)*0.15100348/x1,PySRFunction(X=>x0*x0*exp(x1)*1.1590712 - (-1)*0.15100348/x1)
13,3.1665945,(x1 * (((x0 * x0) + -0.036200285) * 3.2538161)) - (-0.23375611 / x1),6.400993643549134e-05,x1*(x0*x0 - 0.036200285)*3.2538161 - (-1)*0.23375611/x1,PySRFunction(X=>x1*(x0*x0 - 0.036200285)*3.2538161 - (-1)*0.23375611/x1)
14,3.1645396,(((x0 * x0) * (exp(x1) * 1.2273991)) - (-0.1670038 / x1)) - 0.13095865,0.0006491412248427346,x0*x0*exp(x1)*1.2273991 - 1*0.13095865 - (-1)*0.1670038/x1,PySRFunction(X=>x0*x0*exp(x1)*1.2273991 - 1*0.13095865 - (-1)*0.1670038/x1)
