cluster,gamma,beta,comparator,median_abs_frac_T,run_dir
ABELL_0426,0.4,0.08,total-baryon,0.5848370538543091,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.4,0.1,total-baryon,0.614994896930027,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.4,0.12,total-baryon,0.6466839305325962,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.5,0.08,total-baryon,0.49071173699148385,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.5,0.1,total-baryon,0.4831596429419206,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.5,0.12,total-baryon,0.4787828478700293,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.6,0.08,total-baryon,0.5025976091567536,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.6,0.1,total-baryon,0.49603869134206,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_0426,0.6,0.12,total-baryon,0.4893634221571637,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_0426
ABELL_1689,0.4,0.08,total-baryon,1.1192114486486502e+16,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.4,0.1,total-baryon,9229610472648124.0,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.4,0.12,total-baryon,7367861197221120.0,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.5,0.08,total-baryon,1.1170667502498688e+16,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.5,0.1,total-baryon,9522222494881496.0,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.5,0.12,total-baryon,7464466757200766.0,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.6,0.08,total-baryon,1.1183716293052302e+16,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.6,0.1,total-baryon,9519725585338606.0,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
ABELL_1689,0.6,0.12,total-baryon,8095657310397592.0,C:\Users\henry\dev\GravityCalculator\root-m\out\pde_clusters\ABELL_1689
