R_kpc,g_phi_R,g_N_R,g_tot_R
0.0,525.6873508691477,0.0,525.6873508691477
6.315789473684211,376.8502472619923,153.14736602813446,529.9976132901268
12.631578947368421,477.29531406741916,326.55746320555767,803.8527772729768
18.94736842105263,617.4695961237287,506.02021296075475,1123.4898090844836
25.263157894736842,650.1540288604126,624.0568099548977,1274.2108388153104
31.578947368421055,729.6380764229833,671.0700230360263,1400.7080994590096
37.89473684210526,706.841206228106,704.263232771605,1411.104438999711
44.21052631578947,831.8727860414081,740.2403968796339,1572.113182921042
50.526315789473685,871.0568747433676,772.4941227785886,1643.550997521956
56.8421052631579,944.9775741238428,795.0078738557272,1739.98544797957
63.15789473684211,969.4560168021894,805.0410669527645,1774.497083754954
69.47368421052632,1012.6019005363379,801.6934765056424,1814.2953770419804
75.78947368421052,1041.7400010447366,790.6480912108323,1832.3880922555688
82.10526315789474,1074.1135843212153,782.0814712803653,1856.1950556015806
88.42105263157895,1116.6794277431577,781.7528079467663,1898.432235689924
94.73684210526316,1141.7906781376998,785.3679066229608,1927.1585847606607
101.05263157894737,1169.3586750161276,775.5704465464261,1944.9291215625535
107.36842105263158,1193.2115724425953,759.8735915532902,1953.0851639958855
113.6842105263158,1215.2388328240959,746.4507134269539,1961.6895462510497
120.0,1248.9600910409977,694.0149297257846,1942.975020766782
126.31578947368422,1249.5010004940625,626.3484740775205,1875.849474571583
132.6315789473684,1278.2435609868057,568.1165297755289,1846.3600907623345
138.94736842105263,1300.1295330894459,517.6433670062153,1817.772900095661
145.26315789473685,1321.994328072929,473.60943219472244,1795.6037602676515
151.57894736842104,1332.918779769026,434.9642181093893,1767.8829978784154
157.89473684210526,1359.6873183492062,400.86302340961316,1760.5503417588193
164.21052631578948,1380.7531085121464,370.62039886243815,1751.3735073745845
170.5263157894737,1391.7329279841651,343.6754315926038,1735.4083595767688
176.8421052631579,1410.2703167424932,319.565547998735,1729.835864741228
183.1578947368421,1422.0571872144533,297.90652750417144,1719.9637147186247
189.47368421052633,1434.1566791161883,278.3770995900091,1712.5337787061974
195.78947368421052,1448.8622809957963,260.7069611144727,1709.569242110269
202.10526315789474,1460.6048939026953,244.66737268653145,1705.2722665892268
208.42105263157896,1484.3972222841157,230.063718669429,1714.4609409535447
214.73684210526315,1496.2070369235798,216.72957580537044,1712.9366127289502
221.05263157894737,1513.4289977730843,204.5219507191904,1717.9509484922746
227.3684210526316,1525.2473718538215,193.31743027083965,1718.5648021246611
233.68421052631578,1535.9086960106379,183.0090501322193,1718.9177461428571
240.0,1543.8106190923925,173.50373243144614,1717.3143515238387
246.31578947368422,1557.9927650415357,164.72017727219475,1722.7129423137303
252.63157894736844,1577.9370612199077,156.5871185193801,1734.5241797392878
258.94736842105266,1590.8050379483186,149.04187366508518,1739.8469116134038
265.2631578947368,1596.5726668355255,142.02913244388222,1738.6017992794077
271.57894736842104,1613.8175864086545,135.49994030882002,1749.3175267174745
277.89473684210526,1622.4341009192742,129.41084175155382,1751.844942670828
284.2105263157895,1642.5624067781416,123.72315537333738,1766.285562151479
290.5263157894737,1649.1124357915571,118.40235804868061,1767.5147938402376
296.8421052631579,1664.2246032997268,113.41755981485205,1777.6421631145788
303.1578947368421,1673.9904691860547,108.74105452734733,1782.731523713402
309.4736842105263,1688.1157946803273,104.34793404040326,1792.4637287207306
315.7894736842105,1701.6145198824563,100.21575585240329,1801.8302757348597
322.10526315789474,1717.8295912233507,96.32425591349796,1814.1538471368488
328.42105263157896,1731.3969720540829,92.65509971560954,1824.0520717696925
334.7368421052632,1742.0104354077548,89.19166594197515,1831.20210134973
341.0526315789474,1752.7697869088838,85.91885789815095,1838.6886448070347
347.36842105263156,1767.5191746216449,82.82293872099446,1850.3421133426393
353.6842105263158,1775.1324146457912,79.89138699968375,1855.023801645475
360.0,1797.6674589947195,77.11276996953161,1874.7802289642511
366.3157894736842,1807.3114943646328,74.47663187604286,1881.7881262406756
372.63157894736844,1824.0808567075017,71.97339546998225,1896.054252177484
378.94736842105266,1834.0620338928031,69.59427489750227,1903.6563087903055
385.2631578947368,1855.7397369475173,67.33119850336153,1923.0709354508788
391.57894736842104,1868.8856703155916,65.17674027861817,1934.0624105942097
397.89473684210526,1883.1250379717583,63.124058863947646,1946.2490968357058
404.2105263157895,1898.098796899696,61.16684317163286,1959.2656400713288
410.5263157894737,1914.9136759427906,59.29926381799011,1974.2129397607807
416.8421052631579,1932.851160518985,57.51592966735725,1990.3670901863422
423.15789473684214,1951.7856593261597,55.81184888193543,2007.5975082080952
429.4736842105263,1964.1260091595964,54.18239395134261,2018.308403110939
435.7894736842105,1989.2226324329315,52.62327024385806,2041.8459026767896
442.10526315789474,2002.1971501252722,51.1304876797976,2053.3276378050696
448.42105263157896,2025.659887155873,49.70033517774414,2075.3602223336175
454.7368421052632,2042.1376816930017,48.32935756770991,2090.4670392607118
461.0526315789474,2069.7029609073284,47.014334702760024,2116.7172956100885
467.36842105263156,2095.241828869642,45.752262533054825,2140.994091402697
473.6842105263158,2121.8834432455546,44.54033593440146,2166.423779179956
480.0,2147.149200158259,43.375933107861535,2190.5251332661205
486.3157894736842,2175.477958798062,42.25660138826247,2217.7345601863244
492.63157894736844,2202.2207515777322,41.18004431804869,2243.400795895781
498.94736842105266,2246.712779797993,40.1441098591585,2286.8568896571514
505.2631578947369,2277.0974759702935,39.14677962984503,2316.244255600139
511.57894736842104,2327.8645004761124,38.186159065844876,2366.0506595419574
517.8947368421053,2366.396615228086,37.260468416271294,2403.657083644357
