ell_eff,Cl_uK2,template_F,Cl_plus_1sigma,Cl_minus_1sigma
3.200000000000000000e+01,6.527201531689639680e+00,-1.880800063301515834e+00,6.521743402229196462e+00,6.532659661150082897e+00
3.700000000000000000e+01,5.274407325687890058e+00,-7.991594082281769928e-01,5.272088144827175249e+00,5.276726506548604867e+00
4.200000000000000000e+01,4.964521850579740381e+00,-6.648394937569399588e-01,4.962592469515720417e+00,4.966451231643760345e+00
4.700000000000000000e+01,3.800711895482539848e+00,3.200789521128535320e-01,3.801640772715310757e+00,3.799783018249768940e+00
5.200000000000000000e+01,3.030020923672680055e+00,9.096807389175274317e-01,3.032660840236681032e+00,3.027381007108679078e+00
5.700000000000000000e+01,3.054541431874750135e+00,7.030185720537729388e-01,3.056581609591795701e+00,3.052501254157704569e+00
6.200000000000000000e+01,2.675764238351340030e+00,8.997382965420239742e-01,2.678375301695534283e+00,2.673153175007145776e+00
6.700000000000000000e+01,2.535345462813849871e+00,8.592872407227227782e-01,2.537839136168655418e+00,2.532851789459044323e+00
7.200000000000000000e+01,2.360070533490420175e+00,8.559272445447536626e-01,2.362554456051144225e+00,2.357586610929696125e+00
7.700000000000000000e+01,1.847157039128539902e+00,1.193411375638636640e+00,1.850620349192644731e+00,1.843693729064435072e+00
8.200000000000000000e+01,2.001496452291729788e+00,8.677249855348625474e-01,2.004014612195870182e+00,1.998978292387589395e+00
8.700000000000000000e+01,1.913018485204939889e+00,7.897078504456258585e-01,1.915310237405380756e+00,1.910726733004499023e+00
9.200000000000000000e+01,1.796722031141519960e+00,7.450137553793179102e-01,1.798884079945119563e+00,1.794559982337920356e+00
9.700000000000000000e+01,1.642152844361310038e+00,7.446274850788814348e-01,1.644313772198706225e+00,1.639991916523913851e+00
1.040000000000000000e+02,1.698044818629500075e+00,5.402222825532096984e-01,1.699612557387662148e+00,1.696477079871338001e+00
1.130000000000000000e+02,1.571509126032349934e+00,5.249732565191542744e-01,1.573032611730410979e+00,1.569985640334288890e+00
1.220000000000000000e+02,1.416387394248489917e+00,5.452101530391137985e-01,1.417969607933240672e+00,1.414805180563739162e+00
1.310000000000000000e+02,1.305217918945789979e+00,5.284599712150299666e-01,1.306751523178283803e+00,1.303684314713296155e+00
1.400000000000000000e+02,1.346345054664370045e+00,3.663486697637401424e-01,1.347408207790663282e+00,1.345281901538076808e+00
1.490000000000000000e+02,1.195179564723370058e+00,4.033535374252654737e-01,1.196350106913660172e+00,1.194009022533079944e+00
1.580000000000000000e+02,1.195187921289440069e+00,2.958275789245528031e-01,1.196046420422466117e+00,1.194329422156414022e+00
1.670000000000000000e+02,1.084999498238679916e+00,3.049063475688555958e-01,1.085884344188451145e+00,1.084114652288908687e+00
1.760000000000000000e+02,1.032801742582079907e+00,2.621265679345843314e-01,1.033562440526919923e+00,1.032041044637239890e+00
1.850000000000000000e+02,9.812747453544139464e-01,2.245046356239683849e-01,9.819262634980034932e-01,9.806232272108243997e-01
1.940000000000000000e+02,9.205873582038880398e-01,2.015524485215455242e-01,9.211722685186871651e-01,9.200024478890889146e-01
