cluster_id,full_name,z_lens,z_source,theta_E_arcsec,theta_E_err_arcsec,reference
ABELL_0383,Abell 383,0.187,2.0,15.1,1.51,Zitrin+2015 (via Umetsu+2016 Tbl1)
ABELL_0209,Abell 209,0.206,2.0,8.9,0.89,Zitrin+2015 (via Umetsu+2016 Tbl1)
ABELL_2261,Abell 2261,0.224,2.0,23.1,2.31,Zitrin+2015 (via Umetsu+2016 Tbl1)
RXJ2129,RX J2129.7+0005,0.234,2.0,12.9,1.29,Zitrin+2015 (via Umetsu+2016 Tbl1)
ABELL_0611,Abell 611,0.288,2.0,18.1,1.81,Zitrin+2015 (via Umetsu+2016 Tbl1)
MS2137,MS2137-2353,0.313,2.0,17.1,1.71,Zitrin+2015 (via Umetsu+2016 Tbl1)
RXJ2248,RX J2248.7-4431,0.348,2.0,31.1,3.11,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ1115,MACS J1115.9+0129,0.352,2.0,18.1,1.81,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ1931,MACS J1931.8-2635,0.352,2.0,22.2,2.22,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ1720,MACS J1720.3+3536,0.391,2.0,20.1,2.01,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ0429,MACS J0429.6-0253,0.399,2.0,15.7,1.57,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ1206,MACS J1206.2-0847,0.440,2.0,26.8,2.68,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ0329,MACS J0329.7-0211,0.450,2.0,24.1,2.41,Zitrin+2016 (via Umetsu+2016 Tbl1)
RXJ1347,RX J1347.5-1145,0.451,2.0,33.0,3.30,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ0744,MACS J0744.9+3927,0.686,2.0,24.3,2.43,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ0416,MACS J0416.1-2403,0.396,2.0,25.9,2.59,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ1149,MACS J1149.5+2223,0.544,2.0,20.4,2.04,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ0717,MACS J0717.5+3745,0.548,2.0,55.0,5.50,Zitrin+2015 (via Umetsu+2016 Tbl1)
MACSJ0647,MACS J0647.7+7015,0.584,2.0,26.4,2.64,Zitrin+2015 (via Umetsu+2016 Tbl1)
