complexity,loss,equation,score,sympy_format,lambda_format
1,0.09831221,0.47490206,0.0,0.474902060000000,PySRFunction(X=>0.474902060000000)
2,0.055067047,abs(x0),0.5795967518620734,Abs(x0),PySRFunction(X=>Abs(x0))
3,0.052882217,x2 * -0.3825002,0.04048435939651499,x2*(-0.3825002),PySRFunction(X=>x2*(-0.3825002))
4,0.03552029,exp(0.64147276 / x2),0.39796303727300714,exp(0.64147276/x2),PySRFunction(X=>exp(0.64147276/x2))
6,0.030592024,abs((x1 * 0.46093717) + -0.9475532),0.07468238055877188,Abs(x1*0.46093717 - 0.9475532),PySRFunction(X=>Abs(x1*0.46093717 - 0.9475532))
7,0.025336435,abs((x2 * sqrt(x1)) + 0.4320388),0.18849584305322004,Abs(sqrt(x1)*x2 + 0.4320388),PySRFunction(X=>Abs(sqrt(x1)*x2 + 0.4320388))
8,0.020129286,abs(exp(x2 / exp(x2)) + -0.678147),0.2300677087602314,Abs(exp(x2/exp(x2)) - 0.678147),PySRFunction(X=>Abs(exp(x2/exp(x2)) - 0.678147))
9,0.018455183,abs(exp(x0 * (-5.845423 / x1)) + -0.7059981),0.08683051712934063,Abs(exp(x0*(-5.845423)/x1) - 0.7059981),PySRFunction(X=>Abs(exp(x0*(-5.845423)/x1) - 0.7059981))
10,0.014420883,abs(exp((x2 / x1) / exp(x2)) + -0.7277857),0.24666788806599418,Abs(exp(x2/(x1*exp(x2))) - 0.7277857),PySRFunction(X=>Abs(exp(x2/(x1*exp(x2))) - 0.7277857))
12,0.013413955,x2 * (exp(exp(x0 - abs(x1 + x2))) / -4.639453),0.036190890705423674,x2*exp(exp(x0 - Abs(x1 + x2)))/(-4.639453),PySRFunction(X=>x2*exp(exp(x0 - Abs(x1 + x2)))/(-4.639453))
13,0.007594973,abs((exp(exp(0.13328092 - abs(x2 + x1))) * x0) + -0.2562786),0.5688090018968359,Abs(x0*exp(exp(0.13328092 - Abs(x1 + x2))) - 0.2562786),PySRFunction(X=>Abs(x0*exp(exp(0.13328092 - Abs(x1 + x2))) - 0.2562786))
15,0.0055812085,abs((exp(exp(0.13906313 - abs(x2 + (x2 - -2.0489492)))) * x0) + -0.23565501),0.15404062553315817,Abs(x0*exp(exp(0.13906313 - Abs(x2 + x2 - 1*(-2.0489492)))) - 0.23565501),PySRFunction(X=>Abs(x0*exp(exp(0.13906313 - Abs(x2 + x2 - 1*(-2.0489492)))) - 0.23565501))
19,0.005580373,abs((x1 * 0.08556226) + ((x0 * exp(exp(0.35099426 - abs((x2 - -0.04528171) + x1)))) / -1.4840003)),3.7427491864008506e-05,Abs(0.673854311215436*x0*exp(1.42047917233835*exp(-Abs(x1 + x2 + 0.04528171))) - 1*x1*0.08556226),PySRFunction(X=>Abs(0.673854311215436*x0*exp(1.42047917233835*exp(-Abs(x1 + x2 + 0.04528171))) - 1*x1*0.08556226))
