complexity,loss,equation,score,sympy_format,lambda_format
1,6.894444,2.9593947,0.0,2.95939470000000,PySRFunction(X=>2.95939470000000)
2,5.926242,exp(x0),0.15132558454314887,exp(x0),PySRFunction(X=>exp(x0))
3,1.0109235,x0 * 6.333937,1.7685260157874974,x0*6.333937,PySRFunction(X=>x0*6.333937)
4,0.8393462,exp(x2 * -1.0962163),0.18599629305637055,exp(x2*(-1.0962163)),PySRFunction(X=>exp(x2*(-1.0962163)))
5,0.089022025,(x2 * 2.3509085) * x2,2.243739444419243,x2*2.3509085*x2,PySRFunction(X=>x2*2.3509085*x2)
6,0.08895416,exp((x1 + -1.4225569) * -2.0436099),0.0007626301607624584,exp((x1 - 1.4225569)*(-2.0436099)),PySRFunction(X=>exp((x1 - 1.4225569)*(-2.0436099)))
7,0.03558814,((x1 - 1.8678062) * x2) * 2.8654127,0.9161087445802778,(x1 - 1*1.8678062)*x2*2.8654127,PySRFunction(X=>(x1 - 1*1.8678062)*x2*2.8654127)
8,0.009257998,exp((3.2090566 - x0) * (1.3200002 - x1)),1.3465246097054144,exp((1.3200002 - x1)*(3.2090566 - x0)),PySRFunction(X=>exp((1.3200002 - x1)*(3.2090566 - x0)))
10,0.0057236184,exp((3.1579366 - x0) * (1.3462088 - x1)) + -0.11952796,0.24044331688722934,exp((1.3462088 - x1)*(3.1579366 - x0)) - 0.11952796,PySRFunction(X=>exp((1.3462088 - x1)*(3.1579366 - x0)) - 0.11952796)
12,0.0055129337,exp(((1.277643 - x0) * ((x0 - x1) - x1)) - -1.9390912),0.01875213969503221,exp((1.277643 - x0)*(x0 - x1 - x1) - 1*(-1.9390912)),PySRFunction(X=>exp((1.277643 - x0)*(x0 - x1 - x1) - 1*(-1.9390912)))
13,0.0031058965,(x0 * (((x0 * x2) * 6.3568044) - -18.915865)) * (x0 * x0),0.5737945118452838,x0*x0*x0*(x0*x2*6.3568044 - 1*(-18.915865)),PySRFunction(X=>x0*x0*x0*(x0*x2*6.3568044 - 1*(-18.915865)))
15,0.0026356238,((x0 * (((x0 * x2) * 6.4688463) - -19.144928)) * (x0 * x0)) - 0.036018897,0.08209125567563062,x0*x0*x0*(x0*x2*6.4688463 - 1*(-19.144928)) - 1*0.036018897,PySRFunction(X=>x0*x0*x0*(x0*x2*6.4688463 - 1*(-19.144928)) - 1*0.036018897)
17,0.0024506724,(((x0 + 0.03772631) * (((x2 * 6.048921) * x0) - -18.152084)) * (x0 * x0)) + -0.06308284,0.03637872716830594,x0*x0*(x0 + 0.03772631)*(x2*6.048921*x0 - 1*(-18.152084)) - 0.06308284,PySRFunction(X=>x0*x0*(x0 + 0.03772631)*(x2*6.048921*x0 - 1*(-18.152084)) - 0.06308284)
19,0.0022959786,(x0 * -0.68541044) + ((x0 * (x0 + 0.14842682)) * ((((x0 * x2) * 5.5106483) - -17.031693) * x0)),0.032601639012801734,x0*x0*(x0 + 0.14842682)*(x0*x2*5.5106483 - 1*(-17.031693)) + x0*(-0.68541044),PySRFunction(X=>x0*x0*(x0 + 0.14842682)*(x0*x2*5.5106483 - 1*(-17.031693)) + x0*(-0.68541044))
20,0.0022951495,abs((x0 * -0.68087316) + ((x0 * (x0 + 0.1486639)) * ((((x0 * x2) * 5.498366) - -17.005915) * x0))),0.0003611748533057784,Abs(x0*x0*(x0 + 0.1486639)*(x0*x2*5.498366 - 1*(-17.005915)) + x0*(-0.68087316)),PySRFunction(X=>Abs(x0*x0*(x0 + 0.1486639)*(x0*x2*5.498366 - 1*(-17.005915)) + x0*(-0.68087316)))
