complexity,loss,equation,score,sympy_format,lambda_format
1,0.5930759,1.5391371,0.0,1.53913710000000,PySRFunction(X=>1.53913710000000)
2,0.32671544,exp(x0),0.5962328060880179,exp(x0),PySRFunction(X=>exp(x0))
3,0.16346207,2.5702155 - x1,0.692508602317508,2.5702155 - x1,PySRFunction(X=>2.5702155 - x1)
5,0.10742632,(0.4899913 / x2) + 2.2783327,0.20988787921414578,2.2783327 + 0.4899913/x2,PySRFunction(X=>2.2783327 + 0.4899913/x2)
7,0.09546229,(0.3761351 / (x2 + x0)) + 2.3102944,0.05903695841635335,2.3102944 + 0.3761351/(x0 + x2),PySRFunction(X=>2.3102944 + 0.3761351/(x0 + x2))
8,0.06411488,2.2263484 - abs((-1.198575 - x2) * x1),0.3980548261229758,2.2263484 - Abs(x1*(x2 + 1.198575)),PySRFunction(X=>2.2263484 - Abs(x1*(x2 + 1.198575)))
9,0.061785,2.304951 - abs(log(x0) * (-1.0568204 - x2)),0.037015857716271444,2.304951 - Abs((x2 + 1.0568204)*log(x0)),PySRFunction(X=>2.304951 - Abs((x2 + 1.0568204)*log(x0)))
10,0.03937513,2.5311136 - (abs(x2 + 1.0794032) * (x2 - -3.2432747)),0.4505262178285052,2.5311136 - (x2 - 1*(-3.2432747))*Abs(x2 + 1.0794032),PySRFunction(X=>2.5311136 - (x2 - 1*(-3.2432747))*Abs(x2 + 1.0794032))
11,0.038875308,abs(2.5315304 - (abs(x2 + 1.0837473) * (x2 - -3.2468612))),0.01277510543005382,Abs((x2 + 3.2468612)*Abs(x2 + 1.0837473) - 2.5315304),PySRFunction(X=>Abs((x2 + 3.2468612)*Abs(x2 + 1.0837473) - 2.5315304))
12,0.01782723,2.2116294 - (abs((x1 + x2) * -0.3855696) * (x2 - -3.0688198)),0.7796322296328958,2.2116294 - (x2 - 1*(-3.0688198))*0.3855696*Abs(x1 + x2),PySRFunction(X=>2.2116294 - (x2 - 1*(-3.0688198))*0.3855696*Abs(x1 + x2))
14,0.014543537,2.1763022 - (abs((x2 + (x1 - -0.09735503)) * -0.36616743) * (x2 - -3.0054495)),0.10179018058487271,2.1763022 - (x2 - 1*(-3.0054495))*Abs(0.36616743*x1 + 0.36616743*x2 + 0.0356482411326729),PySRFunction(X=>2.1763022 - (x2 - 1*(-3.0054495))*Abs(0.36616743*x1 + 0.36616743*x2 + 0.0356482411326729))
15,0.013721841,abs(2.2191937 - (abs((x2 + (x1 - -0.1231793)) * -0.36342826) * (x2 - -3.080784))),0.058157905525568654,Abs((x2 + 3.080784)*Abs(0.36342826*x1 + 0.36342826*x2 + 0.044766838667018) - 2.2191937),PySRFunction(X=>Abs((x2 + 3.080784)*Abs(0.36342826*x1 + 0.36342826*x2 + 0.044766838667018) - 2.2191937))
16,0.010442751,2.303847 - ((((x2 - -7.235938) * abs(-1.0721362 - x2)) * (x2 + 3.1410296)) / 7.7747626),0.2730807434793073,2.303847 - (x2 + 3.1410296)*(x2 - 1*(-7.235938))*Abs(x2 + 1.0721362)/7.7747626,PySRFunction(X=>2.303847 - (x2 + 3.1410296)*(x2 - 1*(-7.235938))*Abs(x2 + 1.0721362)/7.7747626)
18,0.010423529,(2.0967033 - ((((x2 + 3.1376262) / 8.264011) * (x2 - -7.0376472)) * abs(-1.0703014 - x2))) * 1.0977303,0.0009211994393498156,(2.0967033 - (x2 + 3.1376262)*(x2 - 1*(-7.0376472))*Abs(x2 + 1.0703014)/8.264011)*1.0977303,PySRFunction(X=>(2.0967033 - (x2 + 3.1376262)*(x2 - 1*(-7.0376472))*Abs(x2 + 1.0703014)/8.264011)*1.0977303)
19,0.009834686,abs(2.3876588 - ((abs((x2 - -7.3690615) * (-1.0740602 - x2)) * (x2 + 3.1578836)) / 7.798584)) - 0.06639307,0.058150130072095324,Abs((x2 + 3.1578836)*Abs((x2 + 1.0740602)*(x2 + 7.3690615))/7.798584 - 2.3876588) - 1*0.06639307,PySRFunction(X=>Abs((x2 + 3.1578836)*Abs((x2 + 1.0740602)*(x2 + 7.3690615))/7.798584 - 2.3876588) - 1*0.06639307)
