complexity,loss,equation,score,sympy_format,lambda_format
1,0.024300022,0.055113573,0.0,0.0551135730000000,PySRFunction(X=>0.0551135730000000)
3,0.016645685,0.07966599 / x1,0.18916311600806576,0.07966599/x1,PySRFunction(X=>0.07966599/x1)
4,0.010490038,exp(x1 / -0.30454218),0.4617249787804943,exp(x1/(-0.30454218)),PySRFunction(X=>exp(x1/(-0.30454218)))
5,0.00080764643,0.011905922 / (x1 + -0.38614327),2.5640569477629365,0.011905922/(x1 - 0.38614327),PySRFunction(X=>0.011905922/(x1 - 0.38614327))
6,3.8168914e-06,exp((x1 + -0.3861765) / -0.03483519),5.354688054423735,exp((x1 - 0.3861765)/(-0.03483519)),PySRFunction(X=>exp((x1 - 0.3861765)/(-0.03483519)))
7,2.5406494e-10,sqrt(exp((x1 + -0.39899838) / -0.00831363)),9.617356976026949,26400280094.85*sqrt(exp(-120.284400436392*x1)),PySRFunction(X=>26400280094.85*sqrt(exp(-120.284400436392*x1)))
9,3.195092e-11,sqrt(exp(((x1 / x0) + -0.39899838) / -0.00831363)),1.03669446411545,26400280094.85*sqrt(exp(-120.284400436392*x1/x0)),PySRFunction(X=>26400280094.85*sqrt(exp(-120.284400436392*x1/x0)))
11,6.172521e-12,sqrt(exp(((x1 / (x0 * x0)) + -0.38367206) / -0.019242808)),0.8220468154913104,21359.0893950304*sqrt(exp(-51.9674675338443*x1/x0**2)),PySRFunction(X=>21359.0893950304*sqrt(exp(-51.9674675338443*x1/x0**2)))
13,1.5055925e-13,sqrt(exp(((((x1 / x0) / x0) / x0) + -0.38367206) / -0.019242808)),1.856752964489384,21359.0893950304*sqrt(exp(-51.9674675338443*x1/x0**3)),PySRFunction(X=>21359.0893950304*sqrt(exp(-51.9674675338443*x1/x0**3)))
15,1.5010215e-13,sqrt(exp((((x1 / (x0 * x0)) / (x0 * x0)) + -0.38367206) / -0.019242808)),0.001520316050461756,21359.0893950304*sqrt(exp(-51.9674675338443*x1/x0**4)),PySRFunction(X=>21359.0893950304*sqrt(exp(-51.9674675338443*x1/x0**4)))
