complexity,loss,equation,score,sympy_format,lambda_format
1,1.1828976,3.7352984,0.0,3.73529840000000,PySRFunction(X=>3.73529840000000)
3,0.5604735,4.8896966 - x1,0.3734701692290532,4.8896966 - x1,PySRFunction(X=>4.8896966 - x1)
4,0.4097687,log(x0 * 161.63551),0.31318910801306177,log(161.63551*x0),PySRFunction(X=>log(161.63551*x0))
5,0.20557149,(0.45162988 / x2) + 4.6205273,0.6897989975158348,4.6205273 + 0.45162988/x2,PySRFunction(X=>4.6205273 + 0.45162988/x2)
7,0.19701758,((0.529686 / x2) + 5.133676) - x0,0.02125044665774516,-x0 + 5.133676 + 0.529686/x2,PySRFunction(X=>-x0 + 5.133676 + 0.529686/x2)
8,0.14459205,4.395532 - abs((0.50974894 / x2) + 0.5233198),0.3093766343750059,4.395532 - Abs(0.5233198 + 0.50974894/x2),PySRFunction(X=>4.395532 - Abs(0.5233198 + 0.50974894/x2))
11,0.10681732,((0.24887073 / x1) + (x2 + 5.5999236)) - (-0.6016469 / x2),0.10093208109930087,x2 + 5.5999236 - (-1)*0.6016469/x2 + 0.24887073/x1,PySRFunction(X=>x2 + 5.5999236 - (-1)*0.6016469/x2 + 0.24887073/x1)
12,0.09809102,(0.2143581 / x1) + abs((x2 + 5.8648076) - (-0.77223986 / x2)),0.08522426252655792,Abs(x2 + 5.8648076 - (-1)*0.77223986/x2) + 0.2143581/x1,PySRFunction(X=>Abs(x2 + 5.8648076 - (-1)*0.77223986/x2) + 0.2143581/x1)
13,0.09301446,((0.21028566 / x1) + (x2 + 5.92028)) - (-0.9019552 / (x2 + -0.056610826)),0.05314085819781794,x2 + 5.92028 - (-1)*0.9019552/(x2 - 0.056610826) + 0.21028566/x1,PySRFunction(X=>x2 + 5.92028 - (-1)*0.9019552/(x2 - 0.056610826) + 0.21028566/x1)
14,0.0717729,exp((x0 + x2) + ((2.013142 - (-0.3255368 / x2)) + x0)) + 0.5939172,0.25924799745698174,exp(x0 + x0 + x2 + 2.013142 - (-1)*0.3255368/x2) + 0.5939172,PySRFunction(X=>exp(x0 + x0 + x2 + 2.013142 - (-1)*0.3255368/x2) + 0.5939172)
15,0.068746045,sqrt(exp((3.9434965 - (-0.48464176 / x2)) + ((x0 + (x0 + x2)) * 1.4456533))),0.0430877598616811,7.18322358805518*sqrt(exp(2.8913066*x0 + 1.4456533*x2 + 0.48464176/x2)),PySRFunction(X=>7.18322358805518*sqrt(exp(2.8913066*x0 + 1.4456533*x2 + 0.48464176/x2)))
16,0.066515915,exp((x0 + x2) + ((1.9918711 - (-0.24778362 / x2)) + x0)) + (x2 * -0.29763862),0.03297796528237205,x2*(-0.29763862) + exp(x0 + x0 + x2 + 1.9918711 - (-1)*0.24778362/x2),PySRFunction(X=>x2*(-0.29763862) + exp(x0 + x0 + x2 + 1.9918711 - (-1)*0.24778362/x2))
17,0.06631453,exp((x0 + (x2 + x0)) + (1.9431273 - (-0.2586839 / x2))) + sqrt(x2 * -0.30217487),0.0030322138015848265,0.549704347808893*sqrt(-x2) + 6.98054713635839*exp(2*x0 + x2 + 0.2586839/x2),PySRFunction(X=>0.549704347808893*sqrt(-x2) + 6.98054713635839*exp(2*x0 + x2 + 0.2586839/x2))
18,0.0644117,x0 + exp((((2.336499 - ((-1.066775 / x2) * (x0 + 0.22860803))) + x2) + x0) + x0),0.029113734907569105,x0 + exp(x0 + x0 + x2 + 2.336499 - (-1)*1.066775*(x0 + 0.22860803)/x2),PySRFunction(X=>x0 + exp(x0 + x0 + x2 + 2.336499 - (-1)*1.066775*(x0 + 0.22860803)/x2))
20,0.06340738,(x0 + exp((x0 + (x2 + x0)) + (2.4028544 - ((x0 + 0.203832) * (-1.1533533 / x2))))) + -0.1781572,0.007857517586698158,x0 + exp(x0 + x0 + x2 + 2.4028544 - (-1.1533533)*(x0 + 0.203832)/x2) - 0.1781572,PySRFunction(X=>x0 + exp(x0 + x0 + x2 + 2.4028544 - (-1.1533533)*(x0 + 0.203832)/x2) - 0.1781572)
