complexity,loss,equation,score,sympy_format,lambda_format
1,0.42950982,3.6509507,0.0,3.65095070000000,PySRFunction(X=>3.65095070000000)
4,0.4067501,sqrt(x0) + 3.0329752,0.0181485376692237,sqrt(x0) + 3.0329752,PySRFunction(X=>sqrt(x0) + 3.0329752)
5,0.22926597,(0.21114118 / x2) + 4.0696244,0.5733162212989708,4.0696244 + 0.21114118/x2,PySRFunction(X=>4.0696244 + 0.21114118/x2)
6,0.21710023,abs(x2 * x1) + 3.0408611,0.054523634348098926,Abs(x1*x2) + 3.0408611,PySRFunction(X=>Abs(x1*x2) + 3.0408611)
7,0.105884925,(0.34257996 / x2) + (4.7981215 - x0),0.7180062451036384,-x0 + 4.7981215 + 0.34257996/x2,PySRFunction(X=>-x0 + 4.7981215 + 0.34257996/x2)
8,0.07933084,(0.7240505 / x2) + (3.8375566 - log(x0)),0.2887259352616203,-log(x0) + 3.8375566 + 0.7240505/x2,PySRFunction(X=>-log(x0) + 3.8375566 + 0.7240505/x2)
9,0.07220672,(((x1 - -0.10661581) * x2) * -2.3657885) + 1.8695397,0.09409383957821389,(x1 - 1*(-0.10661581))*x2*(-2.3657885) + 1.8695397,PySRFunction(X=>(x1 - 1*(-0.10661581))*x2*(-2.3657885) + 1.8695397)
10,0.029285967,exp(x1 * ((x1 * -1.1288304) - -2.1341193)) + 2.1293368,0.902424657045679,exp(x1*(x1*(-1.1288304) - 1*(-2.1341193))) + 2.1293368,PySRFunction(X=>exp(x1*(x1*(-1.1288304) - 1*(-2.1341193))) + 2.1293368)
12,0.022901822,exp(x1 * (x1 * ((x1 * -1.419253) - -2.3074915))) + 2.5647843,0.12294599430008872,exp(x1*x1*(x1*(-1.419253) - 1*(-2.3074915))) + 2.5647843,PySRFunction(X=>exp(x1*x1*(x1*(-1.419253) - 1*(-2.3074915))) + 2.5647843)
13,0.017404208,exp((((x1 * -1.3278568) - -2.2680628) * sqrt(x1)) * x1) + 2.4207058,0.27450445465139156,exp(x1**(3/2)*(2.2680628 - 1.3278568*x1)) + 2.4207058,PySRFunction(X=>exp(x1**(3/2)*(2.2680628 - 1.3278568*x1)) + 2.4207058)
15,0.01248269,exp((((x1 * -1.031109) - -1.6755267) * x1) * log(x1 * 4.2020617)) + 2.6088653,0.16618456573798426,exp(x1*(1.6755267 - 1.031109*x1)*log(4.2020617*x1)) + 2.6088653,PySRFunction(X=>exp(x1*(1.6755267 - 1.031109*x1)*log(4.2020617*x1)) + 2.6088653)
16,0.0072978474,exp(x1 * (abs(log(x1 * 4.5013065)) * ((x1 * -0.97893596) - -1.6142957))) + 2.5287607,0.5367634566292878,exp(x1*(1.6142957 - 0.97893596*x1)*Abs(log(4.5013065*x1))) + 2.5287607,PySRFunction(X=>exp(x1*(1.6142957 - 0.97893596*x1)*Abs(log(4.5013065*x1))) + 2.5287607)
18,0.0067541786,(exp(x1 * (((x1 * -1.0602975) - -1.7468818) * abs(log(x1 * 4.509742)))) * 0.91781193) + 2.5929618,0.0387090313772978,0.91781193*exp(x1*(1.7468818 - 1.0602975*x1)*Abs(log(4.509742*x1))) + 2.5929618,PySRFunction(X=>0.91781193*exp(x1*(1.7468818 - 1.0602975*x1)*Abs(log(4.509742*x1))) + 2.5929618)
