complexity,loss,equation,score,sympy_format,lambda_format
1,0.046510648,x0,0.0,x0,PySRFunction(X=>x0)
3,0.014317507,0.37054202 / x1,0.5890991107143302,0.37054202/x1,PySRFunction(X=>0.37054202/x1)
5,0.011209469,0.29818127 / (x1 - 0.06738259),0.12236209332841473,0.29818127/(x1 - 1*0.06738259),PySRFunction(X=>0.29818127/(x1 - 1*0.06738259))
7,0.008881027,abs(abs(-0.50491124 - x2) + -0.4075051),0.11642083203558766,Abs(Abs(x2 + 0.50491124) - 0.4075051),PySRFunction(X=>Abs(Abs(x2 + 0.50491124) - 0.4075051))
8,0.006541905,((x2 * x1) + 1.260117) * abs(x2),0.30568879601221005,(x1*x2 + 1.260117)*Abs(x2),PySRFunction(X=>(x1*x2 + 1.260117)*Abs(x2))
9,0.006165341,((x1 * x2) + 1.2731466) * (-0.04343034 - x2),0.05928496012451651,(-x2 - 0.04343034)*(x1*x2 + 1.2731466),PySRFunction(X=>(-x2 - 0.04343034)*(x1*x2 + 1.2731466))
10,0.0027754547,x2 * ((x1 * abs(x1 + -1.8393673)) + -1.0714678),0.7981288577018457,x2*(x1*Abs(x1 - 1.8393673) - 1.0714678),PySRFunction(X=>x2*(x1*Abs(x1 - 1.8393673) - 1.0714678))
12,0.0025645143,(((x1 * abs(x1 + -1.8817909)) + -1.121525) * x2) / 1.0530468,0.03952274283200537,x2*(x1*Abs(x1 - 1.8817909) - 1.121525)/1.0530468,PySRFunction(X=>x2*(x1*Abs(x1 - 1.8817909) - 1.121525)/1.0530468)
13,0.002271231,abs(((x1 * abs(x1 + -1.8427314)) + -1.089826) * (-0.055178642 - x2)),0.12144712871161956,Abs((x2 + 0.055178642)*(x1*Abs(x1 - 1.8427314) - 1.089826)),PySRFunction(X=>Abs((x2 + 0.055178642)*(x1*Abs(x1 - 1.8427314) - 1.089826)))
14,0.0022712299,abs((abs(x1 * (x1 + -1.8427314)) + -1.089826) * abs(-0.055178642 - x2)),4.843189734133981e-07,Abs((Abs(x1*(x1 - 1.8427314)) - 1.089826)*Abs(x2 + 0.055178642)),PySRFunction(X=>Abs((Abs(x1*(x1 - 1.8427314)) - 1.089826)*Abs(x2 + 0.055178642)))
15,0.0017785559,(abs((x1 + -1.8831308) * x1) + -1.1197343) * (abs(-2.2491274 - x2) - 2.192291),0.24451974804315185,(Abs(x1*(x1 - 1.8831308)) - 1.1197343)*(Abs(x2 + 2.2491274) - 1*2.192291),PySRFunction(X=>(Abs(x1*(x1 - 1.8831308)) - 1.1197343)*(Abs(x2 + 2.2491274) - 1*2.192291))
16,0.0017785539,abs((abs(-2.2491603 - x2) - 2.1923046) * ((x1 * abs(x1 + -1.8831593)) + -1.1197541)),1.1245084421281056e-06,Abs((x1*Abs(x1 - 1.8831593) - 1.1197541)*(Abs(x2 + 2.2491603) - 2.1923046)),PySRFunction(X=>Abs((x1*Abs(x1 - 1.8831593) - 1.1197541)*(Abs(x2 + 2.2491603) - 2.1923046)))
17,0.0017778988,((abs(x1 * (x1 + -1.882729)) + -1.1203452) * (abs(-2.2488508 - x2) - 2.19285)) - 0.001570166,0.00036840079858741116,(Abs(x1*(x1 - 1.882729)) - 1.1203452)*(Abs(x2 + 2.2488508) - 1*2.19285) - 1*0.001570166,PySRFunction(X=>(Abs(x1*(x1 - 1.882729)) - 1.1203452)*(Abs(x2 + 2.2488508) - 1*2.19285) - 1*0.001570166)
18,0.0017735227,abs(((x1 * abs(x1 + -1.8812405)) + -1.1208229) * (abs(-2.2481787 - x2) - 2.195505)) - 0.0049481713,0.0024644228880237196,Abs((x1*Abs(x1 - 1.8812405) - 1.1208229)*(Abs(x2 + 2.2481787) - 2.195505)) - 1*0.0049481713,PySRFunction(X=>Abs((x1*Abs(x1 - 1.8812405) - 1.1208229)*(Abs(x2 + 2.2481787) - 2.195505)) - 1*0.0049481713)
19,0.0017425326,abs((abs((-0.035379533 - x1) * abs(x1 + -1.9043344)) + -1.1835971) * (abs(-2.256694 - x2) - 2.1852696)),0.017628222469211766,Abs((Abs((x1 + 0.035379533)*Abs(x1 - 1.9043344)) - 1.1835971)*(Abs(x2 + 2.256694) - 2.1852696)),PySRFunction(X=>Abs((Abs((x1 + 0.035379533)*Abs(x1 - 1.9043344)) - 1.1835971)*(Abs(x2 + 2.256694) - 2.1852696)))
20,0.0017420233,abs((abs(abs(-0.03782952 - x1) * (x1 + -1.9066849)) + -1.1889441) * abs(abs(x2 - -2.25513) - 2.1821496)),0.00029231845792843884,Abs((Abs((x1 - 1.9066849)*Abs(x1 + 0.03782952)) - 1.1889441)*Abs(Abs(x2 + 2.25513) - 2.1821496)),PySRFunction(X=>Abs((Abs((x1 - 1.9066849)*Abs(x1 + 0.03782952)) - 1.1889441)*Abs(Abs(x2 + 2.25513) - 2.1821496)))
