r_kpc,C
584.1350000000001,1.1738732851173248
568.13,1.167626290811873
552.13,1.1613210200558866
536.125,1.154960488005825
520.12,1.1485543337873034
504.115,1.142110981490385
488.11,1.135639624183173
472.11,1.129152271385882
456.105,1.122655646953861
440.1,1.1161633654776923
424.1,1.1096898447920691
408.095,1.1032442366770168
392.09,1.0968425556089876
376.085,1.0904995523630796
360.08,1.0842307055253186
344.08,1.0780540902757156
328.075,1.0719826278549398
312.07,1.0660356057568328
296.07,1.0602326311057304
280.065,1.0545882723674143
264.06,1.0491228433180988
248.06,1.0438565945024745
232.055,1.038804900225506
216.05,1.0339880042177436
200.045,1.0294242225248684
184.04,1.0251314684807638
168.04,1.0211282994951536
152.03499999999997,1.0174288424564863
136.02999999999997,1.0140501472873837
120.03,1.0110078257697852
104.025,1.0083134973281511
88.01999999999998,1.0059803551198587
72.015,1.0040191192439647
56.01,1.002438920101138
40.01,1.0012475047566576
24.005,1.0004497825465533
8.0,1.0000499950005
