r_kpc,kT_keV,kT_err_keV
584.1350000000001,7.0612,1.2134
568.13,7.1316,1.2239
552.13,7.2019,1.2343
536.125,7.2723,1.2448
520.12,7.3427,1.2553
504.11499999999995,7.4131,1.2658
488.11,7.4835,1.2763
472.11,7.5538,1.2867
456.10499999999996,7.6242,1.2972
440.09999999999997,7.6946,1.3077
424.1,7.7094,1.3055
408.09499999999997,7.7085,1.2998
392.09,7.7077,1.2941
376.085,7.7069,1.2883
360.08,7.7061,1.2826
344.08,7.7053,1.2769
328.075,7.7044,1.2711
312.07,7.7036,1.2654
296.07,7.7028,1.2597
280.065,7.702,1.254
264.06,7.7012,1.2482
248.06,7.7004,1.2425
232.055,7.6828,1.2234
216.05,7.6525,1.194
200.045,7.6221,1.1647
184.04,7.5917,1.1353
168.04,7.5613,1.1059
152.03499999999997,7.5309,1.0766
136.02999999999997,7.5006,1.0472
120.03,7.4702,1.0178
104.025,7.4398,0.98846
88.01999999999998,7.4094,0.95909
72.015,7.4,0.95
56.01,7.4,0.95
40.01,7.4,0.95
24.005,7.4,0.95
8.0,7.4,0.95
