r_kpc,n_e_cm3
584.1350000000001,0.00056955
568.13,0.00061352
552.13,0.00070754
536.125,0.00070396
520.12,0.00089974
504.11499999999995,0.00089435
488.11,0.00083627
472.11,0.0010424
456.10499999999996,0.0011209
440.09999999999997,0.0012972
424.1,0.0012749
408.09499999999997,0.0012567
392.09,0.0010004
376.085,0.0011163
360.08,0.0012384
344.08,0.0016642
328.075,0.0017104
312.07,0.0017456
296.07,0.0019363
280.065,0.002123
264.06,0.0023436
248.06,0.002472
232.055,0.0024492
216.05,0.0027047
200.045,0.0029633
184.04,0.0032653
168.04,0.0036889
152.03499999999997,0.0037128
136.02999999999997,0.0042602
120.03,0.0041828
104.025,0.0052363
88.01999999999998,0.0059207
72.015,0.0051171
56.01,0.0063218
40.01,0.0076462
24.005,0.011879
8.0,0.014242
