Complexity,Loss,Equation
1,3.2176106,"5.403608"
3,2.3137424,"6.620792 - x1"
4,2.0027802,"log(x0) + 6.4895387"
5,1.1632341,"(0.7836348 / x2) + 6.9542184"
6,1.1275723,"(exp(x2) / x2) + 6.7151084"
7,0.7412073,"((-0.13095762 / x2) / x2) + 6.3544655"
9,0.61719304,"(((-0.2429863 / x2) - 0.7607673) / x2) + 5.66252"
10,0.55485314,"(abs((-0.20989363 / x2) - 0.44159377) / x2) + 6.315823"
11,0.45102906,"5.563697 - ((((-0.117326304 - x0) / x2) - 0.84846985) / x0)"
12,0.43709907,"abs(5.4984784 - ((((-0.1309895 - x0) / x2) - 0.9036143) / x0))"
13,0.4043535,"x0 + (4.594413 - ((((-0.13952187 - x0) / x2) - 1.0449014) / x0))"
14,0.36709237,"abs(((x2 + 1.1259917) - (((-0.4958214 / x2) - 3.133879) / x0)) / x1)"
15,0.36298928,"(((x2 + 0.35918114) - (((-0.55603075 / x2) - 3.9977832) / x0)) / x1) - x1"
16,0.31671903,"abs(((((-0.6050553 / x2) - 3.8063) / x0) - (x2 + 0.8029076)) / x1) - 0.91992146"
18,0.31358474,"abs(((((-0.5967954 / x2) - 3.7280252) / x0) - ((x2 + 1.0564477) / 0.8495373)) / x1) - 0.97866434"
19,0.28963354,"abs((((((0.5608242 / x2) - -3.6095617) / x0) - abs(x2 + (0.925635 / x1))) / x1) + x2)"
20,0.26823023,"abs(((((0.565095 / x2) - -3.6347811) / x0) - abs(x2 + (0.925128 / x1))) / x1) - abs(x2)"
