Complexity,Loss,Equation
1,1.6568905,"x0"
2,1.4278855,"exp(x2)"
3,1.1453857,"x0 * 2.3575354"
4,0.76754224,"sqrt(860.22485 / x5)"
5,0.6759966,"log(102.90154 / sqrt(x5))"
6,0.6581351,"(27.799036 / log(x5)) - 3.0701597"
7,0.6049422,"4.3555465 / exp(sqrt(x5) * 0.045072086)"
8,0.5809926,"log(x5) / exp(sqrt(x5) * 0.058372524)"
9,0.5362471,"5.413619 / (exp(sqrt(x5) * 0.050318863) + x4)"
10,0.5210122,"9.01411 / (exp(x4) + exp(sqrt(x5) * 0.06242326))"
11,0.48737305,"12.753685 / (x3 + exp(x4 + (sqrt(x5) * 0.06537621)))"
12,0.45057744,"6.8075953 / (exp(sqrt(x5) * 0.052773762) + abs(x3 + -1.7309419))"
14,0.40942463,"(7.0749063 / (abs(x3 + -1.7273109) + exp(sqrt(x5) * 0.04302076))) + -0.37326887"
16,0.36444914,"(9.803387 / (abs(x3 + -1.5729259) + (exp(sqrt(x5) * 0.04433975) + x12))) + -0.48382276"
18,0.35537732,"(7.197341 / (((exp(sqrt(x5) * 0.05547599) * 0.49951467) + x12) + abs(x3 + -1.5271626))) - 0.36829704"
20,0.34377128,"(6.6399546 / (abs(x3 + -1.5474589) + (((exp(sqrt(x5) * 0.10105863) * 0.07964452) + x12) + 0.6651696))) + -0.27281496"
23,0.33138603,"(25.50668 / ((((x6 + abs((exp(x0) * x4) + -0.45256817)) * 9.284025) + x3) + exp(sqrt(x5) * 0.06995165))) - 0.3255504"
25,0.32972494,"(25.26218 / ((x3 + ((x6 + abs((exp(x0) * x4) + -0.44789922)) * 9.657244)) + (exp(sqrt(x5) * 0.06964518) - x4))) + -0.3220457"
27,0.32188755,"((25.5937 / (exp(sqrt(x5) * 0.067367256) + (((abs((x4 * exp(x0)) + -0.44869274) + x6) * 9.148383) + x3))) + -0.42285272) - (x4 * -0.11050397)"
29,0.32095113,"(25.64727 / ((((abs((exp(x0) * x4) + -0.4492493) + x6) * 9.128252) + x3) + exp(sqrt(x5) * 0.06730484))) + (-0.41852596 - ((x6 * x4) * -0.12533487))"
30,0.31913292,"((27.111628 / ((x3 + exp(sqrt(x5) * 0.06860926)) + ((x6 + abs((x4 * exp(x0)) + -0.45666897)) * 10.09674))) + -0.40618676) - (log(x7) * (x4 * -0.13739246))"
