gal_id,vflat_obs_kms,M_bary_Msun
CamB,0.0,2500000000.0
D512-2,0.0,5000000000.0
D564-8,0.0,3500000000.0
D631-7,0.0,1500000000.0
DDO064,0.0,2500000000.0
DDO154,0.0,1500000000.0
DDO161,0.0,5000000000.0
DDO168,0.0,3000000000.0
DDO170,0.0,3500000000.0
ESO079-G014,0.0,2500000000.0
ESO116-G012,0.0,1500000000.0
ESO444-G084,0.0,3000000000.0
ESO563-G021,0.0,0.0
F561-1,0.2,5000000000.0
F563-1,0.2,2500000000.0
F563-V1,0.2,5000000000.0
F563-V2,0.2,5000000000.0
F565-V2,0.2,5000000000.0
F567-2,0.2,5000000000.0
F568-1,0.2,2500000000.0
F568-3,0.2,5000000000.0
F568-V1,0.2,5000000000.0
F571-8,0.2,2500000000.0
F571-V1,0.2,5000000000.0
F574-1,0.2,5000000000.0
F574-2,0.2,5000000000.0
F579-V1,0.2,5000000000.0
F583-1,0.2,2500000000.0
F583-4,0.2,5000000000.0
IC2574,0.2,3500000000.0
IC4202,0.2,0.0
KK98-251,0.2,2500000000.0
NGC0024,0.2,1500000000.0
NGC0055,0.2,1500000000.0
NGC0100,0.2,500000000.0
NGC0247,0.2,1500000000.0
NGC0289,0.2,2500000000.0
NGC0300,0.2,5000000000.0
NGC0801,0.2,0.0
NGC0891,0.2,0.0
NGC1003,0.2,2500000000.0
NGC1090,0.2,1500000000.0
NGC1705,0.2,5000000000.0
NGC2366,0.2,2500000000.0
NGC2403,0.2,1500000000.0
NGC2683,0.2,2500000000.0
NGC2841,0.2,0.0
NGC2903,1.3,1500000000.0
NGC2915,1.3,2000000000.0
NGC2955,1.3,0.0
NGC2976,1.3,5000000000.0
NGC2998,1.3,0.0
NGC3109,1.3,2500000000.0
NGC3198,1.3,1500000000.0
NGC3521,1.3,2500000000.0
NGC3726,1.3,1000000000.0
NGC3741,1.3,2000000000.0
NGC3769,1.3,1000000000.0
NGC3877,1.3,500000000.0
NGC3893,1.3,1000000000.0
NGC3917,1.3,1000000000.0
NGC3949,1.3,1000000000.0
NGC3953,1.3,0.0
NGC3972,1.3,500000000.0
NGC3992,1.3,0.0
NGC4010,1.3,500000000.0
NGC4013,1.3,500000000.0
NGC4051,1.3,1500000000.0
NGC4068,1.3,3000000000.0
NGC4085,1.3,1000000000.0
NGC4088,1.3,0.0
NGC4100,1.3,1000000000.0
NGC4138,1.3,1500000000.0
NGC4157,1.3,0.0
NGC4183,1.3,1000000000.0
NGC4214,1.3,5000000000.0
NGC4217,1.3,1000000000.0
NGC4389,1.3,2000000000.0
NGC4559,1.3,500000000.0
NGC5005,1.3,0.0
NGC5033,1.3,0.0
NGC5055,1.3,0.0
NGC5371,1.3,0.0
NGC5585,1.3,1000000000.0
NGC5907,1.3,0.0
NGC5985,1.3,0.0
NGC6015,1.3,1000000000.0
NGC6195,1.3,0.0
NGC6503,1.3,1000000000.0
NGC6674,1.3,0.0
NGC6789,1.3,3500000000.0
NGC6946,1.3,1000000000.0
NGC7331,1.3,0.0
NGC7793,1.3,4500000000.0
NGC7814,1.3,500000000.0
PGC51017,0.4,1500000000.0
UGC00128,0.4,5000000000.0
UGC00191,0.4,2500000000.0
UGC00634,0.4,4000000000.0
UGC00731,0.4,1500000000.0
UGC00891,0.4,2500000000.0
UGC01230,0.4,5000000000.0
UGC01281,0.4,500000000.0
UGC02023,0.4,5000000000.0
UGC02259,0.4,1500000000.0
UGC02455,0.4,2500000000.0
UGC02487,0.4,0.0
UGC02885,0.7,0.0
UGC02916,0.7,0.0
UGC02953,0.7,0.0
UGC03205,3.1,0.0
UGC03546,3.1,0.0
UGC03580,3.1,2000000000.0
UGC04278,3.1,1500000000.0
UGC04305,1.0,5000000000.0
UGC04325,1.0,1500000000.0
UGC04483,1.0,1500000000.0
UGC04499,1.0,1500000000.0
UGC05005,1.0,5000000000.0
UGC05253,1.0,0.0
UGC05414,1.0,1500000000.0
UGC05716,1.0,5000000000.0
UGC05721,1.0,2500000000.0
UGC05750,1.0,5000000000.0
UGC05764,1.0,5000000000.0
UGC05829,1.0,5000000000.0
UGC05918,1.0,2500000000.0
UGC05986,1.0,1500000000.0
UGC05999,1.0,5000000000.0
UGC06399,1.0,1000000000.0
UGC06446,1.0,1500000000.0
UGC06614,0.1,0.0
UGC06628,0.1,5000000000.0
UGC06667,0.1,500000000.0
UGC06786,0.1,1500000000.0
UGC06787,24.2,1500000000.0
UGC06818,24.2,1500000000.0
UGC06917,24.2,1000000000.0
UGC06923,24.2,1000000000.0
UGC06930,24.2,2500000000.0
UGC06973,24.2,1500000000.0
UGC06983,24.2,500000000.0
UGC07089,24.2,1500000000.0
UGC07125,24.2,1500000000.0
UGC07151,24.2,1500000000.0
UGC07232,24.2,2500000000.0
UGC07261,24.2,5000000000.0
UGC07323,24.2,1500000000.0
UGC07399,24.2,1500000000.0
UGC07524,24.2,1500000000.0
UGC07559,24.2,1500000000.0
UGC07577,24.2,1500000000.0
UGC07603,24.2,1500000000.0
UGC07608,24.2,5000000000.0
UGC07690,24.2,2500000000.0
UGC07866,24.2,2500000000.0
UGC08286,24.2,1500000000.0
UGC08490,24.2,1500000000.0
UGC08550,24.2,1500000000.0
UGC08699,24.2,4500000000.0
UGC08837,24.2,2500000000.0
UGC09037,24.2,2500000000.0
UGC09133,24.2,0.0
UGC09992,24.2,5000000000.0
UGC10310,24.2,3000000000.0
UGC11455,24.2,0.0
UGC11557,24.2,5000000000.0
UGC11820,24.2,5000000000.0
UGC11914,24.2,0.0
UGC12506,24.2,0.0
UGC12632,24.2,1500000000.0
UGC12732,24.2,3000000000.0
UGCA281,24.2,1500000000.0
