gal_id,s_obs,s_model
CamB,0.9105762754725253,0.6905409844265444
D512-2,-0.12477953887939601,0.5984464270644454
D564-8,0.22470372879858505,0.7304640003818919
D631-7,-0.10119539981454917,0.22570704301834085
DDO064,0.03441700229531412,0.6790463442239824
DDO154,-0.31631394040122374,0.3048052013680947
DDO161,0.04627609691798129,0.09550343717552195
DDO168,-0.2311154565249268,0.5086555123396789
DDO170,0.27761142820151324,0.1079421717157472
ESO079-G014,0.12731367836967084,-0.015178291333983638
ESO116-G012,0.10210033237797182,0.08856910004166983
ESO444-G084,-0.023568367467188787,0.4854278296717933
ESO563-G021,0.04681674366253055,-0.4163512730274321
F561-1,3.791401243121831e-15,0.19639684997061962
F563-1,-0.10223468144338421,0.11745621475939617
F563-V1,-0.25338663454524724,0.22070030717957556
F563-V2,0.04874280353349105,0.11060576154005859
F565-V2,0.3685125657557406,0.19598819653551977
F567-2,0.36615377355774836,0.2160719323808169
F568-1,0.24581467048756783,0.1995076965222641
F568-3,0.39208088968746335,0.12258587407480094
F568-V1,0.0951691612584194,0.11430943308959547
F571-8,0.12051983234317938,0.024966691695716907
F571-V1,-0.03105209941715225,0.07334674822537443
F574-1,0.07989906141185314,0.18343371430693148
F574-2,0.46876743520879277,0.2055944663820127
F579-V1,0.015737317468599056,0.05964506330888372
F583-1,0.16944498835122787,0.19373286479721505
F583-4,0.4539368305483239,0.21492409567586174
IC2574,0.6412137803312473,0.19396771309871016
IC4202,0.0123723102437405,-0.25506761334259437
KK98-251,0.134292887096366,0.7215038157576266
NGC0024,0.008074764714912034,0.18552498352294033
NGC0055,0.07370456712315918,0.12423458354093948
NGC0100,0.305805269294495,0.12132672134735802
NGC0247,0.12795254243411586,0.02943454554459198
NGC0289,-0.26037960414241684,-0.16022568087074993
NGC0300,-0.10811004996043039,0.06082186969741866
NGC0801,0.035623899380373025,-0.26192887378831275
NGC0891,-0.2078456665987476,-0.36145955280848546
NGC1003,0.2014570109647174,0.10175331011081455
NGC1090,-0.100788414926816,-0.15652182281258173
NGC1705,0.00844769809528588,0.30242717278648906
NGC2366,-0.19426807896920598,0.3024980593509402
NGC2403,0.06338777906389718,-0.018589995619764512
NGC2683,-0.317785321278023,-0.17317588689314578
NGC2841,0.0783455123197677,-0.21044603921581106
NGC2903,-0.12427411171448748,-0.24046782455159849
NGC2915,0.33633362552553087,0.17851457025744186
NGC2955,-0.2538701617941221,-0.2689781926132538
NGC2976,0.4041673678923419,0.29851606164406363
NGC2998,-0.1747503217707499,-0.23977346899420612
NGC3109,0.33445434468635304,0.30144919732037345
NGC3198,-0.013318951680370082,-0.06603202569352343
NGC3521,-0.0332481376596485,-0.28917828552629
NGC3726,-0.033377004853947595,-0.2021878045529143
NGC3741,0.21530665383492936,0.2982578345862512
NGC3769,-0.43663588331976644,-0.028696172476531782
NGC3877,-0.0702238698267251,-0.22305193690965316
NGC3893,-0.31191072955219257,-0.2155793664179888
NGC3917,0.010785043851563793,-0.1408748702849002
NGC3949,0.16413782367383625,-0.2071074880886127
NGC3953,-0.3486376916195611,-0.38788899538671906
NGC3972,0.13853864591388107,-0.07904703328225958
NGC3992,-0.15965729576113802,-0.32054779332573763
NGC4010,-0.22013486578191596,-0.06900097345988931
NGC4013,-0.045081781291666616,-0.1924522579568994
NGC4051,-0.04283102462281593,-0.24548470673411374
NGC4068,0.7635492616251083,0.6794833557147884
NGC4085,0.1457168933161523,-0.2174390182464969
NGC4088,0.25250065109113834,-0.33931602088792223
NGC4100,-0.5112835510836102,-0.24559271932035256
NGC4138,0.13685267460885955,-0.15960682618326677
NGC4157,-0.01553457162803045,-0.2878309637046839
NGC4183,0.07935133323686434,-0.014389736059920989
NGC4214,0.025650357768841316,0.2780511574574899
NGC4217,-0.11049344676830732,-0.27737352928284037
NGC4389,0.7681861059520813,-0.21892825314889008
NGC4559,-0.10479563487256974,-0.002196004999636965
NGC5005,-0.005024832922268997,-0.2347853186863554
NGC5033,-0.02107291400276211,-0.2242499542092033
NGC5055,-0.09381620318966408,-0.20122981126284764
NGC5371,0.07111867471877117,-0.46578426068840245
NGC5585,-0.017503788716605958,0.10867827586589449
NGC5907,-0.041419057145124775,-0.24877804064272327
NGC5985,-0.05510667136910887,-0.16494071920561965
NGC6015,-0.21382166867895117,-0.11658496992083407
NGC6195,-0.07820110276477377,-0.33424290751609276
NGC6503,0.046078463176943,-0.006956976275636045
NGC6674,-0.019340057423516303,-0.24840472539681852
NGC6789,0.7775174255266708,0.38039398855421136
NGC6946,-0.17427513594248345,-0.2917764010020856
NGC7331,-0.0019955561883821583,-0.36745305692008745
NGC7793,-0.23566768563629012,0.03643907179698518
NGC7814,3.92144496338263e-15,-0.23738318697030727
PGC51017,0.027305759577932763,0.6027067981352439
UGC00128,-0.1210920530733463,-0.0436202013934016
UGC00191,0.1182763109112357,0.12435991173512469
UGC00634,-0.016140618650060896,0.04968911360997763
UGC00731,-0.007742019480542469,0.16026633752998298
UGC00891,0.266129996236048,0.21479171185510743
UGC01230,-0.05854818869302671,-0.018053658895199734
UGC01281,0.21190700852949254,0.524732166547167
UGC02023,0.9270440486268107,0.5433562780844743
UGC02259,0.14394410097149152,0.11974137991632278
UGC02455,1.025065887385267,0.19428600231798743
UGC02487,0.03696995940970987,-0.3475058585245428
UGC02885,4.488430474636643e-15,-0.26355414461170157
UGC02916,-0.1272360195822278,-0.1483190701799169
UGC02953,-0.09966059617369082,-0.339840859649497
UGC03205,-0.034635763348025435,-0.25593921527577135
UGC03546,-0.08542468227987815,-0.2954535989078659
UGC03580,0.15060336645021677,-0.001792113327991398
UGC04278,0.5471739711293366,0.46939136128366427
UGC04305,-0.06307523242816634,0.31984632300947746
UGC04325,-0.09738989498018037,0.21421870064350823
UGC04483,-0.029075029975756016,0.6794840677736784
UGC04499,0.11625079832597669,0.18869746836431567
UGC05005,-0.016764685651004276,0.0651452776814459
UGC05253,-0.07968996475061477,-0.22339284372333346
UGC05414,0.42372651905355313,0.48539427594403667
UGC05716,0.16366608060510682,0.11653572636870346
UGC05721,0.041070528819171184,0.2882355758527139
UGC05750,0.06627077028092554,0.10518505941762475
UGC05764,-0.4084247448099721,0.5938095689515052
UGC05829,0.6104630227865628,0.2758269807072582
UGC05918,0.3252158919862981,0.4734017384828444
UGC05986,-0.29363416449185814,0.04779948301374348
UGC05999,0.15004670713876386,0.24862130963481854
UGC06399,0.19661848626252468,0.14213182958809278
UGC06446,-0.11353261935506916,0.12950879809412005
UGC06614,0.01627974066145943,-0.10874462194936717
UGC06628,3.2961294633927037e-15,0.23280906196626378
UGC06667,0.06982161489244057,0.19915390840972622
UGC06786,-0.059507141657613366,-0.20911592749802713
UGC06787,0.12917558145128782,-0.19957762480639812
UGC06818,0.6646432088380873,0.18709034100021382
UGC06917,0.3070723228948068,0.17238099268520157
UGC06923,0.15635749550027186,0.26582333091502885
UGC06930,-1.7256124510745747e-15,-0.06880870851434491
UGC06973,0.1630234031740718,-0.34281246921224146
UGC06983,0.014514805250539449,0.03551496248512982
UGC07089,0.4632747060010876,0.1300422753556967
UGC07125,-0.056023669418181175,0.025492393992755494
UGC07151,0.2436389379444809,0.333893748837421
UGC07232,0.7981245820787326,0.2833886309051168
UGC07261,0.12084637352450128,0.23220353959303214
UGC07323,0.3296751513650637,0.2687281960999473
UGC07399,0.2623687069453833,0.2775389476650648
UGC07524,0.21859719024587707,0.22180988258177
UGC07559,0.20618783439432428,0.7761397054539382
UGC07577,1.002312844596572,0.7258312619714443
UGC07603,0.21721447661973928,0.4835960267815472
UGC07608,0.36375470670126225,0.4522846203322677
UGC07690,-0.11502356649416766,0.3775735560322075
UGC07866,0.5291286263068071,0.7573470710956378
UGC08286,0.060367013598901884,0.19653543921531777
UGC08490,-0.12693067498075236,0.143599147000708
UGC08550,-0.027255357515049154,0.3843918895576789
UGC08699,-0.03067275866166807,-0.21277602268519435
UGC08837,0.22395454854037825,0.4862846461541323
UGC09037,-0.2531458029914465,-0.13032244309328142
UGC09133,-0.1216074167146883,-0.22497788735459737
UGC09992,0.12054546010071995,0.541327522770448
UGC10310,0.07168857298923761,0.1459369243933126
UGC11455,-0.055921179811339386,-0.45237435178255164
UGC11557,0.19433114475704935,-0.0009876066533525635
UGC11820,0.22849304087182756,0.1107981308926307
UGC11914,0.10272653476556869,-0.1903023851813563
UGC12506,-0.19980066708053734,-0.0643868450129653
UGC12632,0.09401624711296612,0.17634729025184712
UGC12732,0.5405791683942007,0.19028663275418173
UGCA281,0.13171715197129955,0.508374893099233
UGCA442,-0.1577593966328427,0.24465851119156007
UGCA444,0.47546556754755026,0.7508298304713681
