cluster,size,mean_error,std_error,early_count,intermediate_count,late_count,mean_eta,mean_ring_amp,mean_M_max,mean_bulge_gate_power,mean_lambda_hat
0,56,6.983149949993406,5.698154075826692,7,8,41,0.8504688452159984,7.52459139303036,2.347118201681449,32.24643662481408,22.35088784708828
1,30,25.726111205418906,27.09311533646382,10,7,13,0.10130411830900443,1.4578115575012869,2.472623476191347,34.81503903236568,12.725192192054546
2,46,11.360829275587331,9.395779746264731,8,13,25,0.22769607936077763,2.7436399832804654,2.401439621455305,28.615469610559142,20.53199815750363
3,31,10.87131316431107,7.953707451904933,2,2,27,1.6478304458006716,7.086369792070055,4.038446349558257,34.86067290832724,41.33387996276534
4,12,13.063667689760527,11.35154431052321,1,4,7,0.07523621982924568,1.518514744230347,2.3189814540857907,27.93166094470848,20.167726860957075
