name,hubble_type,type_group,best_error,total_evaluations,eta,ring_amp,M_max,bulge_gate_power,lambda_hat,error_std,error_range,error_cv,eta_std,eta_range,ring_amp_std,ring_amp_range,M_max_std,M_max_range,bulge_gate_power_std,bulge_gate_power_range,lambda_hat_std,lambda_hat_range,cluster,pc1,pc2
CamB,Im,late,57.82568359375,6000,0.010000762505925485,6.481620495927982e-05,2.9813184456786646,43.24698972979257,5.124797879730373,0.0,0.0,0.0,4.7511169193045565e-07,1.02060847565269e-06,5.890714006462768e-06,1.4301198451877203e-05,0.710397582831904,1.5129428665439653,2.3502324691611904,5.586677468680762,14.740962223354586,35.179839055728955,1,-1.1643486812919541,2.773244104522963
D512-2,Im,late,2.9777638912200928,6000,0.9615711892183582,9.635356454938574,1.7500218824881075,33.224687704513705,18.52541686012775,1.1207122378456995,2.377389669418335,0.29725324333308206,0.4573793205114771,1.0449173110123295,2.647306019071967,6.075048294751111,0.2131246717248809,0.4521057311978045,14.129495430228213,33.62314294192542,9.87779674125884,23.350325726953976,0,2.0680456203483875,-0.7819332592377103
D631-7,Im,late,16.171321868896484,6000,1.9999999201750205,0.15946820607232587,4.999999997573485,4.434154724345982,49.99998005570658,1.0369304930559852e-05,2.288818359375e-05,6.412153387872002e-07,5.251100121536591e-08,1.2224497814017354e-07,3.571516515598286e-06,7.899037182429458e-06,1.9340731241208243e-06,4.290697901865315e-06,16.70007177186177,40.79411460847995,0.00010116921846931625,0.00022131392874769062,3,-2.4167262758356007,-2.192675985706649
D564-8,Im,late,2.645246744155884,6000,1.999996663015264,2.2124913454670314,4.912684255044561,38.86301527799567,49.999917744651356,0.35763243921969096,0.7588009834289551,0.12339475446407643,0.5605054738321914,1.189087890386331,1.7048007572930821,3.6164712839931137,0.03590951811626542,0.08566822624204562,14.487064595328874,34.89577114190839,0.20778565969034388,0.4412264583212746,3,0.18251702666485872,-3.2328574294366192
DDO154,Im,late,5.418088436126709,6000,1.9999999315017274,0.9873740753501596,4.999997407099846,31.841419559668818,49.88786802012992,0.08403812628697271,0.19345378875732422,0.015182695527211916,0.38491982793038787,0.8219137178989886,1.3352280037418918,3.058100164901113,2.8997288402703763e-06,7.017404237252833e-06,8.45137617488181,17.970114022538244,14.744193950321622,34.229641402269046,0,0.4737768356595783,-1.8198412886954907
DDO161,Im,late,3.4304263591766357,6000,0.39841907464206994,0.21199000221443182,3.7698329555113768,15.16691115887254,31.26582017531371,0.23455032504897583,0.5394399166107178,0.06438254028623698,0.060327395860602984,0.1465497456337907,0.07005760187367996,0.1694315748481418,0.1545450056318883,0.3624028879771233,5.804474331791161,14.19682597845772,13.068324345420248,31.962550341473406,2,-0.5629379929800856,0.04245469782789858
DDO168,Im,late,6.190116882324219,6000,1.9999872474888256,0.7193457222346451,2.6489044554712367,43.60443460997601,49.99575726748928,0.04454958064335165,0.09813404083251953,0.007156091486703536,0.05147579000802742,0.1092788212335718,0.0236897088506042,0.054478553097093485,0.02010832002714618,0.04271668806015594,4.1195595316793066,9.835129855446361,0.2714399980702212,0.6311568662495475,3,-1.9390368974410137,-2.43043755687512
DDO064,Im,late,12.167132377624512,6000,0.8291528070149885,6.757315156928464,1.8684416212386328,47.753923981706826,39.00150964338899,0.0007029842681341305,0.0015668869018554688,5.77745760942453e-05,0.30932984327307406,0.7544400835571394,0.85802428066817,2.0670932028915443,0.00010959925733954321,0.0002660301020456224,9.729112363547125,23.754053632871447,4.012707069902625,9.502958289638727,3,-0.5920937559319505,-1.7190578709493676
DDO170,Im,late,3.170415163040161,6000,1.803110361265228,0.2623756046043349,2.2689706690144225,6.242074716170146,28.90961641125221,0.3066296023288984,0.6713423728942871,0.08509664346388743,0.7534928486133657,1.7266891842904026,2.570719946221851,6.287826772873929,0.0010452834086353078,0.002250190515420858,11.744541719016958,25.70323817953532,11.738997956942887,28.665390816410614,0,2.3571439770543074,-2.00821702281303
F563-V1,Im,late,5.885758876800537,6000,0.01000000105997286,6.317060170585312,0.8266408159929945,6.266126604158553,5.000001811810064,0.01831173795782118,0.038845062255859375,0.0030975650889361935,5.567583864810826e-10,1.3583494815061492e-09,2.977885647893697,6.317053364517606,1.4553397031836475,3.512391342000525,13.905165008894866,32.60741004246774,15.319410234611095,36.36391269167273,1,0.2059017802011174,3.0198440496511396
