cluster,S0,gsat,lam,temp_median_frac_err,med_ratio
ABELL_0426,1.05e-05,2000.0,0.002,0.5847289324087873,0.554
ABELL_0426,1.05e-05,2500.0,0.002,0.5877824123524834,0.556
ABELL_0426,8.8e-06,2000.0,0.002,0.6135636105150297,0.505
ABELL_0426,8.8e-06,2500.0,0.002,0.6159432369624568,0.506
ABELL_0426,1.05e-05,2000.0,0.001,0.6220150534224315,0.525
ABELL_0426,1.05e-05,2500.0,0.001,0.6249927077233629,0.524
ABELL_0426,7.5e-06,2000.0,0.002,0.6373890830956048,0.463
ABELL_0426,7.5e-06,2500.0,0.002,0.6392839441450531,0.464
ABELL_0426,1.05e-05,2000.0,0.0,0.6419155818110444,0.504
ABELL_0426,1.05e-05,2500.0,0.0,0.6456688521738605,0.499
ABELL_0426,8.8e-06,2000.0,0.001,0.6474712726037859,0.478
ABELL_0426,8.8e-06,2500.0,0.001,0.6497801827322675,0.477
ABELL_0426,8.8e-06,2000.0,0.0,0.6652226267740905,0.459
ABELL_0426,8.8e-06,2500.0,0.0,0.6680929102799603,0.455
ABELL_0426,7.5e-06,2000.0,0.001,0.6684586322118896,0.438
ABELL_0426,7.5e-06,2500.0,0.001,0.6702936026979783,0.437
ABELL_0426,7.5e-06,2000.0,0.0,0.6843405820136095,0.421
ABELL_0426,7.5e-06,2500.0,0.0,0.6865938158334894,0.419
ABELL_1689,1.05e-05,2000.0,0.002,0.8161432340758658,1.42
ABELL_1689,1.05e-05,2500.0,0.002,0.8165132715444636,1.42
ABELL_1689,8.8e-06,2000.0,0.002,0.824979717473713,1.3
ABELL_1689,8.8e-06,2500.0,0.002,0.8253351584291081,1.29
ABELL_1689,1.05e-05,2000.0,0.001,0.8270261493978324,1.27
ABELL_1689,1.05e-05,2500.0,0.001,0.828218988261586,1.26
ABELL_1689,7.5e-06,2000.0,0.002,0.832527246637118,1.19
ABELL_1689,7.5e-06,2500.0,0.002,0.8330453457235354,1.19
ABELL_1689,8.8e-06,2000.0,0.001,0.83587519106528,1.16
ABELL_1689,8.8e-06,2500.0,0.001,0.8377686723298813,1.14
ABELL_1689,1.05e-05,2000.0,0.0,0.8402149419540225,1.14
ABELL_1689,1.05e-05,2500.0,0.0,0.84206283104756,1.11
ABELL_1689,7.5e-06,2000.0,0.001,0.8443166289372168,1.06
ABELL_1689,7.5e-06,2500.0,0.001,0.8458282339281388,1.05
ABELL_1689,8.8e-06,2000.0,0.0,0.8478439723174435,1.03
ABELL_1689,8.8e-06,2500.0,0.0,0.8492461603537182,1.01
ABELL_1689,7.5e-06,2000.0,0.0,0.854023511637475,0.943
ABELL_1689,7.5e-06,2500.0,0.0,0.8551274522901324,0.927
