cluster,S0,temp_median_frac_err
ABELL_0426,8e-06,0.6838819102503226
ABELL_1689,8e-06,0.8564555129695739
__AVERAGE__,8e-06,0.7701687116099483
ABELL_0426,8.8e-06,0.6733353091040757
ABELL_1689,8.8e-06,0.8532830908949967
__AVERAGE__,8.8e-06,0.7633091999995362
ABELL_0426,9.6e-06,0.6632721282203552
ABELL_1689,9.6e-06,0.8502534545594034
__AVERAGE__,9.6e-06,0.7567627913898793
