R_kpc,Sigma_bar,Sigma_eff,kappa_bar,kappa_eff,kappa_bar_mean,kappa_eff_mean
1.0,39625486921.47069,39612620901.5251,15.860788902524911,15.855639054731823,0.0,0.0
1.0120606264911474,39625531510.19401,39612664335.79074,15.860806749935328,15.855656440050515,0.3757706903722965,0.3756486757538721
1.0242667116936537,39625580610.813156,39612708832.47689,15.860826403310359,15.855674250621455,0.7426391448714854,0.7423979789777436
1.0366200099307066,39625619176.34126,39612754417.67676,15.860841839832348,15.855692496888905,1.1008162444123657,1.1004587619349282
1.0491222966837304,39625666283.925674,39612801118.27705,15.860860695460635,15.855711189614732,1.4505078938423825,1.4500368816724554
1.0617753688475675,39625714621.109604,39612848961.78379,15.86088004325747,15.855730339808705,1.7919151747871431,1.7913333183733713
1.0745810449887383,39625764316.81134,39612897976.44321,15.860899934824637,15.855749958776862,2.12523437103921,2.124544290904839
1.0875411656068144,39625814844.46308,39612948191.22146,15.860920159394233,15.855770058113412,2.4506571141726816,2.449861369629145
1.1006575933989453,39625865843.24486,39612999635.691185,15.860940572541802,15.85579064965532,2.768370491463813,2.7674715865413893
1.113932213527575,39625920606.20778,39613052340.14638,15.860962492368209,15.85581174552828,3.078557171763512,3.077557542797823
1.127366933891388,39625973255.2474,39613106335.69978,15.860983566060122,15.855833358185707,3.3813954836529145,3.380297513697666
1.1409636853995222,39626027282.43896,39613161654.255264,15.86100519138127,15.855855500397679,3.677059519742786,3.675865551178032
1.1547244222490889,39626084649.88922,39613218328.553825,15.861028153698939,15.855878185269349,3.9657192738959877,3.9644315838806476
1.1686511222060412,39626144358.48786,39613276392.12701,15.861052053101881,15.855901426222298,4.247540716998419,4.246161514847824
1.1827457868894284,39626200933.043915,39613335879.29334,15.861074698049881,15.855925236993118,4.522685856963347,4.521217316903598
1.19701044205908,39626262394.61887,39613396825.31158,15.86109929911202,15.855949631694727,4.791312875901494,4.789757125775815
1.2114471379067577,39626325515.32093,39613459266.3794,15.861124564268577,15.855974624815888,5.053576230713487,5.051935331012743
1.2260579493508208,39626390953.60426,39613523239.58461,15.861150757077265,15.856000231201627,5.309626706866915,5.3079026647454155
1.2408449763344431,39626455118.3587,39613588782.90906,15.861176440133908,15.856026466054844,5.559611503425711,5.557806288346857
1.2558103441274293,39626524037.568794,39613655935.24864,15.861204026243948,15.856053344944296,5.803674343872414,5.801789877038318
1.2709562036316695,39626590396.16889,39613724736.53393,15.861230587425394,15.856080883852886,6.041955540141062,6.039993702491689
1.2862847316902777,39626661616.37685,39613795227.75516,15.861259094549766,15.856109099187668,6.274592080851752,6.272554713475599
1.3017981314004599,39626735561.947235,39613867450.93922,15.861288692547754,15.856138007770634,6.50171773391089,6.499606614590893
1.3174986324301545,39626807994.480606,39613941449.14624,15.861317684926417,15.85616762683735,6.723463067738463,6.721279943140572
1.3333884913384921,39626885641.40006,39614017266.49708,15.861348764453613,15.856197974047952,6.939955569468329,6.937702144178691
1.34946999190012,39626960691.85407,39614094948.26016,15.861378804700449,15.856229067521914,7.151319700285649,7.148997643781738
1.3657454454334392,39627041074.41095,39614174540.90569,15.861410979214003,15.856260925859742,7.357676973672845,7.355287920584767
1.3822171911327976,39627124745.246574,39614256092.09502,15.8614444699182,15.856293568138717,7.559146051859675,7.556691575622889
1.3988875964046932,39627206134.83496,39614339650.68847,15.861477047513596,15.856327013916037,7.75584274955619,7.75332440051811
1.415759057208029,39627293127.89099,39614425266.76736,15.861511867994171,15.856361283237613,7.947880148974581,7.945299444050834
1.4328339983984741,39627378428.231606,39614512991.66858,15.861546010936022,15.85639639665193,8.13536865556611,8.132727077154424
1.4501148740769754,39627468998.273766,39614602878.11573,15.861582263167382,15.856432375262521,8.318416057901976,8.31571505637073
1.467604167942475,39627562086.29485,39614694980.24476,15.86161952326351,15.85646924073824,8.497127610538222,8.494368585802968
1.4853043936488803,39627656374.9362,39614789353.532524,15.861657263928738,15.856507015284665,8.671606055109184,8.668790377600631
1.5032180951663396,39627755929.476234,39614886054.81819,15.861697112361309,15.856545721652655,8.841951712298306,8.839080711011125
1.5213478471468749,39627851661.58541,39614985142.45547,15.861735430799587,15.856585383199295,9.008262501821699,9.005337490033238
1.5396962552944244,39627954624.783104,39615086676.363205,15.86177664360655,15.856626023908147,9.17063403339261,9.167656299705628
1.5582659567393489,39628058569.27669,39615190717.969894,15.861818249194227,15.85666766836703,9.32915967384425,9.326130461061721
1.5770596204174525,39628164557.97738,39615297330.28859,15.861860673011277,15.85671034179801,9.483930553596547,9.480851084782712
1.5960799474535783,39628273473.048805,39615406577.98333,15.861904268159007,15.856754070083994,9.635035653244152,9.63190712358012
1.615329671549826,39628385738.02868,39615518527.405846,15.861949204165736,15.856798879783412,9.782561851450154,9.779385423337768
1.6348115593784562,39628500453.72279,39615633246.64338,15.861995121113376,15.856844798149368,9.926593966273673,9.923370773042558
1.65452841097953,39628618999.733,39615750805.542854,15.862042571211513,15.8568918531393,10.067214808624836,10.06394595353259
1.6744830601633456,39628745472.14637,39615871275.75674,15.86209319399009,15.856940073433355,10.204505253515402,10.201191785090721
1.6946783749177292,39628861434.63432,39615994730.889084,15.862139609988603,15.856989488492834,10.338544191248335,10.335187173911443
1.7151172578202367,39628989459.09052,39616121246.51796,15.86219085399926,15.857040128569167,10.469408663848522,10.466009157467674
1.7358026464553273,39629118705.26616,39616250900.14236,15.862242587024328,15.857092024682673,10.597173942753642,10.59373294880259
1.7567375138365704,39629251834.39522,39616383771.282326,15.862295874268899,15.857145208662633,10.721913477689025,10.718431979772319
1.7779248688339402,39629387660.62478,39616519941.58879,15.862350241074756,15.857199713191243,10.84369898511076,10.840177943265138
1.7993677566062685,39629526965.02088,39616659494.89214,15.862406000077142,15.857255571823076,10.962600480520319,10.959040834421181
1.8210692590389104,39629669769.66889,39616802517.25233,15.862463160116105,15.857312819005116,11.078686324413217,11.075088990876031
1.8430324951866892,39629816847.99441,39616949097.02315,15.862522030768668,15.857371490102507,11.192023261495779,11.188389132051423
1.8652606217221832,39629967296.389404,39617099324.90673,15.862582250350032,15.857431621420352,11.302676454507822,11.299006397515631
1.88775683338942,39630122561.024536,39617253294.02433,15.862644397715103,15.857493250232045,11.410709525006606,11.407004384435652
1.9105243634630407,39630278519.04608,39617411100.0017,15.862706822620122,15.857556414813457,11.516184574390971,11.512445184142768
1.9335664842130058,39630439860.82207,39617572841.0489,15.862771402466299,15.857621154474865,11.61916223570784,11.615389417832658
1.9568865073748998,39630607691.16384,39617738618.03038,15.862838579473552,15.857687509589022,11.71970173287481,11.71589627142035
1.9804877846259143,39630776005.83589,39617908534.53198,15.862905950342403,15.857755521617955,11.81786086325608,11.8140235295701
2.0043737080665673,39630952979.26084,39618082696.945724,15.862976787027389,15.857825233146915,11.913696065585807,11.90982760891974
2.0285477107082346,39631129077.51206,39618261214.5362,15.8630472734089,15.857896687910955,12.007262434514109,12.003363590518587
2.0530132669665586,39631310659.71762,39618444199.54175,15.863119954838318,15.857969930835417,12.098613744798541,12.094685251497665
2.0777738931608125,39631499638.47295,39618631767.31569,15.863195596865163,15.858045008092468,12.187802536270611,12.183845095990732
2.102833148019282,39631691289.74232,39618824036.378426,15.863272308612132,15.858121967121958,12.274880090480044,12.270894385323643
2.1281946331907466,39631892247.059494,39619021128.48504,15.86335274526626,15.85820085665847,12.359896483401599,12.355883167489067
2.153861993762124,39632091571.548065,39619223168.75206,15.863432528352398,15.85828172678207,12.442900583707232,12.438860305923779
2.1798389187823672,39632305787.389046,39619430285.7168,15.863518271960801,15.858364628942045,12.523940129546006,12.5198735076051
2.206129141792668,39632508547.855156,39619642611.47561,15.863599430356587,15.858449616012255,12.603061680272473,12.598969350482554
2.232736441363065,39632727402.42487,39619860281.911194,15.863687030696678,15.858536742382109,12.680310699401431,12.676193310261416
2.2596646416355184,39632952654.174255,39620083436.73591,15.863777191618965,15.858626063973901,12.755731656925382,12.751589786552957
2.2869176128735367,39633182350.29024,39620312219.47155,15.863869131476122,15.858717638234722,12.82936791424568,12.82520212840526
2.314499272018431,39633414787.61272,39620546777.61019,15.863962168548756,15.858811524200837,12.901261788126675,12.89707265922983
2.3424135832522777,39633652118.13849,39620787262.8285,15.864057164210939,15.858907782583461,12.971454595010584,12.96724270113944
2.3706645585676736,39633899645.79426,39621033831.21767,15.864156241451388,15.859006475860804,13.03998670792117,13.035752598711454
2.399256258344359,39634153684.87834,39621286643.399475,15.864257925004038,15.859107668324524,13.10689755079037,13.102641742189837
2.4281927919327986,39634414983.272064,39621545864.584465,15.864362514221368,15.859211426103004,13.172225599722864,13.167948590138227
2.4574783182447963,39634681829.32024,39621811664.60223,15.864469323983679,15.859317817173487,13.236008414615883,13.231710691556792
2.4871170463512398,39634952838.69346,39622084218.10669,15.864577800189101,15.85942691144424,13.298282650835082,13.2939647074762
2.5171132360870474,39635231260.98266,39622363704.88591,15.864689243542808,15.859538780878554,13.359084104290782,13.354746432042413
2.547471198663417,39635519006.95907,39622650309.982605,15.864804418864146,15.859653499542985,13.41844774725406,13.41409081310402
2.578195297287452,39635815079.310135,39622944223.83192,15.864922926961459,15.859771143662506,13.476407727688821,13.472031972313019
2.6092899477892684,39636117998.366684,39623245642.45065,15.865044175571475,15.859891791696246,13.532997372774213,13.52860322475092
2.6407596192566607,39636423375.02881,39623554767.65446,15.86516640788078,15.86001552442442,13.588249192199246,13.58383709809183
2.6726088346774195,39636741130.71492,39623871807.23577,15.865293595109293,15.860142425019557,13.642194952078565,13.637765351313364
2.7048421715894047,39637064538.70736,39624196975.17532,15.865423044771516,15.86027257913116,13.694865680605297,13.690418992966142
2.7374642627384485,39637399832.088394,39624530491.8764,15.865557251766816,15.86040607497947,13.746291668886887,13.741828299012552
2.770479796744201,39637741013.59155,39624872584.3581,15.865693815585193,15.860543003432818,13.796502491150738,13.792022830244875
2.803893518774003,39638091361.54256,39625223486.51788,15.865834048433419,15.860683458112726,13.845527008329595,13.84103144929298
2.837710231224885,39638453778.97059,39625583439.39408,15.865979112299309,15.860827535498968,13.893393426887409,13.888882337231479
2.8719347944137956,39638823772.899345,39625952691.38425,15.866127208791116,15.860975335016978,13.940129277277554,13.935603009795784
2.9065721272761507,39639201031.84764,39626331498.51596,15.86627821323309,15.861126959146235,13.98576141504606,13.981220333216232
2.941627208072808,39639589954.02555,39626720124.71008,15.866433886085149,15.861282513525648,14.030316078994199,14.025760539679649
2.977105075105571,39639985174.20882,39627118842.16183,15.866592079823166,15.861442107106072,14.073818881416454,14.069249242427656
3.013010827441318,39640396328.58952,39627527931.69478,15.86675665150027,15.861605852292024,14.11629484848348,14.111711450500735
3.0493496256448713,39640815383.44215,39627947682.97384,15.866924385478383,15.861773865026906,14.1577684205471,14.153171583135673
3.086126692520694,39641247907.74064,39628378394.79838,15.86709751083599,15.861946264910355,14.198263447623352,14.193653483824285
3.123347313863546,39641688776.13066,39628820375.50395,15.867273976061055,15.862123175359025,14.237803216478222,14.233180434042442
3.161016839218183,39642143258.57272,39629273943.39025,15.867455890546744,15.862304723777896,14.276410463153615,14.271775166657642
3.1991406826482205,39642607441.47215,39629739427.12626,15.86764168780886,15.86249104172243,14.31410739120414,14.309459879022988
3.237724323514275,39643086306.13349,39630217166.1306,15.867833361701004,15.862682265050825,14.35091568345785,14.346256245764623
3.2767733072614837,39643578139.77419,39630707510.977554,15.868030226652236,15.86287853408652,14.386856524345314,14.382185431269926
3.3162932462165258,39644080400.69566,39631210823.88977,15.868231265303576,15.863079993815415,14.42195057620371,14.417268101884137
3.356289820394258,39644595674.61192,39631727479.22601,15.868437512631942,15.863286794081105,14.456218012196935,14.45152443782265
3.396768778314074,39645126954.44373,39632257863.97021,15.868650166605816,15.863499089780625,14.489678554013297,14.484974144805728
3.4377359378261105,39645672504.60487,39632802378.27158,15.868868532526687,15.863717041080648,14.522351461926325,14.517636465422425
3.4791971869474256,39646229194.30586,39633361436.04441,15.869091357241727,15.863940813657543,14.554255516785501,14.549530190230737
3.521158484708249,39646804211.04529,39633935465.55403,15.869321517671995,15.864170578931946,14.585409074016596,14.580673668600292
3.56362586200845,39647391710.22447,39634524910.014694,15.86955667441543,15.864406514308056,14.615830060169516,14.611084819303915
3.606605422484327,39648001387.57131,39635130228.310486,15.869800708355406,15.86464880346219,14.645535995783996,14.64078114086437
3.6501033433858567,39648620922.13049,39635751895.69322,15.870048687815707,15.864897636622139,14.674543973233517,14.669779721662808
3.6941258764645224,39649260374.00844,39636390404.500175,15.870304639528541,15.865153210854439,14.70287066985886,14.69809724981437
3.7386793488718437,39649918939.88577,39637046264.959984,15.870568241951384,15.86541573038696,14.730532411467292,14.725750022817083
3.7837701640687524,39650591851.43653,39637720006.056725,15.870837586479006,15.865685406954759,14.757545110547687,14.752753956980062
3.8294048027459335,39651280882.07729,39638412176.43904,15.871113382952172,15.86596246016398,14.78392428857907,14.779124596636752
3.875589823755259,39651993797.14111,39639123345.35735,15.87139873958022,15.866247117866981,14.809685144707379,14.804877123148643
3.922331865052462,39652722216.2312,39639854103.68775,15.871690301963879,15.866539616572176,14.83484251460833,14.83002636370499
3.9696376446511854,39653472210.17197,39640605065.02133,15.871990500055986,15.866840201880047,14.859410871933775,14.854586799924048
4.017513961588521,39654250175.55142,39641376866.82308,15.872301894201918,15.867149128947023,14.883404406552652,14.878572576261211
4.06596769690221,39655041534.60701,39642170171.68667,15.87261864939919,15.867466662987718,14.90683693276314,14.901997508229384
4.115005814619619,39655852638.41521,39642985668.639694,15.872943307776394,15.86779307979739,14.929721899165752,14.924875090436736
4.164635362758645,39656692538.94329,39643824074.542625,15.873279492540544,15.868128666311883,14.952072508850273,14.94721850444686
4.214863474340702,39657553267.05443,39644686135.62477,15.873624013906307,15.868473721222427,14.973901656752158,14.969040626466642
4.265697368415905,39658440553.43357,39645572629.11627,15.8739791656798,15.86882855562888,14.995221922078452,14.990354034866947
4.317144351100639,39659354493.14043,39646484364.98873,15.87434498591032,15.86919349373643,15.016045613475017,15.011171017541242
4.369211816627631,39660289431.580666,39647422187.8573,15.874719211248342,15.869568873616956,15.03638472144978,15.03150357910704
4.421907248408684,39661255341.33723,39648386979.00339,15.875105833393278,15.869955048018635,15.056250973352066,15.051363447955405
4.4752382201102385,39662249379.942986,39649379658.50447,15.875503714598326,15.870352385218446,15.075655852132702,15.07076208315311
4.529212396741896,39663264730.212616,39650401187.65622,15.875910126166735,15.870761269991668,15.09461052277641,15.089710681202874
4.583837535758073,39664318978.19888,39651452571.64373,15.876332107221359,15.871182104681079,15.11312593750388,15.10822018266761
4.639121488172954,39665403989.10479,39652534862.19184,15.876766401668506,15.871615310257804,15.131212833140406,15.126301278662902
4.695072199688863,39666514737.11148,39653649160.494255,15.87721099783695,15.872061327493732,15.148881629823684,15.143964417222211
4.75169771183828,39667663266.65591,39654796620.594696,15.87767071672163,15.872520618314896,15.166142534583772,15.161219809541143
4.8090061631396015,39668853134.914116,39655978452.959564,15.878146982144,15.87299366723148,15.183005586362162,15.178077436106788
4.867005790266854,39670062321.181335,39657195928.37248,15.878630979934771,15.873480982896687,15.1994804979876,15.19454705271727
4.925704929233514,39671316923.31029,39658450382.1809,15.879133156212463,15.873983099806512,15.215576772874043,15.210638196397253
4.9851120165906035,39672608317.40429,39659743218.94023,15.879650059112748,15.874500580158635,15.2313037711489,15.226360191215505
5.0452355906392325,39673943103.93355,39661075917.58235,15.880184330588389,15.87503401592121,15.246670622019991,15.24172215401116
5.106084292657776,39675316458.74617,39662450037.08486,15.880734039688859,15.875584031102079,15.261686246505624,15.256733000035709
5.1676668681438365,39676733698.3898,39663867222.611206,15.88130131445463,15.876151284206466,15.27635935689212,15.271401448517343
5.229992168071196,39678255423.91279,39665329212.35106,15.881910411507128,15.876736470974958,15.290698773177354,15.285736028155034
5.293069150161929,39679709179.14012,39666837845.31154,15.88249230226906,15.87734032750207,15.304712569409945,15.299745082551834
5.356906880173848,39681261219.24564,39668395069.73403,15.883113533259374,15.877963633605235,15.318408608574323,15.31343677559636
5.4215145332034815,39682870241.47655,39670002952.46049,15.883757572334387,15.878607216573815,15.33179515393268,15.326819096801067
5.486901395004776,39684526672.69734,39671663689.57605,15.884420587680461,15.879271955429004,15.344880032648236,15.33989986660902
5.5530768633236836,39686244214.700554,39673379618.2283,15.88510806367787,15.87995878565469,15.357670906682342,15.35268674168143
5.620050449248863,39688018709.06271,39675153229.915634,15.885818335845446,15.880668704516346,15.370175301213282,15.365187220179033
5.687831778578659,39689848953.19957,39676987185.52182,15.886550922827968,15.881402777078884,15.38240053779905,15.377408647052675
5.756430593204574,39691750636.93175,39678884332.353516,15.887312104748462,15.882162143026218,15.394353833708546,15.389358219360709
5.825856752511429,39693708703.30973,39680847723.50747,15.88809585480155,15.882948024413306,15.406042237347535,15.401042991633034
5.896120234794399,39695742005.93167,39682880639.94971,15.888909719467124,15.883761734503752,15.417472649098137,15.41246988130471
5.967231138693149,39697846464.02486,39684986615.81684,15.889752065345078,15.884604687897072,15.428651875253951,15.423645674245556
6.039199684643272,39700031413.473816,39687169467.59526,15.890626629285235,15.885478412208187,15.43958658615389,15.434577030417177
6.11203621634521,39702295362.336395,39689433327.884926,15.89153281411185,15.886384561581956,15.45028333098908,15.445270489694542
6.1857512022509145,39704640225.07167,39691782684.669205,15.892471386120398,15.887324932411618,15.46074850588878,15.455732477896083
6.2603552370684294,39707083113.9451,39694222427.241875,15.893449194792138,15.888301481721872,15.47098844609415,15.465969313075107
6.335859043284609,39709612852.97834,39696757900.276474,15.894461766747765,15.889316348811064,15.481009364096195,15.475987212136475
6.412273472706223,39712247696.09034,39699394967.8767,15.89551640843516,15.890371880888482,15.490817359597557,15.485792297856904
6.489609508019627,39714996409.2317,39702140089.93872,15.896616628578197,15.891470663639685,15.500418515633747,15.495390606405069
6.567878264369249,39717852605.08584,39705000413.89077,15.897759870542556,15.892615557946883,15.50981878196994,15.504788095480997
6.647090990955133,39720835637.29847,39707983885.90922,15.898953880960844,15.893809744405083,15.519024029622502,15.513990653225564
6.727259072649714,39723946631.44021,39711099386.908035,15.900199110362237,15.895056777754244,15.528040087097546,15.523004108091667
6.808394031634124,39727208934.32136,39714356900.36088,15.901504903712778,15.896360654052977,15.536872761481439,15.531834239923057
6.89050752905422,39730614716.223114,39717767721.738045,15.90286812703162,15.89772589450932,15.545527794968848,15.540486792560534
6.973611366696582,39734190786.00538,39721344723.07977,15.904299511030247,15.89915765138079,15.554010884686129,15.548967488398718
7.057717488684729,39737942065.820435,39725102691.641624,15.905801025885543,15.900661843523084,15.562327742615869,15.557282045460138
7.142837983195795,39741896956.29783,39729058769.81932,15.90738403944242,15.902245332477621,15.570484104081638,15.565436197759306
7.228985084197899,39746061386.90204,39733233036.52706,15.909050925071952,15.903916155178313,15.578485730665282,15.573435720030892
7.3161711732084855,39750477969.074165,39737649290.180885,15.910818738743027,15.905683837354234,15.586338478646923,15.581286458346957
7.404408781073854,39755161381.03793,39742336126.57386,15.912693355669452,15.907559824967887,15.594048336407411,15.588994368840451
7.493710589770156,39760144778.03623,39747328461.6078,15.914688046812659,15.909558093714994,15.601621377780857,15.596565567854782
7.58408943422613,39765476731.22835,39752669747.78059,15.916822253622177,15.911696036212012,15.609063920647294,15.6040063986546
7.67555830416779,39771213079.46797,39758415318.40629,15.919118326568368,15.9139958005783,15.616382628474119,15.611323522954319
7.768130345985381,39777414514.00687,39764637659.40459,15.921600558378142,15.916486400561315,15.623584559527602,15.618524051186037
7.861818864622859,39784191378.01094,39771435185.68257,15.92431311581883,15.919207228435763,15.630677417226186,15.625615736390468
7.956637325490131,39791674276.5794,39778947915.43468,15.927308275848246,15.9222143289142,15.637669865518665,15.63260727964387
8.052599356398389,39800062860.10517,39787388235.35718,15.930665952001403,15.925592713458114,15.644571930966436,15.639508848871865
8.149718749518765,39809689660.85419,39797110019.70692,15.934519246089357,15.929484026380846,15.651395929717818,15.646333060065498
8.24800946336461,39821168453.006836,39808801033.35228,15.93911383188082,15.934163557508201,15.658158381058577,15.65309717876808
8.3474856247977,39835956831.546234,39820511719.78486,15.945033137066616,15.938850963010092,15.664885258334424,15.659812003698036
8.448161531058608,39860722529.756424,39826745659.58112,15.954946037622612,15.941346205613307,15.671640594063467,15.666452671644269
8.550051651821585,39865901785.02644,39827463143.503235,15.957019124438501,15.941633391006187,15.678377311869117,15.672968813844786
8.653170631274223,39855759950.75486,39826935173.749115,15.952959679243929,15.94142206194836,15.684930459131314,15.679331440162114
8.757533290222188,39875805897.03685,39826418106.2634,15.960983417171997,15.941215096712687,15.691376169182583,15.68553836971339
8.863154628219347,39878686478.3201,39825915161.80821,15.962136419827605,15.941013784465113,15.697777387665305,15.691593409983287
8.970049825723585,39866610635.80052,39825395476.47564,15.957302854264038,15.940805771390801,15.703982925179536,15.697500146210965
9.078234246278617,39872023243.11687,39824868827.80056,15.959469344286658,15.94059497111779,15.71001034555421,15.703261979868369
9.187723438722127,39872182894.97994,39824342760.53581,15.95953324771586,15.940384403564355,15.715921237261618,15.708882313911076
