r_kpc,n_e_cm3
0.895,0.038041
2.685,0.040269
4.475,0.043782
6.265,0.045186
8.055,0.039337
9.845,0.045787
11.635,0.052382
13.425,0.054032
15.215,0.051657
17.005,0.050707
18.795,0.047565
20.585,0.047741
22.375,0.044566
24.165,0.039213
25.955,0.037421
27.745,0.033135
29.535,0.032482
31.325,0.029542
33.115,0.028542
34.905,0.027276
36.695,0.028002
38.485,0.026421
40.275,0.025621
42.065,0.025331
43.855,0.024697
45.645,0.023457
47.435,0.023141
49.225,0.022777
51.015,0.021631
52.805,0.021058
54.595,0.020048
56.385,0.019268
58.175,0.01813
59.965,0.017663
61.755,0.017195
63.54499999999999,0.016325
65.33500000000001,0.015295
67.12499999999999,0.014435
68.915,0.013551
70.70499999999998,0.012677
72.49,0.012876
74.275,0.012256
76.065,0.011905
77.855,0.011486
79.645,0.011605
81.435,0.011426
83.225,0.011305
85.015,0.011269
86.80499999999999,0.011461
88.59500000000001,0.011853
90.385,0.011276
92.175,0.01112
93.965,0.010432
95.755,0.00964
97.545,0.0091432
99.335,0.0083431
101.125,0.0082969
102.915,0.007757
104.705,0.0075628
106.495,0.0072826
108.285,0.0072393
110.075,0.0070464
111.865,0.00787
113.655,0.0059436
115.445,0.012686
