r_kpc,C
0.895,1.050006247974981
2.685,1.0500562303334915
4.475,1.0501561873640015
6.265,1.0503061036964445
8.055,1.0505059562831034
9.845,1.0507557144074715
11.635,1.0510553396960476
13.425,1.051404786133069
15.215,1.051804000078168
17.005,1.0522529202869373
18.795,1.0527514779343918
20.585,1.0532995966413106
22.375,1.0538971925034373
24.165,1.0545441741235226
25.955,1.0552404426461803
27.745,1.055985891795538
29.535,1.0567804079156522
31.325,1.057623870013659
33.115,1.0585161498056344
34.905,1.059457111765122
36.695,1.0604466131743102
38.485,1.0614845041778032
40.275,1.062570627838966
42.065,1.0637048201987929
43.855,1.064886910337263
45.645,1.0661167204371391
47.435,1.067394065850169
49.225,1.068718755165636
51.015,1.07009059028122
52.805,1.07150936647612
54.595,1.072974872486378
56.385,1.0744868905823697
58.175,1.0760451966483948
59.965,1.0776495602643237
61.755,1.0792997447892387
63.54499999999999,1.0809955074470232
65.33500000000001,1.082736599413829
67.12499999999999,1.0845227659073784
68.915,1.0863537462780333
70.70499999999998,1.088229274101574
72.49,1.0901436532867772
74.275,1.0921017854598252
76.065,1.0941090573584016
77.855,1.0961597568061263
79.645,1.0982535899824584
81.435,1.1003902578808962
83.225,1.102569456412008
85.015,1.1047908765076762
86.80499999999999,1.107054204226492
88.59500000000001,1.1093591208602365
90.385,1.111705303041382
92.175,1.1140924228515527
93.965,1.116520147930876
95.755,1.1189881415881624
97.545,1.1214960629118509
99.335,1.1240435668816495
101.125,1.126630304480818
102.915,1.129255922809014
104.705,1.1319200651956525
106.495,1.134622371313708
108.285,1.1373624772938982
110.075,1.1401400158391877
111.865,1.142954616339548
113.655,1.145805904986914
115.445,1.148693504890277
