xi,gating,avg_mean_off,outer_points,galaxies
combined_radius_density,learned,25.298935987663313,1167,143
shell_logistic_radius,learned_compact,25.30872656117349,1167,143
shell_logistic_radius,fixed,25.313068898440815,1167,143
combined_radius_density,fixed,25.313536400691756,1167,143
shell_logistic_radius,learned,25.31611844245945,1167,143
combined_radius_density,learned_compact,25.316926718404304,1167,143
logistic_density,fixed,36.07730059129616,1167,143
logistic_density,learned,36.07730059129616,1167,143
logistic_density,learned_compact,36.07730059129616,1167,143
