r_kpc,kT_keV,kT_err_keV
7.64,9.4109,0.82734
22.92,9.135,0.8496
38.2,8.8591,0.87185
53.48,8.5831,0.8941
68.76,10.447,1.4547
84.04,12.002,1.8712
99.32,10.75,1.4071
114.6,9.8334,1.0843
129.88,9.8093,1.1365
145.16000000000005,9.7852,1.1887
160.44,9.8345,1.2115
175.72,9.904,1.2261
191.0,9.9905,1.2478
206.28000000000003,10.391,1.4
221.56,10.792,1.5523
236.84,11.193,1.7045
252.12,11.01,1.6485
267.4,10.709,1.5505
282.68000000000006,10.409,1.4526
297.96,10.109,1.3547
313.23999999999995,9.9013,1.2933
328.52000000000004,9.8758,1.3029
343.8,9.8502,1.3124
359.0799999999999,9.8246,1.322
374.36,9.799,1.3316
389.64,9.7734,1.3412
404.92,9.7292,1.3457
420.2000000000001,9.4828,1.2941
435.48,9.2363,1.2426
450.76,8.9899,1.1911
466.045,8.7433,1.1395
481.33,8.4968,1.088
496.61,8.2503,1.0364
511.88999999999993,8.0039,0.98491
527.1700000000001,7.7575,0.93337
542.4499999999999,7.5541,0.90038
557.73,7.5802,0.96595
573.01,7.6063,1.0315
588.29,7.6324,1.0971
603.5699999999999,7.6585,1.1627
618.85,7.6845,1.2282
634.13,7.7106,1.2938
649.4100000000001,7.7367,1.3594
664.69,7.7628,1.4249
679.9699999999999,7.7889,1.4905
695.25,7.8149,1.5561
710.53,7.841,1.6217
725.8100000000001,7.8671,1.6872
741.09,7.8932,1.7528
756.37,7.8214,1.7696
771.65,7.7149,1.7691
786.9300000000001,7.6083,1.7686
802.2099999999999,7.5018,1.7681
817.49,7.3953,1.7676
832.77,7.2888,1.7671
848.05,7.1822,1.7665
863.3299999999999,7.0757,1.766
878.61,6.9692,1.7655
893.8900000000001,6.8627,1.765
909.17,6.7562,1.7645
