r_kpc,n_e_cm3
7.64,0.039124
22.92,0.0335
38.2,0.025389
53.48,0.021289
68.76,0.018158
84.04,0.013671
99.32,0.011498
114.6,0.0093845
129.88,0.0073742
145.16000000000005,0.0076372
160.44,0.0056602
175.72,0.00605
191.0,0.0053883
206.28000000000003,0.00453
221.56,0.0039797
236.84,0.004025
252.12,0.0031484
267.4,0.0033015
282.68000000000006,0.002952
297.96,0.0027996
313.23999999999995,0.0023071
328.52000000000004,0.0019026
343.8,0.0020007
359.0799999999999,0.0020379
374.36,0.0019007
389.64,0.001579
404.92,0.0015647
420.2000000000001,0.0016824
435.48,0.0014137
450.76,0.0010716
466.045,0.0013044
481.33,0.00094893
496.61,0.0011347
511.88999999999993,0.00097013
527.1700000000001,0.0013184
542.4499999999999,0.00053996
557.73,0.00094207
573.01,0.00097373
588.29,0.00073898
603.5699999999999,0.00069475
618.85,0.00073919
634.13,0.00061177
649.4100000000001,0.0006052
664.69,0.00048553
679.9699999999999,0.00072693
695.25,0.0006866
710.53,0.00036405
725.8100000000001,0.00044255
741.09,0.00050275
756.37,0.00055764
771.65,0.00043881
786.9300000000001,0.00014967
802.2099999999999,0.00043251
817.49,0.00055025
832.77,0.00034521
848.05,0.00047684
863.3299999999999,0.00027907
878.61,0.00046181
893.8900000000001,0.00022397
909.17,0.00048376
