target,feature,spearman,p_value
gX,x_dimless,0.36862634154304247,1.5538083582437214e-103
gX,Sigma,-0.3486971463520264,4.040511445739092e-92
gX,Sigma_hat,-0.3489527710095265,2.918526145335506e-92
gX,grad_ln_Sigma,-0.3339373998711599,3.488309554920401e-84
gX,R_kpc,0.2971124486907805,3.2884724918756e-66
xi_emp,x_dimless,0.574514458713351,2.0009998876402394e-280
xi_emp,Sigma,-0.46108209362172503,3.60189321217336e-168
xi_emp,Sigma_hat,-0.4623603756117223,3.2645665366128357e-169
xi_emp,grad_ln_Sigma,-0.4349673563843546,8.166234472384468e-148
xi_emp,R_kpc,0.26416142889028643,3.2294699449350822e-52
