name,hubble_type,type_group,B_T,bt_law_ape,per_galaxy_ape,delta_ape,bt_law_params,per_galaxy_params
F574-2,Sm,late,0.03,125.3547134399414,33.90946578979492,91.44524765014648,"{'eta': 0.9134488203826004, 'ring_amp': 2.6985233089420975, 'M_max': 2.8552412151741056, 'lambda_ring': 23.69746861136605, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000007380740151, 'ring_amp': 1.6391024139479852e-06, 'M_max': 3.5192905259016563, 'bulge_gate_power': 34.832217597346734, 'lambda_hat': 5.069899220433766}"
UGC02455,Im,late,0.0,183.6284637451172,108.11811065673828,75.5103530883789,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000130327374, 'ring_amp': 1.9360706224021596e-05, 'M_max': 4.932058042989634, 'bulge_gate_power': 21.664525827526067, 'lambda_hat': 5.093306705052831}"
UGC11455,Scd,late,0.08,95.33802795410156,22.455150604248047,72.88287734985352,"{'eta': 0.7410850910925162, 'ring_amp': 2.254615931399539, 'M_max': 2.5394474011966444, 'lambda_ring': 21.697549924966125, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000008187902, 'ring_amp': 5.512332587494796e-08, 'M_max': 0.5854694382291089, 'bulge_gate_power': 52.96819302302129, 'lambda_hat': 20.19613879979304}"
UGC09037,Scd,late,0.08,91.82015991210938,19.589460372924805,72.23069953918457,"{'eta': 0.7410850910925162, 'ring_amp': 2.254615931399539, 'M_max': 2.5394474011966444, 'lambda_ring': 21.697549924966125, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.018995783282127247, 'ring_amp': 4.0852779202631774e-10, 'M_max': 0.5000014940952456, 'bulge_gate_power': 41.01536098309466, 'lambda_hat': 27.96080649783368}"
UGC06628,Sm,late,0.03,86.87468719482422,16.663469314575195,70.21121788024902,"{'eta': 0.9134488203826004, 'ring_amp': 2.6985233089420975, 'M_max': 2.8552412151741056, 'lambda_ring': 23.69746861136605, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01000000000028691, 'ring_amp': 7.73630681400365e-07, 'M_max': 1.0138968130010644, 'bulge_gate_power': 17.933818910240067, 'lambda_hat': 14.211366357990753}"
F561-1,Sm,late,0.03,78.58296966552734,10.2810697555542,68.30189990997314,"{'eta': 0.9134488203826004, 'ring_amp': 2.6985233089420975, 'M_max': 2.8552412151741056, 'lambda_ring': 23.69746861136605, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000746749485, 'ring_amp': 1.659788259487276, 'M_max': 0.6115445819551328, 'bulge_gate_power': 41.45006164048185, 'lambda_hat': 5.000000066909801}"
F563-V1,Im,late,0.0,73.098388671875,5.885758876800537,67.21262979507446,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01000000105997286, 'ring_amp': 6.317060170585312, 'M_max': 0.8266408159929945, 'bulge_gate_power': 6.266126604158553, 'lambda_hat': 5.000001811810064}"
NGC6946,Scd,late,0.08,74.23381042480469,12.640979766845703,61.592830657958984,"{'eta': 0.7410850910925162, 'ring_amp': 2.254615931399539, 'M_max': 2.5394474011966444, 'lambda_ring': 21.697549924966125, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.021050604810394273, 'ring_amp': 1.3314375404832767e-10, 'M_max': 2.9695061264791507, 'bulge_gate_power': 30.612156405068028, 'lambda_hat': 10.72992896880484}"
UGC11557,Sdm,late,0.08,136.66795349121094,80.70360565185547,55.96434783935547,"{'eta': 0.7410850910925162, 'ring_amp': 2.254615931399539, 'M_max': 2.5394474011966444, 'lambda_ring': 21.697549924966125, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000012513043574, 'ring_amp': 2.5156399715434042e-05, 'M_max': 4.04873252752718, 'bulge_gate_power': 37.15992423575216, 'lambda_hat': 5.1693972496372504}"
UGC04305,Im,late,0.0,69.9684829711914,19.148845672607422,50.819637298583984,"{'eta': 1.0305084805586533, 'ring_amp': 3.0, 'M_max': 3.06971044661947, 'lambda_ring': 25.0, 'q': 3.5, 'R1': 70.0, 'R0': 5.0, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000007126401447, 'ring_amp': 1.73071257277885e-06, 'M_max': 3.004641773757375, 'bulge_gate_power': 30.612783843749337, 'lambda_hat': 15.762632379669899}"
