type,galaxies,points,median_percent_close_rootm_soft,mean_percent_close_rootm_soft
BCD,5,14,59.715968911858496,56.854370294375784
Im,39,148,80.42420904103551,76.66083925178123
S0,3,10,90.61179273398477,91.05745361651194
Sa,3,5,93.91529005429513,93.11872806270753
Sab,10,39,90.09989134156982,87.84242532969395
Sb,12,52,84.3659095251964,84.72024843730941
Sbc,18,65,83.70779132986158,80.45903242061028
Sc,16,48,88.50657167482994,83.33323949883471
Scd,16,98,85.67418530125346,85.45750198338605
Sd,16,78,86.65059448114997,85.13864739350653
Sdm,10,36,95.07084307760273,85.16834676141096
Sm,27,152,83.08141778454909,79.45597235254368
